probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,G-Root,dns_root,anycast,6,6,0,0.0,1.0,3,1,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,G-Root,dns_root,anycast,35,34,8,0.22857142857142856,0.9714285714285714,19,13,1,1,0.0,True,True,auditable,,probe_country_service
AF,G-Root,dns_root,anycast,12,12,4,0.3333333333333333,1.0,6,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,G-Root,dns_root,anycast,44,40,0,0.0,0.9090909090909091,23,14,1,1,0.0,True,True,auditable,,probe_country_service
AM,G-Root,dns_root,anycast,26,26,0,0.0,1.0,14,7,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,G-Root,dns_root,anycast,18,16,13,0.7222222222222222,0.8888888888888888,10,4,1,1,0.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,G-Root,dns_root,anycast,94,90,0,0.0,0.9574468085106383,50,38,1,1,0.0,True,True,auditable,,probe_country_service
AT,G-Root,dns_root,anycast,385,380,2,0.005194805194805195,0.987012987012987,205,81,1,1,0.0,True,True,auditable,,probe_country_service
AU,G-Root,dns_root,anycast,457,381,264,0.5776805251641138,0.8336980306345733,241,71,1,1,0.0,True,True,auditable,,probe_country_service
AX,G-Root,dns_root,anycast,4,4,2,0.5,1.0,2,2,1,1,0.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
