network_definition,setting,evidence_view,physical_level,physical_projection_setting,rank_corr_dominant_support,rank_corr_effective_num,target_quadrant_jaccard,target_quadrant_recall,quadrant_agreement_rate,interpretation
application_observation_supplementary,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
application_observation_supplementary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
application_observation_supplementary,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
application_observation_supplementary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.9345794392523364,0.9803921568627451,0.9849056603773585,tests whether mismatch persists under high-confidence observations
application_observation_supplementary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.43478260869565216,0.49019607843137253,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
application_observation_supplementary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.43478260869565216,0.49019607843137253,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
application_observation_supplementary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.43478260869565216,0.49019607843137253,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
application_observation_supplementary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.45689655172413796,0.5196078431372549,0.7886792452830189,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_egress_primary,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
as_egress_primary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
as_egress_primary,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_egress_primary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.9245283018867925,0.9702970297029703,0.9679245283018868,tests whether mismatch persists under high-confidence observations
as_egress_primary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.456,0.5643564356435643,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_egress_primary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.456,0.5643564356435643,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
as_egress_primary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.456,0.5643564356435643,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_egress_primary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.4838709677419355,0.594059405940594,0.7773584905660378,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_only,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
as_only,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
as_only,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_only,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.908256880733945,0.9519230769230769,0.9754716981132076,tests whether mismatch persists under high-confidence observations
as_only,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_only,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
as_only,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_only,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.46017699115044247,0.5,0.7811320754716982,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
as_pair_primary,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
as_pair_primary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
as_pair_primary,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
as_pair_primary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.908256880733945,0.9519230769230769,0.9754716981132076,tests whether mismatch persists under high-confidence observations
as_pair_primary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
as_pair_primary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
as_pair_primary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.45535714285714285,0.49038461538461536,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
as_pair_primary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.46017699115044247,0.5,0.7811320754716982,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
combined_supplementary,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
combined_supplementary,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
combined_supplementary,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
combined_supplementary,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.9142857142857143,0.96,0.9754716981132076,tests whether mismatch persists under high-confidence observations
combined_supplementary,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.40540540540540543,0.45,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
combined_supplementary,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.40540540540540543,0.45,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
combined_supplementary,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.40540540540540543,0.45,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
combined_supplementary,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.42727272727272725,0.47,0.7849056603773585,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
composite,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
composite,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
composite,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
composite,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.9142857142857143,0.96,0.9754716981132076,tests whether mismatch persists under high-confidence observations
composite,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.40540540540540543,0.45,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
composite,fused_dual_core_corridor,fused_dual_core,corridor,corridor_grouped_candidates,0.5311005481855858,0.6813307832669717,0.40540540540540543,0.45,0.7884972170686456,tests whether mismatch persists after aggregating parallel candidates into corridors
composite,geo_only_corridor,geo_only,corridor,corridor_grouped_candidates,0.5340799529364367,0.6830050826847149,0.40540540540540543,0.45,0.7884972170686456,tests whether network-physical mismatch is stable under geo-spatial evidence only after aggregating parallel candidates into corridors
composite,high_confidence_subset_corridor,high_confidence_subset,corridor,corridor_grouped_candidates,0.5242145362489761,0.6820954811306751,0.42727272727272725,0.47,0.7849056603773585,tests whether mismatch persists under high-confidence observations after aggregating parallel candidates into corridors
country_only,as_only_cable,as_only,cable,cable_candidates,0.9988511003909214,0.999672103483951,1.0,1.0,1.0,tests whether network-physical mismatch is stable under AS-economic evidence only
country_only,fused_dual_core_cable,fused_dual_core,cable,cable_candidates,1.0,1.0,1.0,1.0,1.0,baseline dual-core cable-level view
country_only,geo_only_cable,geo_only,cable,cable_candidates,0.9958360798662358,0.9982052102928674,1.0,1.0,1.0,tests whether network-physical mismatch is stable under geo-spatial evidence only
country_only,high_confidence_subset_cable,high_confidence_subset,cable,cable_candidates,0.9932756792481022,0.9950609559894245,0.8888888888888888,0.946236559139785,0.9754716981132076,tests whether mismatch persists under high-confidence observations
country_only,as_only_corridor,as_only,corridor,corridor_grouped_candidates,0.5225019225295198,0.6788669698366085,0.5585585585585585,0.6666666666666666,0.7884972170686456,tests whether network-physical mismatch is stable under AS-economic evidence only after aggregating parallel candidates into corridors
