output_scope,physical_level,joint_cross_layer_risk_class,rows,row_share_within_scope_physical_level,median_network_effective_diversity,median_physical_candidate_diversity_upper_bound,median_network_to_physical_compression_ratio,median_log_network_physical_compression_gap,median_physical_coverage_ratio,median_pdb_interconnection_footprint_percentile
country_cross_layer_audit,cable,broad_physical_candidate_space_no_compression,45,0.5172413793103449,3.3073123102227564,8.0,0.3271091048299585,-0.8907616013106319,3.0570839675032317,0.7961956521739131
country_cross_layer_audit,cable,compression_without_physical_concentration,1,0.011494252873563218,12.9144518844381,6.0,2.1524086474063497,0.6870178548799688,0.4645957918841289,0.9510869565217392
country_cross_layer_audit,cable,physical_concentration_with_network_physical_compression,13,0.14942528735632185,2.818482965826066,2.0,1.4444227584012217,0.2595000426006624,0.6923180863661157,0.6467391304347826
country_cross_layer_audit,cable,physical_concentration_without_compression,28,0.3218390804597701,1.0,2.5,0.5,-0.4054651081081645,2.0,0.4592391304347826
country_cross_layer_audit,corridor,broad_physical_candidate_space_no_compression,49,0.5632183908045977,3.3073123102227564,14.0,0.2391670541885435,-1.0711657782750832,4.1811778942247875,0.8043478260869565
country_cross_layer_audit,corridor,compression_without_physical_concentration,2,0.022988505747126436,5.139460043957277,5.0,1.0278920087914551,0.02289572422143138,0.9730914586251411,0.845108695652174
country_cross_layer_audit,corridor,physical_concentration_with_network_physical_compression,7,0.08045977011494253,2.5224001761579378,2.0,1.9643130446076713,0.3934981368865941,0.5090838258927961,0.5217391304347826
country_cross_layer_audit,corridor,physical_concentration_without_compression,29,0.3333333333333333,1.0,3.0,0.5,-0.4054651081081645,2.0,0.5
paper_country_cross_layer_audit,corridor,broad_physical_candidate_space_no_compression,49,0.5632183908045977,3.3073123102227564,14.0,0.2391670541885435,-1.0711657782750832,4.1811778942247875,0.8043478260869565
paper_country_cross_layer_audit,corridor,compression_without_physical_concentration,2,0.022988505747126436,5.139460043957277,5.0,1.0278920087914551,0.02289572422143138,0.9730914586251411,0.845108695652174
paper_country_cross_layer_audit,corridor,physical_concentration_with_network_physical_compression,7,0.08045977011494253,2.5224001761579378,2.0,1.9643130446076713,0.3934981368865941,0.5090838258927961,0.5217391304347826
paper_country_cross_layer_audit,corridor,physical_concentration_without_compression,29,0.3333333333333333,1.0,3.0,0.5,-0.4054651081081645,2.0,0.5
paper_service_country_cross_layer_audit,corridor,broad_physical_candidate_space_no_compression,358,0.4068181818181818,2.0,15.0,0.14379202075224737,-1.6094379124341005,6.95477126880023,0.875
paper_service_country_cross_layer_audit,corridor,physical_concentration_with_network_physical_compression,60,0.06818181818181818,2.9999999999999996,2.0,1.8898815748423097,0.36806834316157755,0.5291336839893999,0.782608695652174
paper_service_country_cross_layer_audit,corridor,physical_concentration_without_compression,462,0.525,1.0,2.0,0.5,-0.4054651081081645,2.0,0.6277173913043479
service_country_cross_layer_audit,cable,broad_physical_candidate_space_no_compression,360,0.4090909090909091,1.8898815748423097,7.0,0.20693346954862413,-1.10230983310143,4.832825565337784,0.8532608695652174
service_country_cross_layer_audit,cable,compression_without_physical_concentration,7,0.007954545454545454,6.445071569097741,5.0,1.2735355489679285,0.20534309164028453,0.7852156155439859,0.9510869565217392
service_country_cross_layer_audit,cable,physical_concentration_with_network_physical_compression,95,0.10795454545454546,4.0,2.0,1.8898815748423097,0.4168015476867659,0.5291336839893999,0.8206521739130435
service_country_cross_layer_audit,cable,physical_concentration_without_compression,418,0.475,1.0,2.0,0.5,-0.4054651081081645,2.0,0.5597826086956522
service_country_cross_layer_audit,corridor,broad_physical_candidate_space_no_compression,358,0.4068181818181818,2.0,15.0,0.14379202075224737,-1.6094379124341005,6.95477126880023,0.875
service_country_cross_layer_audit,corridor,physical_concentration_with_network_physical_compression,60,0.06818181818181818,2.9999999999999996,2.0,1.8898815748423097,0.36806834316157755,0.5291336839893999,0.782608695652174
service_country_cross_layer_audit,corridor,physical_concentration_without_compression,462,0.525,1.0,2.0,0.5,-0.4054651081081645,2.0,0.6277173913043479
unit_cross_layer_audit,cable,broad_physical_candidate_space_no_compression,360,0.4090909090909091,1.8898815748423097,7.0,0.20693346954862413,-1.10230983310143,4.832825565337784,0.8532608695652174
unit_cross_layer_audit,cable,compression_without_physical_concentration,7,0.007954545454545454,6.445071569097741,5.0,1.2735355489679285,0.20534309164028453,0.7852156155439859,0.9510869565217392
unit_cross_layer_audit,cable,physical_concentration_with_network_physical_compression,95,0.10795454545454546,4.0,2.0,1.8898815748423097,0.4168015476867659,0.5291336839893999,0.8206521739130435
unit_cross_layer_audit,cable,physical_concentration_without_compression,418,0.475,1.0,2.0,0.5,-0.4054651081081645,2.0,0.5597826086956522
unit_cross_layer_audit,corridor,broad_physical_candidate_space_no_compression,358,0.4068181818181818,2.0,15.0,0.14379202075224737,-1.6094379124341005,6.95477126880023,0.875
unit_cross_layer_audit,corridor,physical_concentration_with_network_physical_compression,60,0.06818181818181818,2.9999999999999996,2.0,1.8898815748423097,0.36806834316157755,0.5291336839893999,0.782608695652174
unit_cross_layer_audit,corridor,physical_concentration_without_compression,462,0.525,1.0,2.0,0.5,-0.4054651081081645,2.0,0.6277173913043479
