unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier
NA,AX,MULTI,MULTI,root_dns_traces.json,13,1,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,cable,3,5,3.0,5.0,3.0,0.3333333333333333,-0.6931471805599453,3.0,no_compression,0.13793103448275862,0.3275862068965517,-45.0,False,network_low_physical_upper_low,,,
NA,AX,MULTI,MULTI,root_dns_traces.json,13,1,1,1,8,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,3,5,3.0,5.0,5.0,0.2,-1.0986122886681096,5.0,no_compression,0.13793103448275862,0.47126436781609193,-35.0,False,network_low_physical_upper_low,,,
NA,BH,MULTI,MULTI,root_dns_traces.json,2,4,1,1,8,1,2,2,0.6931471805599453,2.0,2,0.6931471805599453,2.0,2.0,cable,5,10,5.0,10.0,5.0,0.4,-0.6931471805599452,2.5,no_compression,0.47701149425287354,0.5229885057471264,-30.0,False,network_low_physical_upper_high,8.049427057110695,0.5489130434782609,medium
NA,BH,MULTI,MULTI,root_dns_traces.json,2,4,1,1,8,1,2,2,0.6931471805599453,2.0,2,0.6931471805599453,2.0,2.0,corridor,5,10,5.0,10.0,10.0,0.2,-1.2992829841302609,5.0,no_compression,0.47701149425287354,0.6954022988505747,-23.0,False,network_low_physical_upper_high,8.049427057110695,0.5489130434782609,medium
NA,BJ,MULTI,MULTI,root_dns_traces.json,7,2,2,1,18,2,2,2,0.6365141682948128,1.8898815748423097,2,0.6365141682948128,1.8898815748423097,1.8898815748423097,cable,3,3,3.0,3.0,3.0,0.6299605249474366,-0.32507883739836774,1.5874010519681996,no_compression,0.3850574712643678,0.3275862068965517,-35.0,False,network_low_physical_upper_low,3.332204510175204,0.2146739130434782,low
NA,BJ,MULTI,MULTI,root_dns_traces.json,7,2,2,1,18,2,2,2,0.6365141682948128,1.8898815748423097,2,0.6365141682948128,1.8898815748423097,1.8898815748423097,corridor,3,3,3.0,3.0,3.0,0.6299605249474366,-0.32507883739836774,1.5874010519681996,no_compression,0.3850574712643678,0.28735632183908044,-23.0,False,network_low_physical_upper_low,3.332204510175204,0.2146739130434782,low
NA,BR,MULTI,MULTI,root_dns_traces.json,13,139,18,1,272,13,11,14,2.078291586648872,7.990805647311567,24,2.44857444063285,11.571838612446818,7.990805647311567,cable,9,16,9.0,16.0,9.0,0.8878672941457296,-0.1063826325845656,1.1262944435431197,no_compression,0.9195402298850575,0.7758620689655172,4.0,False,network_high_physical_upper_high,24.383809801808635,0.9891304347826086,high
NA,BR,MULTI,MULTI,root_dns_traces.json,13,139,18,1,272,13,11,14,2.078291586648872,7.990805647311567,24,2.44857444063285,11.571838612446818,7.990805647311567,corridor,9,16,9.0,16.0,16.0,0.49942535295697293,-0.6370108836467359,2.002301232965546,no_compression,0.9195402298850575,0.7528735632183908,12.0,False,network_high_physical_upper_high,24.383809801808635,0.9891304347826086,high
NA,CA,MULTI,MULTI,root_dns_traces.json,13,79,20,1,412,19,11,27,2.5583469854178538,12.9144518844381,32,2.721265601910259,15.19954665244282,12.9144518844381,cable,6,135,6.0,135.0,6.0,2.1524086474063497,0.6870178548799688,0.4645957918841289,weak_compression,0.9770114942528736,0.6206896551724138,12.0,False,network_high_physical_upper_high,21.55608906686206,0.9510869565217392,high
NA,CA,MULTI,MULTI,root_dns_traces.json,13,79,20,1,412,19,11,27,2.5583469854178538,12.9144518844381,32,2.721265601910259,15.19954665244282,12.9144518844381,corridor,6,135,6.0,135.0,135.0,0.09566260655139333,-2.2797268818007703,10.453405317392901,no_compression,0.9770114942528736,1.0,-2.0,False,network_high_physical_upper_high,21.55608906686206,0.9510869565217392,high
NA,CG,MULTI,MULTI,root_dns_traces.json,13,1,1,1,26,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,cable,2,2,2.0,2.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1896551724137931,-44.0,False,network_low_physical_upper_low,5.6063274678708135,0.3967391304347826,medium
NA,CG,MULTI,MULTI,root_dns_traces.json,13,1,1,1,26,1,1,1,-0.0,1.0,1,-0.0,1.0,1.0,corridor,2,2,2.0,2.0,2.0,0.5,-0.4054651081081645,2.0,no_compression,0.13793103448275862,0.1724137931034483,-32.0,False,network_low_physical_upper_low,5.6063274678708135,0.3967391304347826,medium
