metric,value
candidate_rows,56014.0
unique_links,11264.0
unique_units,539.0
units_with_network_layer_diversity,880.0
units_with_physical_diversity_cable,539.0
units_with_physical_diversity_corridor,539.0
units_with_network_physical_mismatch_cable,539.0
units_with_network_physical_mismatch_corridor,539.0
median_network_layer_diversity_score,4.148903360057952
median_cable_physical_candidate_diversity_score,2.5027801659408815
median_corridor_physical_candidate_diversity_score,2.0982521691583753
cable_mismatch_network_high_physical_low,100.0
cable_mismatch_network_high_physical_high,170.0
cable_mismatch_network_low_physical_low,170.0
cable_mismatch_network_low_physical_high,99.0
corridor_mismatch_network_high_physical_low,56.0
corridor_mismatch_network_high_physical_high,214.0
corridor_mismatch_network_low_physical_low,214.0
corridor_mismatch_network_low_physical_high,55.0
cable_corridor_target_quadrant_preserved,45.0
cable_corridor_target_quadrant_jaccard,0.40540540540540543
cable_corridor_target_quadrant_recall_from_cable,0.45
cable_corridor_target_quadrant_precision_to_corridor,0.8035714285714286
mean_corridor_minus_cable_physical_diversity,0.17399887824347196
cable_corridor_quadrant_agreement_rate,0.7884972170686456
spearman_cable_corridor_physical_diversity_score,0.6813217590605845
