Country,Root,Aggregation_Mode,Confidence_Filter,Owner_Multi_Entity_Mode,Total_Traces,Submarine_Traces,Dependency_Rate,Top_Cable,Top_Cable_Expected_Vol,Top_Cable_Share,Top2_Cable,Top2_Cable_Expected_Vol,Top2_Cable_Share,Dominance_Margin,Unique_CrossBorder_AS_Pairs,Top_CrossBorder_AS_Pair,Top_CrossBorder_AS_Pair_Count,Top_CrossBorder_AS_Pair_Share,Top2_CrossBorder_AS_Pair,Top2_CrossBorder_AS_Pair_Count,Top2_CrossBorder_AS_Pair_Share,CrossBorder_AS_Pair_Dominance_Margin,Cable_vs_ASPair_Concentration_Gap,Top_Owner,Top_Owner_Expected_Vol,Top_Owner_Share,Top2_Owner,Top2_Owner_Expected_Vol,Top2_Owner_Share,Owner_Dominance_Margin,Cable_Owner_Concentration_Gap,High_Bucket_Traces,Medium_Bucket_Traces,Ambiguous_Bucket_Traces
MP,G-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.7666,0.8833,Atisa,1.4487,0.7244,0.1589,0,None,0,0.0,None,0,0.0,0.0,0.8833,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.276,0,2,0
MP,C-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.6861,0.843,Atisa,1.3827,0.6913,0.1517,0,None,0,0.0,None,0,0.0,0.0,0.843,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.2357,0,2,0
MP,M-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.6733,0.8366,Atisa,1.3722,0.6861,0.1505,0,None,0,0.0,None,0,0.0,0.0,0.8366,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.2293,0,1,1
PG,I-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6533,0.8266,Hawaiki Nui 1,1.4436,0.7218,0.1049,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1734,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2928,0,2,0
PG,B-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6501,0.8251,Hawaiki Nui 1,1.4408,0.7204,0.1047,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1749,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2912,0,2,0
PG,J-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6485,0.8243,Hawaiki Nui 1,1.4394,0.7197,0.1046,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1757,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2904,0,2,0
PG,E-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6476,0.8238,Hawaiki Nui 1,1.4386,0.7193,0.1045,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1762,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2899,0,2,0
PG,C-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6472,0.8236,Hawaiki Nui 1,1.4382,0.7191,0.1045,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1764,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2897,0,2,0
PG,L-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6454,0.8227,Hawaiki Nui 1,1.4367,0.7183,0.1044,2,AS4826->AS20144,2,1.0,AS17828->AS4826,2,1.0,0.0,-0.1773,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2888,0,2,0
PG,H-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6441,0.8221,Hawaiki Nui 1,1.4356,0.7178,0.1043,2,AS17828->AS4826,2,1.0,AS36236->AS1508,2,1.0,0.0,-0.1779,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2882,0,2,0
PG,D-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6441,0.822,Hawaiki Nui 1,1.4355,0.7178,0.1043,2,AS17828->AS4826,2,1.0,AS4826->AS10886,2,1.0,0.0,-0.178,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2882,0,2,0
MP,I-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.6421,0.8211,Atisa,1.3466,0.6733,0.1477,0,None,0,0.0,None,0,0.0,0.0,0.8211,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.2137,0,2,0
PG,F-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6417,0.8209,Hawaiki Nui 1,1.4335,0.7167,0.1041,1,AS17828->AS4826,2,1.0,None,0,0.0,1.0,-0.1791,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.287,0,2,0
PG,G-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6404,0.8202,Hawaiki Nui 1,1.4323,0.7161,0.104,2,AS4826->AS3356,2,1.0,AS17828->AS4826,2,1.0,0.0,-0.1798,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2863,0,2,0
PG,A-Root,weighted,all,full,2,2,1.0,Coral Sea Cable System (CS²),1.6399,0.82,Hawaiki Nui 1,1.4319,0.716,0.104,2,AS4826->AS3356,2,1.0,AS17828->AS4826,2,1.0,0.0,-0.18,PNG DataCo Limited,1.0677,0.5339,Solomon Island Submarine Cable Company,1.0677,0.5339,0.0,-0.2861,0,2,0
MP,K-Root,weighted,all,full,2,2,1.0,Mariana-Guam Cable,1.6099,0.8049,Atisa,1.3202,0.6601,0.1448,1,AS7131->AS25152,2,1.0,None,0,0.0,1.0,-0.1951,Google,1.2146,0.6073,PTI Pacifica,0.4315,0.2157,0.3916,-0.1976,0,2,0
