network_definition,mode,physical_level,num_units_compared,spearman_dominant_candidate_support_share,spearman_effective_num_candidates,topk_dominant_share_overlap
application_observation_supplementary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
application_observation_supplementary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
application_observation_supplementary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
application_observation_supplementary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
application_observation_supplementary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
application_observation_supplementary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
application_observation_supplementary,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
application_observation_supplementary,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
as_egress_primary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
as_egress_primary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
as_egress_primary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
as_egress_primary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
as_egress_primary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
as_egress_primary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
as_egress_primary,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
as_egress_primary,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
as_only,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
as_only,fused_dual_core_cable,cable,539,1.0,1.0,1.0
as_only,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
as_only,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
as_only,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
as_only,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
as_only,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
as_only,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
as_pair_primary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
as_pair_primary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
as_pair_primary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
as_pair_primary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
as_pair_primary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
as_pair_primary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
as_pair_primary,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
as_pair_primary,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
combined_supplementary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
combined_supplementary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
combined_supplementary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
combined_supplementary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
combined_supplementary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
combined_supplementary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
combined_supplementary,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
combined_supplementary,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
composite,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
composite,fused_dual_core_cable,cable,539,1.0,1.0,1.0
composite,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
composite,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
composite,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
composite,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
composite,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
composite,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
country_only,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
country_only,fused_dual_core_cable,cable,539,1.0,1.0,1.0
country_only,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
country_only,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
country_only,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
country_only,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
country_only,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
country_only,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
dst_asn_primary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
dst_asn_primary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
dst_asn_primary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
dst_asn_primary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
dst_asn_primary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
dst_asn_primary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
dst_asn_primary,geo_only_corridor,corridor,539,0.5340799529364367,0.6830050826847149,0.6666666666666666
dst_asn_primary,high_confidence_subset_corridor,corridor,530,0.5242145362489761,0.6820954811306751,0.6666666666666666
geographic_transition_supplementary,as_only_cable,cable,539,0.9988511003909214,0.999672103483951,1.0
geographic_transition_supplementary,fused_dual_core_cable,cable,539,1.0,1.0,1.0
geographic_transition_supplementary,geo_only_cable,cable,539,0.9958360798662358,0.9982052102928674,1.0
geographic_transition_supplementary,high_confidence_subset_cable,cable,530,0.9932756792481022,0.9950609559894245,0.8181818181818182
geographic_transition_supplementary,as_only_corridor,corridor,539,0.5225019225295198,0.6788669698366085,0.6666666666666666
geographic_transition_supplementary,fused_dual_core_corridor,corridor,539,0.5311005481855858,0.6813307832669717,0.6666666666666666
