unit_id,physical_level,weighted_effective_num_candidates,weighted_candidate_entropy,weighted_dominant_support_share,uniform_effective_num_candidates,uniform_candidate_entropy,feasible_candidate_count,weighted_minus_uniform_effective_num,weighted_to_uniform_ratio,interpretation
src_country=AE|msm_id=5001|file_name=root_dns_traces.json,cable,2.82842712474619,1.0397207708399179,0.5,4.0,1.3862943611198906,4,-1.1715728752538102,0.7071067811865475,no_clear_concentration
src_country=AE|msm_id=5012|file_name=root_dns_traces.json,cable,7.999992399488117,2.0794405916153993,0.12506509176754346,9.0,2.1972245773362196,9,-1.000007600511883,0.8888880443875685,no_clear_concentration
src_country=AE|msm_id=5013|file_name=root_dns_traces.json,cable,2.0,0.6931471805599453,0.5,4.0,1.3862943611198906,4,-2.0,0.5,support_weight_driven_concentration
src_country=AO|msm_id=5006|file_name=root_dns_traces.json,cable,1.99929136671563,0.692792801132788,0.5133104763924148,3.0,1.0986122886681098,3,-1.00070863328437,0.6664304555718766,support_weight_driven_concentration
src_country=AO|msm_id=5016|file_name=root_dns_traces.json,cable,1.6076756532076686,0.4747894422067527,0.8177491556392359,3.0,1.0986122886681098,3,-1.3923243467923314,0.5358918844025562,support_weight_driven_concentration
src_country=AU|msm_id=5001|file_name=root_dns_traces.json,cable,5.646421067669513,1.7310219051003537,0.3221170034546208,11.0,2.3978952727983707,11,-5.353578932330487,0.5133110061517739,no_clear_concentration
src_country=AU|msm_id=5005|file_name=root_dns_traces.json,cable,6.656221645696598,1.8955520030991755,0.29649862837585306,15.0,2.70805020110221,15,-8.343778354303403,0.4437481097131065,no_clear_concentration
src_country=AU|msm_id=5006|file_name=root_dns_traces.json,cable,4.60174456881184,1.5264354856859257,0.4196055417731839,14.0,2.6390573296152584,14,-9.39825543118816,0.32869604062941715,no_clear_concentration
src_country=AU|msm_id=5008|file_name=root_dns_traces.json,cable,2.93707114428193,1.0774128753762595,0.5932813498050696,12.0,2.4849066497880004,12,-9.06292885571807,0.24475592869016083,no_clear_concentration
src_country=AU|msm_id=5009|file_name=root_dns_traces.json,cable,5.027845039241786,1.6149914706909734,0.4119681824328874,10.0,2.302585092994046,10,-4.972154960758214,0.5027845039241786,no_clear_concentration
src_country=AU|msm_id=5010|file_name=root_dns_traces.json,cable,3.7166422223304276,1.3128206322649354,0.5007746804665761,12.0,2.4849066497880004,12,-8.283357777669572,0.3097201851942023,no_clear_concentration
src_country=AU|msm_id=5011|file_name=root_dns_traces.json,cable,4.806168032402255,1.5699000997497454,0.4902202291759654,11.0,2.3978952727983707,11,-6.193831967597745,0.43692436658202316,no_clear_concentration
src_country=AU|msm_id=5012|file_name=root_dns_traces.json,cable,3.9458781719837717,1.372671533323456,0.2962962962962963,8.0,2.0794415416798357,8,-4.054121828016228,0.49323477149797146,no_clear_concentration
src_country=AU|msm_id=5014|file_name=root_dns_traces.json,cable,4.753952947594057,1.5589764714540322,0.4982787774599982,10.0,2.302585092994046,10,-5.246047052405943,0.47539529475940573,no_clear_concentration
src_country=AU|msm_id=5015|file_name=root_dns_traces.json,cable,4.439730989389717,1.4905937866333188,0.24596774193548387,9.0,2.1972245773362196,9,-4.560269010610283,0.4933034432655241,no_clear_concentration
src_country=AU|msm_id=5016|file_name=root_dns_traces.json,cable,4.9522023185508095,1.599832390474776,0.4395613646114317,10.0,2.302585092994046,10,-5.0477976814491905,0.49522023185508096,no_clear_concentration
src_country=BH|msm_id=5011|file_name=root_dns_traces.json,cable,1.791733585975047,0.5831836349597654,0.7300755971886281,2.0,0.6931471805599453,2,-0.20826641402495305,0.8958667929875235,robust_candidate_concentration
src_country=BR|msm_id=5001|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,4.0,1.3862943611198906,4,-3.0,0.25,support_weight_driven_concentration
src_country=BR|msm_id=5005|file_name=root_dns_traces.json,cable,3.8157001945658116,1.3391241851342668,0.3878079060559042,6.0,1.791759469228055,6,-2.1842998054341884,0.6359500324276353,no_clear_concentration
src_country=BR|msm_id=5006|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,3.0,1.0986122886681098,3,-2.0,0.3333333333333333,support_weight_driven_concentration
src_country=BR|msm_id=5008|file_name=root_dns_traces.json,cable,4.462711228202547,1.4957564800365275,0.4444444444444444,8.0,2.0794415416798357,8,-3.537288771797453,0.5578389035253184,no_clear_concentration
src_country=BR|msm_id=5009|file_name=root_dns_traces.json,cable,3.9469296225948005,1.3729379659149024,0.4666666666666667,9.0,2.1972245773362196,9,-5.0530703774051995,0.43854773584386675,no_clear_concentration
src_country=BR|msm_id=5010|file_name=root_dns_traces.json,cable,1.9645866074079354,0.6752818452792404,0.7793260675388666,8.0,2.0794415416798357,8,-6.035413392592065,0.24557332592599193,support_weight_driven_concentration
src_country=BR|msm_id=5011|file_name=root_dns_traces.json,cable,2.304552507651907,0.8348865177537034,0.6798565736432687,7.0,1.9459101490553132,7,-4.695447492348093,0.32922178680741526,no_clear_concentration
src_country=BR|msm_id=5012|file_name=root_dns_traces.json,cable,2.912900636705032,1.0691493670985943,0.6006269776195297,8.0,2.0794415416798357,8,-5.087099363294968,0.364112579588129,no_clear_concentration
src_country=BR|msm_id=5014|file_name=root_dns_traces.json,cable,2.334502572790453,0.8477988375016905,0.6732402544159788,7.0,1.9459101490553132,7,-4.665497427209547,0.33350036754149326,no_clear_concentration
src_country=BR|msm_id=5015|file_name=root_dns_traces.json,cable,1.9992530622266387,0.6927736419163915,0.5136655064096443,5.0,1.6094379124341003,5,-3.0007469377733615,0.3998506124453277,support_weight_driven_concentration
src_country=BR|msm_id=5016|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,5.0,1.6094379124341003,5,-4.0,0.2,support_weight_driven_concentration
src_country=CA|msm_id=5001|file_name=root_dns_traces.json,cable,2.8702732893398464,1.054407248004627,0.43187217384284,3.0,1.0986122886681098,3,-0.12972671066015362,0.9567577631132821,no_clear_concentration
src_country=CA|msm_id=5004|file_name=root_dns_traces.json,cable,2.0,0.6931471805599453,0.5,3.0,1.0986122886681098,3,-1.0,0.6666666666666666,support_weight_driven_concentration
src_country=CA|msm_id=5005|file_name=root_dns_traces.json,cable,2.8936984026091066,1.0625354080615974,0.5333333333333333,4.0,1.3862943611198906,4,-1.1063015973908934,0.7234246006522767,no_clear_concentration
src_country=CA|msm_id=5006|file_name=root_dns_traces.json,cable,2.4854510212158116,0.9104541405510702,0.6781419986181841,4.0,1.3862943611198906,4,-1.5145489787841884,0.6213627553039529,no_clear_concentration
src_country=CA|msm_id=5008|file_name=root_dns_traces.json,cable,2.5478160052084537,0.9352365236458934,0.5889802252982378,4.0,1.3862943611198906,4,-1.4521839947915463,0.6369540013021134,no_clear_concentration
src_country=CA|msm_id=5009|file_name=root_dns_traces.json,cable,2.1231733922494263,0.7529118526076287,0.7848612036234577,5.0,1.6094379124341003,5,-2.8768266077505737,0.42463467844988523,no_clear_concentration
src_country=CA|msm_id=5010|file_name=root_dns_traces.json,cable,1.9635613088097097,0.6747598187958299,0.7817810584847819,4.0,1.3862943611198906,4,-2.0364386911902903,0.4908903272024274,support_weight_driven_concentration
src_country=CA|msm_id=5011|file_name=root_dns_traces.json,cable,2.560431587898558,0.9401758333048131,0.6428571428571429,6.0,1.791759469228055,6,-3.439568412101442,0.42673859798309305,no_clear_concentration
src_country=CA|msm_id=5012|file_name=root_dns_traces.json,cable,3.7010086375868205,1.308605387253449,0.4166666666666667,5.0,1.6094379124341003,5,-1.2989913624131795,0.7402017275173641,no_clear_concentration
src_country=CA|msm_id=5013|file_name=root_dns_traces.json,cable,1.880770953965337,0.6316817746777131,0.7903996838498345,5.0,1.6094379124341003,5,-3.119229046034663,0.3761541907930674,support_weight_driven_concentration
src_country=CA|msm_id=5014|file_name=root_dns_traces.json,cable,3.947355746266447,1.3730459234188814,0.4590378301797413,6.0,1.791759469228055,6,-2.052644253733553,0.6578926243777411,no_clear_concentration
src_country=CA|msm_id=5015|file_name=root_dns_traces.json,cable,2.863666919025622,1.0521029431122229,0.622196285705591,5.0,1.6094379124341003,5,-2.136333080974378,0.5727333838051244,no_clear_concentration
src_country=CA|msm_id=5016|file_name=root_dns_traces.json,cable,2.82842712474619,1.0397207708399179,0.5,5.0,1.6094379124341003,5,-2.17157287525381,0.565685424949238,no_clear_concentration
src_country=CH|msm_id=5001|file_name=root_dns_traces.json,cable,2.0,0.6931471805599453,0.5,2.0,0.6931471805599453,2,0.0,1.0,robust_candidate_concentration
src_country=CH|msm_id=5009|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CH|msm_id=5011|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CH|msm_id=5014|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5006|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,3.0,1.0986122886681098,3,-2.0,0.3333333333333333,support_weight_driven_concentration
src_country=CL|msm_id=5009|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5010|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5011|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5012|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5014|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
src_country=CL|msm_id=5015|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,1.0,0.0,1,0.0,1.0,robust_candidate_concentration
src_country=CL|msm_id=5016|file_name=root_dns_traces.json,cable,1.0,-0.0,1.0,2.0,0.6931471805599453,2,-1.0,0.5,robust_candidate_concentration
