pdb_interconnection_footprint_tier,physical_level,network_definition,num_units,strict_upper_bound_mismatch_units,strict_upper_bound_mismatch_share,median_network_percentile,median_physical_upper_bound_percentile,median_rank_gap
high,cable,application_observation_supplementary,459,5,0.010893246187363835,0.7386363636363636,0.6244318181818181,-65.0
high,cable,as_egress_primary,459,1,0.002178649237472767,0.6602272727272728,0.6244318181818181,-199.0
high,cable,as_only,459,0,0.0,0.6778409090909091,0.6244318181818181,-239.0
high,cable,as_pair_primary,459,0,0.0,0.6778409090909091,0.6244318181818181,-239.0
high,cable,combined_supplementary,459,0,0.0,0.6897727272727273,0.6244318181818181,-235.0
high,cable,composite,459,0,0.0,0.6897727272727273,0.6244318181818181,-235.0
high,cable,country_only,459,2,0.004357298474945534,0.6301136363636364,0.6244318181818181,-166.0
high,cable,dst_asn_primary,459,0,0.0,0.675,0.6244318181818181,-237.0
high,cable,geographic_transition_supplementary,459,2,0.004357298474945534,0.6301136363636364,0.6244318181818181,-166.0
high,cable,probe_target_only,459,5,0.010893246187363835,0.7386363636363636,0.6244318181818181,-65.0
high,corridor,application_observation_supplementary,459,5,0.010893246187363835,0.7386363636363636,0.6465909090909091,-28.0
high,corridor,as_egress_primary,459,3,0.006535947712418301,0.6602272727272728,0.6465909090909091,-158.0
high,corridor,as_only,459,0,0.0,0.6778409090909091,0.6465909090909091,-194.0
high,corridor,as_pair_primary,459,0,0.0,0.6778409090909091,0.6465909090909091,-194.0
high,corridor,combined_supplementary,459,0,0.0,0.6897727272727273,0.6465909090909091,-196.0
high,corridor,composite,459,0,0.0,0.6897727272727273,0.6465909090909091,-196.0
high,corridor,country_only,459,0,0.0,0.6301136363636364,0.6465909090909091,-133.0
high,corridor,dst_asn_primary,459,0,0.0,0.675,0.6465909090909091,-195.0
high,corridor,geographic_transition_supplementary,459,0,0.0,0.6301136363636364,0.6465909090909091,-133.0
high,corridor,probe_target_only,459,5,0.010893246187363835,0.7386363636363636,0.6465909090909091,-28.0
