unit_id,src_country,service_id,msm_id,file_name,num_measurements,num_probes,num_probe_asns,num_files_or_targets,num_egress_links,num_egress_asns,num_next_asns_after_egress,num_egress_transitions,egress_transition_entropy,effective_egress_transitions,num_src_dst_as_pairs,src_dst_as_pair_entropy,effective_as_pair_transitions,network_effective_diversity,physical_level,num_feasible_candidates,num_feasible_corridors,effective_feasible_candidates,effective_feasible_corridors,physical_candidate_diversity_upper_bound,best_case_physical_candidate_diversity_upper_bound,physical_candidate_concentration_tier,is_physical_candidate_concentrated,physical_candidate_exposure_class,sufficient_observation_for_physical_concentration,concentration_interpretation,network_to_physical_compression_ratio,log_network_physical_compression_gap,physical_coverage_ratio,absolute_compression_tier,network_physical_compression_tier,joint_cross_layer_risk_class,is_network_physical_mismatch,is_physical_candidate_concentration_only,is_joint_physical_concentration_and_mismatch,network_percentile,physical_upper_bound_percentile,rank_gap_upper_bound,strict_upper_bound_mismatch_75_25,upper_bound_mismatch_category,pdb_interconnection_footprint_score,pdb_interconnection_footprint_percentile,pdb_interconnection_footprint_tier,paper_case_scope
NA,ID,MULTI,MULTI,root_dns_traces.json,13,184,52,1,346,31,16,61,3.617374625721097,37.23967129559816,108,3.824309755741763,45.8011754547541,37.23967129559816,corridor,53,66,53.0,66.0,66.0,66.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.5642374438726994,-0.5608191270711176,1.7723035060140664,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,1.0,0.9425287356321839,5.0,False,network_high_physical_upper_high,23.73952311196626,0.9836956521739132,high,paper_country_cross_layer_audit
NA,ID,msm_5011,5011,root_dns_traces.json,1,69,36,1,63,19,10,20,2.8069897354631435,16.55999315254127,48,3.622712975841769,37.439001272581194,16.55999315254127,corridor,47,61,47.0,61.0,61.0,61.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.27147529758264377,-1.261511186784594,3.6835764023633693,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,1.0,0.9511363636363637,31.0,False,network_high_physical_upper_high,23.73952311196626,0.9836956521739132,high,paper_service_country_cross_layer_audit
NA,JP,msm_5015,5015,root_dns_traces.json,1,38,19,1,0,0,0,0,0.0,0.0,20,2.7079847294005357,14.99901795662326,14.99901795662326,corridor,8,17,8.0,17.0,17.0,17.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.8822951739190154,-0.11784441525111822,1.1334075370243255,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9988636363636364,0.8227272727272728,63.0,False,network_high_physical_upper_high,20.74469514415807,0.9402173913043478,high,paper_service_country_cross_layer_audit
NA,SG,MULTI,MULTI,root_dns_traces.json,13,558,35,1,1650,32,27,56,2.6726478707655676,14.478255030690441,64,2.925701584327288,18.647304117994114,14.478255030690441,corridor,50,89,50.0,89.0,89.0,89.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.16267702281674654,-1.7603735326381291,6.14714962620435,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9885057471264368,0.9540229885057471,3.0,False,network_high_physical_upper_high,16.96840130793428,0.8804347826086957,high,paper_country_cross_layer_audit
NA,ID,msm_5005,5005,root_dns_traces.json,1,159,29,1,60,14,7,16,2.59688199772764,13.421823448060337,36,2.3586357416937833,10.576512510406838,13.421823448060337,corridor,37,51,37.0,51.0,51.0,51.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.2631730087854968,-1.2825011420103332,3.799781765671362,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9977272727272727,0.9340909090909091,36.0,False,network_high_physical_upper_high,23.73952311196626,0.9836956521739132,high,paper_service_country_cross_layer_audit
NA,CA,MULTI,MULTI,root_dns_traces.json,13,79,20,1,412,19,11,27,2.5583469854178538,12.9144518844381,32,2.721265601910259,15.19954665244282,12.9144518844381,corridor,6,135,6.0,135.0,135.0,135.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.09566260655139333,-2.2797268818007703,10.453405317392901,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9770114942528736,1.0,-2.0,False,network_high_physical_upper_high,21.55608906686206,0.9510869565217392,high,paper_country_cross_layer_audit
NA,ID,msm_5014,5014,root_dns_traces.json,1,67,28,1,63,16,9,16,2.438349129164565,11.454115860005441,35,3.1697381561581013,23.80125132933433,11.454115860005441,corridor,38,52,38.0,52.0,52.0,52.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.22027145884625848,-1.4482407541095283,4.5398528036170305,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9965909090909091,0.9363636363636364,34.0,False,network_high_physical_upper_high,23.73952311196626,0.9836956521739132,high,paper_service_country_cross_layer_audit
NA,DK,MULTI,MULTI,root_dns_traces.json,13,243,26,1,512,18,10,29,2.4128956530971823,11.166247957282932,47,2.6257126934892843,13.814416122937425,11.166247957282932,corridor,12,14,12.0,14.0,14.0,14.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.7975891398059237,-0.2093846442439613,1.2537783554115702,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9655172413793104,0.7298850574712644,17.0,False,network_high_physical_upper_high,15.116666835304722,0.8152173913043478,high,paper_country_cross_layer_audit
NA,ID,msm_5009,5009,root_dns_traces.json,1,67,32,1,37,14,8,14,2.405131666832003,11.07988904003815,36,3.1775714823105563,23.98842643856937,11.07988904003815,corridor,39,53,39.0,53.0,53.0,53.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.20905451018939905,-1.4974420395270975,4.783441405277603,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9954545454545455,0.9397727272727273,32.0,False,network_high_physical_upper_high,23.73952311196626,0.9836956521739132,high,paper_service_country_cross_layer_audit
NA,AU,MULTI,MULTI,root_dns_traces.json,13,607,35,1,718,18,11,21,2.27900411926649,9.766948848412778,54,2.8363203982902556,17.05290206421121,9.766948848412778,corridor,16,41,16.0,41.0,41.0,41.0,broad_physical_candidate_space,False,broad_best_case_physical_candidate_space,True,broad_physical_candidate_space,0.2382182645954336,-1.3611884682354045,4.197830933317818,no_compression,no_network_physical_compression,broad_physical_candidate_space_no_compression,False,False,False,0.9540229885057471,0.896551724137931,5.0,False,network_high_physical_upper_high,21.816726333685327,0.9565217391304348,high,paper_country_cross_layer_audit
