probe_country,service_id,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,analysis_scope
PG,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,3,3.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
PH,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,211,211.0,9,landing_region_0230::landing_region_0230,0.25118483412322273,0.4834123222748815,0.6919431279620853,5.724259307770821,broad_corridor_observation_distribution,False,False,True,True,auditable,,23,13,1,0.5213270142180095,0.4786729857819905,probe_country_service
PK,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,15,15.0,2,landing_region_0132::landing_region_0132,0.8666666666666667,1.0,1.0,1.480936217579442,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.8666666666666667,0.13333333333333333,probe_country_service
PR,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,6,6.0,2,landing_region_0174::landing_region_0290,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.5,0.5,probe_country_service
PT,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,228,228.0,2,landing_region_0239::landing_region_0239,0.9736842105263158,1.0,1.0,1.1294066458851535,severe_corridor_observation_concentration,True,True,True,True,auditable,,36,8,1,1.0,0.0,probe_country_service
RO,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,9,9.0,1,landing_region_0051::landing_region_0512,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.6666666666666666,0.3333333333333333,probe_country_service
RU,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,29,29.0,2,landing_region_0351::landing_region_0512,0.7586206896551724,1.0,1.0,1.7378776415491197,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,10,1,0.2413793103448276,0.7586206896551724,probe_country_service
SE,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,311,311.0,3,landing_region_0051::landing_region_0051,0.6752411575562701,0.9903536977491962,1.0,1.9617315722613866,moderate_corridor_observation_concentration,True,True,True,True,auditable,,35,14,1,1.0,0.0,probe_country_service
SG,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,588,588.0,5,landing_region_0132::landing_region_0132,0.923469387755102,0.9523809523809523,0.977891156462585,1.4330876824345506,severe_corridor_observation_concentration,True,True,True,True,auditable,,73,33,1,0.9744897959183674,0.025510204081632654,probe_country_service
SL,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0239::landing_region_0374,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
SV,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,2,2.0,1,landing_region_0174::landing_region_0779,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0,probe_country_service
TH,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,44,44.0,5,landing_region_0132::landing_region_0132,0.6590909090909091,0.7954545454545454,0.8863636363636364,2.968527070668705,weak_corridor_observation_concentration,True,True,True,True,auditable,,12,8,1,0.8636363636363636,0.13636363636363635,probe_country_service
TJ,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,62,62.0,3,landing_region_0230::landing_region_0230,0.41935483870967744,0.7580645161290323,1.0,2.9283911841364083,weak_corridor_observation_concentration,True,True,True,True,auditable,,11,9,1,0.6612903225806451,0.3387096774193548,probe_country_service
TL,Netflix-Assets,176517335,edge-localization-extension_netflix-assets_msm176517335_20260701T000000Z_010000Z.json,28,28.0,4,landing_region_0132::landing_region_0132,0.5357142857142857,0.8214285714285714,0.9285714285714285,3.065216502272721,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1,1,1.0,0.0,probe_country_service
