metric,value
candidate_rows,13924.0
unique_links,2733.0
unique_units,63.0
units_with_network_layer_diversity,95.0
units_with_physical_diversity_cable,63.0
units_with_physical_diversity_corridor,63.0
units_with_network_physical_mismatch_cable,63.0
units_with_network_physical_mismatch_corridor,63.0
median_network_layer_diversity_score,4.118956065454179
median_cable_physical_candidate_diversity_score,1.9921312433216314
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,14.0
cable_mismatch_network_high_physical_high,18.0
cable_mismatch_network_low_physical_low,18.0
cable_mismatch_network_low_physical_high,13.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,24.0
corridor_mismatch_network_low_physical_low,24.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,8.0
cable_corridor_target_quadrant_jaccard,0.5714285714285714
cable_corridor_target_quadrant_recall_from_cable,0.5714285714285714
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-1.5483124524825644
cable_corridor_quadrant_agreement_rate,0.6825396825396826
spearman_cable_corridor_physical_diversity_score,0.5651340250506524
