country,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,network_transition_entropy,network_transition_normalized_entropy,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_minus_network_normalized_entropy,normalized_entropy_reduction,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,paper_case_scope,probe_country,service_id,path_scope_stratum
NL,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,88.0,0.23863636363636365,0.40909090909090906,0.5340909090909091,2.297640461029271,0.848448252581914,9.950675726038728,broad_network_transition_distribution,0.9886363636363636,0.9943181818181819,1.0,0.07005432422378785,0.06376619390332637,1.0725664460112487,-0.7846820586785876,0.7846820586785876,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.23863636363636365,True,True,True,True,True,auditable,,85.0,49.0,0.0,1.0,country_cross_layer_distribution_audit,,,
PE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,50.0,0.44,0.7,0.92,1.3575405329948458,0.6976378296057991,3.886622517262587,weak_network_transition_concentration,0.82,0.94,0.96,0.651882774423247,0.4050375409868064,1.9191507575676394,-0.29260028861899273,0.29260028861899273,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,35.0,26.0,0.0,1.0,country_cross_layer_distribution_audit,,,
MT,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,54.0,0.2777777777777778,0.5185185185185185,0.6666666666666666,1.8910825677990617,0.8606687670004558,6.62653847662198,broad_network_transition_distribution,0.8148148148148148,0.9074074074074073,1.0,0.6075262129208578,0.5529941902046129,1.8358841900992593,-0.30767457679584287,0.30767457679584287,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,11.0,4.0,0.8148148148148148,0.18518518518518517,country_cross_layer_distribution_audit,,,
MY,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,54.0,0.35185185185185186,0.4814814814814815,0.5740740740740741,2.3269515949678254,0.8050700013279816,10.24665791115488,broad_network_transition_distribution,0.7716049382716049,0.8209876543209876,0.8703703703703703,0.9706391941167002,0.4667787839482078,2.639631156938912,-0.33829121737977375,0.33829121737977375,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.12962962962962962,True,True,True,True,True,auditable,,35.0,27.0,0.07407407407407408,0.9259259259259262,country_cross_layer_distribution_audit,,,
CN,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,342.0,0.4853801169590643,0.6666666666666666,0.7105263157894737,2.0756258441537985,0.5748194487849343,7.969532583979641,broad_network_transition_distribution,0.7368421052631579,0.8742690058479532,0.9093567251461988,1.0083593941924234,0.34246231670180044,2.7411002590391043,-0.23235713208313385,0.23235713208313385,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.014619883040935672,True,True,True,True,True,auditable,,259.0,175.0,0.8947368421052632,0.10526315789473684,country_cross_layer_distribution_audit,,,
KE,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,32.0,0.5625,0.75,0.90625,1.2524722146850455,0.6990180524758991,3.4989825095906464,weak_network_transition_concentration,0.53125,0.90625,1.0,0.9257564180367264,0.8426598059985809,2.523776568644945,0.14364175352268183,-0.14364175352268183,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.03125,True,True,True,True,True,auditable,,31.0,23.0,0.0,1.0,country_cross_layer_distribution_audit,,,
