probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
NG,Topology-IPv4-UDP,resolved_entry_only,179,5,5,122,47,127,52,0.027932960893854747,0.027932960893854747,0.6815642458100558,0.26256983240223464
NI,Topology-IPv4-UDP,all_publicly_visible,267,3,1,154,109,194,73,0.011235955056179775,0.003745318352059925,0.5767790262172284,0.40823970037453183
NI,Topology-IPv4-UDP,resolved_entry_only,125,0,1,81,43,86,39,0.0,0.008,0.648,0.344
NL,Topology-IPv4-UDP,all_publicly_visible,18170,256,113,14486,3315,13321,4849,0.014089157952669235,0.006219042377545405,0.7972482113373693,0.18244358833241606
NL,Topology-IPv4-UDP,resolved_entry_only,8054,126,68,6480,1380,5874,2180,0.015644400297988578,0.008443009684628756,0.8045691581822697,0.171343431835113
NO,Topology-IPv4-UDP,all_publicly_visible,2860,72,130,2245,413,2029,831,0.025174825174825177,0.045454545454545456,0.784965034965035,0.14440559440559442
NO,Topology-IPv4-UDP,resolved_entry_only,1239,33,61,991,154,889,350,0.026634382566585957,0.04923325262308313,0.7998385794995965,0.12429378531073447
NP,Topology-IPv4-UDP,all_publicly_visible,492,4,6,412,70,377,115,0.008130081300813009,0.012195121951219513,0.8373983739837398,0.14227642276422764
NP,Topology-IPv4-UDP,resolved_entry_only,215,0,3,182,30,165,50,0.0,0.013953488372093023,0.8465116279069768,0.13953488372093023
NU,Topology-IPv4-UDP,all_publicly_visible,40,6,0,31,3,28,12,0.15,0.0,0.775,0.075
NU,Topology-IPv4-UDP,resolved_entry_only,33,5,0,25,3,23,10,0.15151515151515152,0.0,0.7575757575757576,0.09090909090909091
NZ,Topology-IPv4-UDP,all_publicly_visible,4089,206,301,3036,546,3040,1049,0.05037906578625581,0.07361213010516018,0.7424798239178283,0.13352898019075568
NZ,Topology-IPv4-UDP,resolved_entry_only,1756,93,140,1321,202,1291,465,0.05296127562642369,0.07972665148063782,0.7522779043280182,0.11503416856492027
OM,Topology-IPv4-UDP,all_publicly_visible,69,6,0,52,11,51,18,0.08695652173913043,0.0,0.7536231884057971,0.15942028985507245
OM,Topology-IPv4-UDP,resolved_entry_only,7,0,0,5,2,3,4,0.0,0.0,0.7142857142857143,0.2857142857142857
PA,Topology-IPv4-UDP,all_publicly_visible,764,25,17,472,250,556,208,0.032722513089005235,0.02225130890052356,0.6178010471204188,0.32722513089005234
PA,Topology-IPv4-UDP,resolved_entry_only,337,10,6,213,108,250,87,0.02967359050445104,0.017804154302670624,0.6320474777448071,0.32047477744807124
PE,Topology-IPv4-UDP,all_publicly_visible,754,27,4,455,268,564,190,0.03580901856763926,0.005305039787798408,0.603448275862069,0.35543766578249336
PE,Topology-IPv4-UDP,resolved_entry_only,411,14,1,256,140,309,102,0.0340632603406326,0.0024330900243309003,0.6228710462287105,0.340632603406326
PF,Topology-IPv4-UDP,all_publicly_visible,173,1,0,100,72,137,36,0.005780346820809248,0.0,0.5780346820809249,0.4161849710982659
PF,Topology-IPv4-UDP,resolved_entry_only,110,1,0,69,40,86,24,0.00909090909090909,0.0,0.6272727272727273,0.36363636363636365
PG,Topology-IPv4-UDP,all_publicly_visible,39,5,3,28,3,29,10,0.1282051282051282,0.07692307692307693,0.717948717948718,0.07692307692307693
PG,Topology-IPv4-UDP,resolved_entry_only,29,3,3,21,2,21,8,0.10344827586206896,0.10344827586206896,0.7241379310344828,0.06896551724137931
PH,Topology-IPv4-UDP,all_publicly_visible,1902,150,153,1127,472,1382,520,0.07886435331230283,0.0804416403785489,0.592534174553102,0.24815983175604628
