feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,4290,0.7395276676435097
3,1009,0.1739355283571798
4,238,0.041027409067402175
5,115,0.019824168246853992
6,41,0.007067746940182727
7,6,0.001034304430270643
8,14,0.0024133770039648336
10,38,0.006550594725047406
11,9,0.0015514566454059645
12,27,0.004654369936217893
14,5,0.0008619203585588692
21,9,0.0015514566454059645
