probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,corridor_entropy,corridor_normalized_entropy,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
PA,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,27.0,27.0,13.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.25925925925925924,0.4074074074074074,0.5555555555555556,2.2047853274693567,0.8595824011322294,9.06830464298189,broad_corridor_observation_distribution,False,False,False,8.0,4.0,1.0,0.5555555555555555,0.4444444444444444,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
PA,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,13.0,13.0,7.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.46153846153846156,0.6153846153846154,0.7692307692307693,1.5780264069193701,0.810945154731558,4.845383553019954,broad_corridor_observation_distribution,False,False,False,5.0,3.0,1.0,0.5384615384615384,0.46153846153846156,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
PE,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,27.0,27.0,12.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.48148148148148145,0.5925925925925926,0.6666666666666666,1.8617768639789907,0.7492341268183367,6.435161024574991,broad_corridor_observation_distribution,False,False,False,10.0,10.0,1.0,0.5925925925925926,0.4074074074074074,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
PE,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,11.0,11.0,9.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.2727272727272727,0.45454545454545453,0.5454545454545454,2.035260359474346,0.9262869077960938,7.654244721203924,broad_corridor_observation_distribution,False,False,False,6.0,6.0,1.0,0.5454545454545454,0.45454545454545453,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
PF,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_1d5c9bdda1cc::landing_region_ea98b74befe5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PF,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,1.0,1.0,1.0,landing_region_1d5c9bdda1cc::landing_region_ea98b74befe5,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PG,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,7.0,7.0,5.0,landing_region_58084817cbe7::landing_region_a4275bfd77b7,0.42857142857142855,0.5714285714285714,0.7142857142857142,1.475076311054695,0.9165164431996026,4.371369344007118,broad_corridor_observation_distribution,False,False,False,1.0,1.0,1.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PG,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,5.0,5.0,4.0,landing_region_58084817cbe7::landing_region_a4275bfd77b7,0.4,0.6000000000000001,0.8,1.3321790402101223,0.9609640474436812,3.7892914162759954,weak_corridor_observation_concentration,True,False,False,1.0,1.0,1.0,0.2,0.8,0.2,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PH,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,211.0,211.0,24.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.27488151658767773,0.514218009478673,0.7132701421800948,2.1588365447854123,0.6792951472911504,8.661055044610482,broad_corridor_observation_distribution,False,False,True,60.0,33.0,1.0,0.3933649289099526,0.6066350710900474,0.09004739336492891,True,True,auditable,,probe_country_service
PH,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,77.0,77.0,17.0,landing_region_319252418c1f::landing_region_71e1260196d0,0.3116883116883117,0.5454545454545454,0.7402597402597403,1.984713767615898,0.7005168783987337,7.27696418452029,broad_corridor_observation_distribution,False,False,True,38.0,23.0,1.0,0.35064935064935066,0.6493506493506493,0.11688311688311688,True,True,auditable,,probe_country_service
PK,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,14.0,14.0,8.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.35714285714285715,0.5714285714285714,0.7142857142857143,1.7793306432770601,0.855677165052528,5.92588855743671,broad_corridor_observation_distribution,False,False,False,5.0,5.0,1.0,0.5,0.5,0.5714285714285714,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",probe_country_service
PK,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,4.0,4.0,5.0,landing_region_16506ee61a44::landing_region_d0ecf913edd7,0.25,0.5,0.75,1.559581156259877,0.9690222556651344,4.756828460010884,broad_corridor_observation_distribution,False,False,False,3.0,3.0,1.0,0.25,0.75,0.75,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",probe_country_service
PL,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,113.0,113.0,40.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.45132743362831856,0.5088495575221239,0.5663716814159292,2.534310986493881,0.6870137715309591,12.607740950855634,broad_corridor_observation_distribution,False,False,True,62.0,40.0,1.0,0.5752212389380531,0.4247787610619469,0.02654867256637168,True,True,auditable,,probe_country_service
PL,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,48.0,48.0,25.0,landing_region_149ad599e1a3::landing_region_d0ecf913edd7,0.4375,0.5,0.5416666666666666,2.409163243650443,0.748448643168485,11.124648629078246,broad_corridor_observation_distribution,False,False,True,28.0,19.0,1.0,0.5833333333333333,0.4166666666666667,0.020833333333333332,True,True,auditable,,probe_country_service
PR,Topology-IPv4-UDP,all_publicly_visible,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,8.0,8.0,2.0,landing_region_0c894d5ef6d3::landing_region_822747b0ce7e,0.875,1.0,1.0,0.37677016125643675,0.5435644431995964,1.4575692649810903,severe_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
PR,Topology-IPv4-UDP,resolved_entry_only,5051,topology-baseline_topology-ipv4-udp_msm5051_20260701T000000Z_010000Z.json,2.0,2.0,1.0,landing_region_0c894d5ef6d3::landing_region_822747b0ce7e,1.0,1.0,1.0,-0.0,0.0,1.0,severe_corridor_observation_concentration,True,False,False,2.0,2.0,1.0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
