network_definition,physical_level,candidate_view,projection_subset,target_units,strict_target_units,target_jaccard_vs_baseline,target_recall_vs_baseline,quadrant_agreement_rate,rank_gap_spearman_vs_baseline,pdb_country_coverage,median_pdb_interconnection_footprint_percentile,dominant_pdb_interconnection_footprint_tier,interpretation
application_observation_supplementary,cable,conservative_set,all,17,3,0.2631578947368421,0.7142857142857143,0.6,0.3554004470205379,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, all projections"
application_observation_supplementary,cable,conservative_set,strong_only,0,0,0.0,0.0,0.5,-0.9999999999999999,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,cable,conservative_set,strong_or_moderate,9,0,0.0,0.0,0.2222222222222222,-0.32212230461551206,0,,,"application_observation_supplementary network definition, cable-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,cable,weighted_support,all,13,2,0.05263157894736842,0.14285714285714285,0.36507936507936506,0.03267376994959081,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, all projections"
application_observation_supplementary,cable,weighted_support,strong_only,1,0,0.0,0.0,0.5,-0.9999999999999999,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong projections only"
application_observation_supplementary,cable,weighted_support,strong_or_moderate,11,0,0.0,0.0,0.14814814814814814,-0.41511235415205117,0,,,"application_observation_supplementary network definition, cable-level, weighted support view, strong/moderate projections only"
application_observation_supplementary,corridor,conservative_set,all,8,2,0.5,0.7142857142857143,0.8,0.5212208297759582,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, all projections"
application_observation_supplementary,corridor,conservative_set,strong_only,0,0,0.0,0.0,0.5,-0.9999999999999999,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong projections only"
application_observation_supplementary,corridor,conservative_set,strong_or_moderate,10,0,0.0,0.0,0.18518518518518517,-0.38764035655599893,0,,,"application_observation_supplementary network definition, corridor-level, conservative feasible-set view, strong/moderate projections only"
application_observation_supplementary,corridor,weighted_support,all,8,0,0.07142857142857142,0.14285714285714285,0.6031746031746031,0.24705275889435746,0,,,"application_observation_supplementary network definition, corridor-level, weighted support view, all projections"
