probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
CH,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,236,0.4067796610169492,0.6016949152542374,0.6949152542372882,7.842123963797244,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,83,25,0.9915254237288136,0.00847457627118644
CI,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CL,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,94,0.9574468085106383,0.9787234042553192,1.0,1.2281030581792565,severe_network_transition_concentration,0.9787234042553191,1.0,1.0,1.1084544531043852,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,27,7,1.0,0.0
CM,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,50,0.26,0.52,0.72,6.4439770584259595,broad_network_transition_distribution,0.32,0.5800000000000001,0.8400000000000001,5.437811103117417,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,5,0.86,0.14
CO,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,9,0.4444444444444444,0.7777777777777777,1.0,2.8888455168024434,weak_network_transition_concentration,0.4444444444444444,0.8333333333333333,1.0,2.790806531070013,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.4444444444444444,0.5555555555555556
CU,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CV,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,2,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CW,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CY,H-Root,5015,dns-root_h-root_msm5015_20260701T000000Z_010000Z.json,12,0.3333333333333333,0.6666666666666666,1.0,2.9999999999999996,weak_network_transition_concentration,0.4166666666666667,0.7083333333333334,1.0,2.95509004158139,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,0.4166666666666667,0.5833333333333334
