probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
DK,H-Root,dns_root,anycast,resolved_entry_only,206,206,94,0.4563106796116505,0.5728155339805825,0.4563106796116505,0.4368932038834951,0.06796116504854369,0.5533980582524272,94,0.4563106796116505,1.0,103,35,1,1,1.0,True,0.061224489795918366,True,True,auditable,
IN,H-Root,dns_root,anycast,all_publicly_visible,307,269,135,0.43973941368078173,0.44625407166123776,0.43973941368078173,0.12052117263843648,0.38762214983713356,0.06188925081433225,135,0.43973941368078173,0.8762214983713354,152,63,1,1,0.8697068403908795,True,0.05128205128205128,True,True,auditable,
DK,H-Root,dns_root,anycast,all_publicly_visible,220,210,94,0.42727272727272725,0.5363636363636364,0.42727272727272725,0.4090909090909091,0.06363636363636363,0.5181818181818182,94,0.42727272727272725,0.9545454545454546,110,36,1,1,0.9363636363636364,True,0.061224489795918366,True,True,auditable,
FI,H-Root,dns_root,anycast,all_publicly_visible,353,314,145,0.41076487252124644,0.41076487252124644,0.41076487252124644,0.24362606232294617,0.34277620396600567,0.20396600566572237,145,0.41076487252124644,0.8895184135977338,177,62,1,1,0.8895184135977338,True,0.01384083044982699,True,True,auditable,
VE,H-Root,dns_root,anycast,all_publicly_visible,78,59,21,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.2692307692307692,0.05128205128205128,0.0,21,0.2692307692307692,0.7564102564102564,39,25,1,1,0.47435897435897434,True,0.0,True,True,auditable,
CA,H-Root,dns_root,anycast,resolved_entry_only,452,452,118,0.2610619469026549,0.2610619469026549,0.2610619469026549,0.2013274336283186,0.22566371681415928,0.2013274336283186,118,0.2610619469026549,1.0,227,79,1,1,1.0,True,0.12140575079872204,True,True,auditable,
AU,H-Root,dns_root,anycast,resolved_entry_only,490,490,99,0.20204081632653062,0.6224489795918368,0.20204081632653062,0.18571428571428572,0.0163265306122449,0.6142857142857143,99,0.20204081632653062,1.0,247,72,1,1,1.0,True,0.184,True,True,auditable,
CA,H-Root,dns_root,anycast,all_publicly_visible,621,595,118,0.19001610305958133,0.19001610305958133,0.19001610305958133,0.14653784219001612,0.1642512077294686,0.14653784219001612,118,0.19001610305958133,0.9581320450885669,310,96,1,1,0.7278582930756844,True,0.12140575079872204,True,True,auditable,
AU,H-Root,dns_root,anycast,all_publicly_visible,560,494,99,0.1767857142857143,0.5517857142857143,0.1767857142857143,0.1625,0.014285714285714285,0.5446428571428571,99,0.1767857142857143,0.8821428571428571,281,77,1,1,0.875,True,0.184,True,True,auditable,
US,H-Root,dns_root,anycast,resolved_entry_only,2530,2530,259,0.10237154150197629,0.10553359683794467,0.10237154150197629,0.10158102766798419,0.0015810276679841897,0.09723320158102766,259,0.10237154150197629,1.0,1273,424,1,1,1.0,True,0.09090909090909091,True,True,auditable,
US,H-Root,dns_root,anycast,all_publicly_visible,3783,3620,305,0.08062384351044145,0.08326724821570182,0.08062384351044145,0.0795664816283373,0.0015860428231562252,0.06661379857256146,305,0.08062384351044145,0.9569125033042559,1891,513,1,1,0.6687813904308749,True,0.14200298953662183,True,True,auditable,
RU,H-Root,dns_root,anycast,resolved_entry_only,968,968,71,0.07334710743801653,0.07334710743801653,0.07334710743801653,0.06611570247933884,0.008264462809917356,0.06611570247933884,71,0.07334710743801653,1.0,489,294,1,1,1.0,True,0.0,True,True,auditable,
RU,H-Root,dns_root,anycast,all_publicly_visible,1044,994,71,0.06800766283524905,0.06800766283524905,0.06800766283524905,0.06130268199233716,0.007662835249042145,0.06130268199233716,71,0.06800766283524905,0.9521072796934866,522,309,1,1,0.9272030651340997,True,0.0,True,True,auditable,
JP,H-Root,dns_root,anycast,resolved_entry_only,516,516,30,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.05426356589147287,0.003875968992248062,0.007751937984496124,30,0.05813953488372093,1.0,260,109,1,1,1.0,True,0.0,True,True,auditable,
JP,H-Root,dns_root,anycast,all_publicly_visible,585,520,30,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.04786324786324787,0.003418803418803419,0.006837606837606838,30,0.05128205128205128,0.8888888888888888,291,118,1,1,0.882051282051282,True,0.0,True,True,auditable,
