country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
NZ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,520,520.0,6,landing_region_0089::landing_region_0362,0.49038461538461536,0.7884615384615384,0.8846153846153846,3.681079115098238,weak_corridor_observation_concentration,True,True,True,True,auditable,,25,10,1,0.9038461538461539,0.09615384615384616
PA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,35,35.0,6,landing_region_0107::landing_region_0287,0.2857142857142857,0.5714285714285714,0.7142857142857142,5.200980011979321,broad_corridor_observation_distribution,False,False,False,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.2857142857142857,0.7142857142857143
PE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,135,135.0,2,landing_region_0591::landing_region_0770,0.5185185185185185,1.0,1.0,1.9986284146293172,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,5,1,0.0,1.0
PG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0041::landing_region_0758,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
PH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,785,784.9999999999999,36,landing_region_0133::landing_region_0250,0.4199575371549894,0.6110403397027602,0.7893842887473461,7.071612428664029,broad_corridor_observation_distribution,False,False,True,True,auditable,,32,17,1,0.5923566878980892,0.4076433121019109
PK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,70,70.0,1,landing_region_0132::landing_region_0485,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,7,4,1,0.0,1.0
PR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,20,20.0,2,landing_region_0174::landing_region_0290,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,1,0.0,1.0
PT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,105,105.0,6,landing_region_0204::landing_region_0239,0.47619047619047616,0.6666666666666666,0.7857142857142857,4.3311487933429165,broad_corridor_observation_distribution,False,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,5,3,1,0.8095238095238095,0.19047619047619047
QA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,10.0,1,landing_region_0031::landing_region_0337,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
RE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,230,230.0,1,landing_region_0054::landing_region_0566,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,26,2,1,0.0,1.0
SE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1705,1705.0000000000002,14,landing_region_0051::landing_region_0512,0.32111436950146627,0.6275659824046921,0.7052785923753666,6.414312149389292,broad_corridor_observation_distribution,False,False,True,True,auditable,,93,37,1,0.8211143695014663,0.1788856304985337
SG,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,655,655.0,8,landing_region_0132::landing_region_0735,0.7709923664122137,0.8244274809160305,0.8613231552162849,2.6028049126138293,moderate_corridor_observation_concentration,True,True,True,True,auditable,,64,33,1,0.11450381679389313,0.8854961832061069
