probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
CA,L-Root,dns_root,anycast,all_publicly_visible,619,594,119,0.19224555735056542,0.19224555735056542,0.19224555735056542,0.172859450726979,0.14378029079159935,0.1825525040387722,119,0.19224555735056542,0.9596122778675282,311,95,1,1,0.938610662358643,True,0.2743362831858407,True,True,auditable,
SE,L-Root,dns_root,anycast,all_publicly_visible,465,432,86,0.18494623655913978,0.18494623655913978,0.18494623655913978,0.18064516129032257,0.012903225806451613,0.12903225806451613,86,0.18494623655913978,0.9290322580645162,232,77,1,1,0.9247311827956989,True,0.03663003663003663,True,True,auditable,
ZA,L-Root,dns_root,anycast,resolved_entry_only,263,263,34,0.12927756653992395,0.13688212927756654,0.12927756653992395,0.0,0.12927756653992395,0.0076045627376425855,34,0.12927756653992395,1.0,130,69,1,1,1.0,True,0.0,True,True,auditable,
ZA,L-Root,dns_root,anycast,all_publicly_visible,271,263,34,0.12546125461254612,0.13284132841328414,0.12546125461254612,0.0,0.12546125461254612,0.007380073800738007,34,0.12546125461254612,0.9704797047970479,134,71,1,1,0.9704797047970479,True,0.0,True,True,auditable,
US,L-Root,dns_root,anycast,resolved_entry_only,3522,3522,401,0.1138557637705849,0.14395229982964225,0.1138557637705849,0.07722884724588303,0.0380465644520159,0.11754684838160136,401,0.1138557637705849,1.0,1760,491,1,1,1.0,True,0.23127035830618892,True,True,auditable,
US,L-Root,dns_root,anycast,all_publicly_visible,3775,3568,403,0.10675496688741722,0.13483443708609272,0.10675496688741722,0.07205298013245033,0.036026490066225166,0.11019867549668874,403,0.10675496688741722,0.9451655629139073,1886,512,1,1,0.9329801324503312,True,0.2305194805194805,True,True,auditable,
ES,L-Root,dns_root,anycast,resolved_entry_only,455,455,30,0.06593406593406594,0.06593406593406594,0.06593406593406594,0.054945054945054944,0.01098901098901099,0.002197802197802198,30,0.06593406593406594,1.0,228,66,1,1,1.0,True,0.12903225806451613,True,True,auditable,
ES,L-Root,dns_root,anycast,all_publicly_visible,502,460,30,0.05976095617529881,0.05976095617529881,0.05976095617529881,0.049800796812749,0.0099601593625498,0.00199203187250996,30,0.05976095617529881,0.9163346613545816,250,78,1,1,0.9063745019920318,True,0.12903225806451613,True,True,auditable,
RU,L-Root,dns_root,anycast,resolved_entry_only,961,961,50,0.05202913631633715,0.05202913631633715,0.05202913631633715,0.0,0.05202913631633715,0.0,50,0.05202913631633715,1.0,482,291,1,1,1.0,True,0.04,True,True,auditable,
RU,L-Root,dns_root,anycast,all_publicly_visible,1043,990,50,0.04793863854266539,0.04793863854266539,0.04793863854266539,0.0,0.04793863854266539,0.0,50,0.04793863854266539,0.9491850431447747,521,308,1,1,0.9213806327900288,True,0.04,True,True,auditable,
FR,L-Root,dns_root,anycast,resolved_entry_only,2009,2009,42,0.020905923344947737,0.020905923344947737,0.020905923344947737,0.02040816326530612,0.001991040318566451,0.0054753608760577405,42,0.020905923344947737,1.0,1014,164,1,1,1.0,True,0.0,True,True,auditable,
FR,L-Root,dns_root,anycast,all_publicly_visible,2143,2024,44,0.02053196453569762,0.02053196453569762,0.02053196453569762,0.02006532897806813,0.0018665422305179655,0.005132991133924405,44,0.02053196453569762,0.9444703686420906,1072,179,1,1,0.9374708352776482,True,0.0,True,True,auditable,
DE,L-Root,dns_root,anycast,resolved_entry_only,3471,3471,60,0.01728608470181504,0.023048112935753384,0.01728608470181504,0.01728608470181504,0.003457216940363008,0.021895707288965716,60,0.01728608470181504,1.0,1740,391,1,1,1.0,True,0.0,True,True,auditable,
DE,L-Root,dns_root,anycast,all_publicly_visible,3620,3497,60,0.016574585635359115,0.022099447513812154,0.016574585635359115,0.016574585635359115,0.0033149171270718232,0.020994475138121547,60,0.016574585635359115,0.9660220994475138,1812,408,1,1,0.9588397790055249,True,0.0,True,True,auditable,
