probe_country,service_id,path_scope_stratum,total_atomic_segments,uniquely_resolved_segments,bounded_candidate_set_segments,no_matched_corridor_segments,insufficiently_resolved_segments,rtt_conclusive_segments,rtt_inconclusive_segments,uniquely_resolved_share,bounded_candidate_set_share,no_matched_corridor_share,insufficiently_resolved_share
TH,C-Root,resolved_entry_only,948,39,19,611,279,635,313,0.04113924050632911,0.020042194092827006,0.6445147679324894,0.29430379746835444
TJ,C-Root,all_publicly_visible,276,23,0,215,38,231,45,0.08333333333333333,0.0,0.7789855072463768,0.13768115942028986
TJ,C-Root,resolved_entry_only,237,19,0,186,32,200,37,0.08016877637130802,0.0,0.7848101265822784,0.1350210970464135
TL,C-Root,all_publicly_visible,100,4,2,88,6,69,31,0.04,0.02,0.88,0.06
TL,C-Root,resolved_entry_only,100,4,2,88,6,69,31,0.04,0.02,0.88,0.06
TN,C-Root,all_publicly_visible,135,1,0,96,38,93,42,0.007407407407407408,0.0,0.7111111111111111,0.2814814814814815
TN,C-Root,resolved_entry_only,120,1,0,81,38,84,36,0.008333333333333333,0.0,0.675,0.31666666666666665
TO,C-Root,all_publicly_visible,26,6,0,20,0,16,10,0.23076923076923078,0.0,0.7692307692307693,0.0
TO,C-Root,resolved_entry_only,26,6,0,20,0,16,10,0.23076923076923078,0.0,0.7692307692307693,0.0
TR,C-Root,all_publicly_visible,1193,0,0,695,498,824,369,0.0,0.0,0.5825649622799665,0.41743503772003354
TR,C-Root,resolved_entry_only,1015,0,0,578,437,692,323,0.0,0.0,0.5694581280788177,0.43054187192118226
TT,C-Root,all_publicly_visible,11,0,0,7,4,9,2,0.0,0.0,0.6363636363636364,0.36363636363636365
TT,C-Root,resolved_entry_only,11,0,0,7,4,9,2,0.0,0.0,0.6363636363636364,0.36363636363636365
TV,C-Root,all_publicly_visible,23,4,0,19,0,19,4,0.17391304347826086,0.0,0.8260869565217391,0.0
TV,C-Root,resolved_entry_only,23,4,0,19,0,19,4,0.17391304347826086,0.0,0.8260869565217391,0.0
TW,C-Root,all_publicly_visible,1393,130,34,933,296,1004,389,0.09332376166547021,0.024407753050969132,0.6697774587221823,0.21249102656137833
TW,C-Root,resolved_entry_only,1391,130,34,933,294,1002,389,0.09345794392523364,0.024442846872753415,0.6707404744787923,0.2113587347232207
TZ,C-Root,all_publicly_visible,119,2,0,115,2,78,41,0.01680672268907563,0.0,0.9663865546218487,0.01680672268907563
TZ,C-Root,resolved_entry_only,119,2,0,115,2,78,41,0.01680672268907563,0.0,0.9663865546218487,0.01680672268907563
UA,C-Root,all_publicly_visible,2494,26,0,1913,555,1999,495,0.010425020048115477,0.0,0.7670408981555734,0.22253408179631115
UA,C-Root,resolved_entry_only,2232,8,0,1754,470,1795,437,0.0035842293906810036,0.0,0.78584229390681,0.21057347670250895
UG,C-Root,all_publicly_visible,132,1,0,125,6,97,35,0.007575757575757576,0.0,0.946969696969697,0.045454545454545456
UG,C-Root,resolved_entry_only,132,1,0,125,6,97,35,0.007575757575757576,0.0,0.946969696969697,0.045454545454545456
US,C-Root,all_publicly_visible,28992,465,222,22692,5613,21827,7165,0.01603890728476821,0.007657284768211921,0.7826986754966887,0.19360513245033112
US,C-Root,resolved_entry_only,28097,463,220,22129,5285,21174,6923,0.016478627611488772,0.007830017439584298,0.7875929814570951,0.18809837349183187
UY,C-Root,all_publicly_visible,369,3,0,340,26,275,94,0.008130081300813009,0.0,0.9214092140921409,0.07046070460704607
UY,C-Root,resolved_entry_only,369,3,0,340,26,275,94,0.008130081300813009,0.0,0.9214092140921409,0.07046070460704607
UZ,C-Root,all_publicly_visible,212,17,0,171,24,174,38,0.08018867924528301,0.0,0.8066037735849056,0.11320754716981132
UZ,C-Root,resolved_entry_only,212,17,0,171,24,174,38,0.08018867924528301,0.0,0.8066037735849056,0.11320754716981132
VA,C-Root,all_publicly_visible,20,4,0,14,2,16,4,0.2,0.0,0.7,0.1
VA,C-Root,resolved_entry_only,20,4,0,14,2,16,4,0.2,0.0,0.7,0.1
VE,C-Root,all_publicly_visible,559,15,0,328,216,441,118,0.026833631484794274,0.0,0.5867620751341681,0.38640429338103754
VE,C-Root,resolved_entry_only,519,13,0,307,199,409,110,0.025048169556840076,0.0,0.5915221579961464,0.3834296724470135
VI,C-Root,all_publicly_visible,53,6,0,36,11,44,9,0.11320754716981132,0.0,0.6792452830188679,0.20754716981132076
VI,C-Root,resolved_entry_only,53,6,0,36,11,44,9,0.11320754716981132,0.0,0.6792452830188679,0.20754716981132076
VN,C-Root,all_publicly_visible,667,40,0,518,109,465,202,0.05997001499250375,0.0,0.7766116941529235,0.1634182908545727
VN,C-Root,resolved_entry_only,667,40,0,518,109,465,202,0.05997001499250375,0.0,0.7766116941529235,0.1634182908545727
VU,C-Root,all_publicly_visible,24,4,0,14,6,17,7,0.16666666666666666,0.0,0.5833333333333334,0.25
VU,C-Root,resolved_entry_only,24,4,0,14,6,17,7,0.16666666666666666,0.0,0.5833333333333334,0.25
YE,C-Root,all_publicly_visible,25,0,0,15,10,16,9,0.0,0.0,0.6,0.4
YE,C-Root,resolved_entry_only,25,0,0,15,10,16,9,0.0,0.0,0.6,0.4
ZA,C-Root,all_publicly_visible,2814,136,34,2173,471,2073,741,0.048329779673063254,0.012082444918265814,0.7722103766879886,0.1673773987206823
ZA,C-Root,resolved_entry_only,2776,130,30,2155,461,2044,732,0.0468299711815562,0.010806916426512969,0.7762968299711815,0.16606628242074928
ZM,C-Root,all_publicly_visible,80,0,0,70,10,58,22,0.0,0.0,0.875,0.125
ZM,C-Root,resolved_entry_only,48,0,0,46,2,37,11,0.0,0.0,0.9583333333333334,0.041666666666666664
ZW,C-Root,all_publicly_visible,63,0,0,55,8,47,16,0.0,0.0,0.873015873015873,0.12698412698412698
ZW,C-Root,resolved_entry_only,63,0,0,55,8,47,16,0.0,0.0,0.873015873015873,0.12698412698412698
,C-Root,all_publicly_visible,99,0,0,73,26,64,35,0.0,0.0,0.7373737373737373,0.26262626262626265
,C-Root,resolved_entry_only,99,0,0,73,26,64,35,0.0,0.0,0.7373737373737373,0.26262626262626265
