feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,2149,0.32540884312537854
3,4076,0.6172016959418534
4,216,0.03270745003028468
5,87,0.013173834039975772
7,40,0.0060569351907934586
8,36,0.005451241671714113
