metric,value
candidate_rows,7715.0
unique_links,1645.0
unique_units,44.0
units_with_network_layer_diversity,88.0
units_with_physical_diversity_cable,44.0
units_with_physical_diversity_corridor,44.0
units_with_network_physical_mismatch_cable,44.0
units_with_network_physical_mismatch_corridor,44.0
median_network_layer_diversity_score,3.2516029734964853
median_cable_physical_candidate_diversity_score,1.9978180090947473
median_corridor_physical_candidate_diversity_score,1.0
cable_mismatch_network_high_physical_low,9.0
cable_mismatch_network_high_physical_high,13.0
cable_mismatch_network_low_physical_low,13.0
cable_mismatch_network_low_physical_high,9.0
corridor_mismatch_network_high_physical_low,6.0
corridor_mismatch_network_high_physical_high,16.0
corridor_mismatch_network_low_physical_low,17.0
corridor_mismatch_network_low_physical_high,5.0
cable_corridor_target_quadrant_preserved,5.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.5555555555555556
cable_corridor_target_quadrant_precision_to_corridor,0.8333333333333334
mean_corridor_minus_cable_physical_diversity,-1.4427425985829252
cable_corridor_quadrant_agreement_rate,0.6136363636363636
spearman_cable_corridor_physical_diversity_score,0.3992021921655756
