probe_country,service_id,service_class,deployment_type,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_feasible_submarine_corridor_candidates,submarine_candidate_exposure_rate,any_candidate_exposure_rate,inter_region_candidate_exposure_rate,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AE,D-Root,dns_root,anycast,all_publicly_visible,40,40,5,0.125,0.125,0.075,0.025,0.075,0.05,5,0.125,1.0,20,14,1,1,0.95,True,True,auditable,,probe_country_service
AE,D-Root,dns_root,anycast,resolved_entry_only,38,38,5,0.13157894736842105,0.13157894736842105,0.07894736842105263,0.02631578947368421,0.07894736842105263,0.05263157894736842,5,0.13157894736842105,1.0,19,13,1,1,1.0,True,True,auditable,,probe_country_service
AL,D-Root,dns_root,anycast,all_publicly_visible,46,42,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9130434782608695,23,14,1,1,0.8695652173913043,True,True,auditable,,probe_country_service
AL,D-Root,dns_root,anycast,resolved_entry_only,40,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,20,11,1,1,1.0,True,True,auditable,,probe_country_service
AR,D-Root,dns_root,anycast,all_publicly_visible,103,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9514563106796117,52,40,1,1,0.9514563106796117,True,True,auditable,,probe_country_service
AR,D-Root,dns_root,anycast,resolved_entry_only,98,98,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,50,38,1,1,1.0,True,True,auditable,,probe_country_service
AT,D-Root,dns_root,anycast,all_publicly_visible,411,405,2,0.004866180048661801,0.004866180048661801,0.0,0.0,0.0,0.004866180048661801,2,0.004866180048661801,0.9854014598540146,205,80,1,1,0.9659367396593674,True,True,auditable,,probe_country_service
AT,D-Root,dns_root,anycast,resolved_entry_only,397,397,2,0.005037783375314861,0.005037783375314861,0.0,0.0,0.0,0.005037783375314861,2,0.005037783375314861,1.0,198,78,1,1,1.0,True,True,auditable,,probe_country_service
AU,D-Root,dns_root,anycast,all_publicly_visible,481,373,165,0.34303534303534305,0.34303534303534305,0.07484407484407485,0.07068607068607069,0.004158004158004158,0.3388773388773389,165,0.34303534303534305,0.7754677754677755,241,71,1,1,0.762993762993763,True,True,auditable,,probe_country_service
AU,D-Root,dns_root,anycast,resolved_entry_only,367,367,159,0.4332425068119891,0.4332425068119891,0.09264305177111716,0.08719346049046321,0.005449591280653951,0.42779291553133514,159,0.4332425068119891,1.0,192,64,1,1,1.0,True,True,auditable,,probe_country_service
BA,D-Root,dns_root,anycast,all_publicly_visible,30,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9333333333333333,15,6,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
BE,D-Root,dns_root,anycast,all_publicly_visible,292,292,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,146,25,1,1,1.0,True,True,auditable,,probe_country_service
BE,D-Root,dns_root,anycast,resolved_entry_only,292,292,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,146,25,1,1,1.0,True,True,auditable,,probe_country_service
BG,D-Root,dns_root,anycast,all_publicly_visible,166,164,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.9879518072289156,83,51,1,1,0.9759036144578314,True,True,auditable,,probe_country_service
BG,D-Root,dns_root,anycast,resolved_entry_only,162,162,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,81,49,1,1,1.0,True,True,auditable,,probe_country_service
BO,D-Root,dns_root,anycast,all_publicly_visible,36,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,18,9,1,1,1.0,True,True,auditable,,probe_country_service
