country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
DJ,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,6,3,COUNTRY_FALLBACK:DJ->FR,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_network_transition_concentration,3,0,3,0.5,0.0,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",4,3,0.0,1.0
DK,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,1,1,COUNTRY_FALLBACK:DK->SE,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,1,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0
DO,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,8,3,23520->23520,0.5,0.75,1.0,2.82842712474619,weak_network_transition_concentration,4,4,0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,4,0.0,1.0
EE,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,33,5,1299->1299,0.3939393939393939,0.6666666666666666,0.8181818181818181,4.234342158446738,weak_network_transition_concentration,9,21,3,0.2727272727272727,0.6363636363636364,0.09090909090909091,True,True,auditable,,19,11,0.0,1.0
ES,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,112,7,1299->1299,0.4642857142857143,0.8214285714285714,0.9285714285714286,3.450115717847171,moderate_network_transition_concentration,0,111,1,0.0,0.9910714285714286,0.008928571428571428,True,True,auditable,,59,21,0.017857142857142856,0.9821428571428571
FI,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,124,11,1299->1299,0.3951612903225806,0.6612903225806451,0.7419354838709677,5.703725780998936,broad_network_transition_distribution,11,104,9,0.08870967741935484,0.8387096774193549,0.07258064516129033,True,True,auditable,,54,13,0.29838709677419356,0.7016129032258065
FJ,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,6,3,38442->38442,0.5,0.8333333333333333,1.0,2.7494592739972052,moderate_network_transition_concentration,2,3,1,0.3333333333333333,0.5,0.16666666666666666,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
FR,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,11,3,1299->1299,0.5454545454545454,0.8181818181818181,1.0,2.7045177963242053,moderate_network_transition_concentration,0,11,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0
GH,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,2,1,37468->37468,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,86710103,popular-application_wikipedia_msm86710103_20260701T000000Z_010000Z.json,4,2,6939->6939,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
