probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
SK,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,55818->55818,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
SL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,329109->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
SV,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,2,12956->12956,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.0,1.0
TH,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,12,6,133481->133481,0.3333333333333333,0.5,0.6666666666666666,5.345392308842037,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.6666666666666666,0.3333333333333333
TJ,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,24,2,55818->55818,0.8333333333333334,1.0,1.0,1.5691925832141966,severe_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,9,1.0,0.0
TL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,5,2,-1->-1,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
TN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,1,2609->6762,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
TO,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,10,4,7575->7575,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.6,0.4
TT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,1,1,27800->27800,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1.0,0.0
TV,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,9241->-1,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
TW,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,93,13,-1->2497,0.4946236559139785,0.6129032258064516,0.7204301075268817,6.125330279976951,broad_network_transition_distribution,0.0,True,True,auditable,,36,13,0.40860215053763443,0.5913978494623656
UA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,24,2,3303->3303,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,12,8,1.0,0.0
UG,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,3,1,30844->30844,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
US,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,581,50,702->-1,0.26506024096385544,0.47676419965576594,0.5697074010327022,14.369400656851472,broad_network_transition_distribution,0.0,True,True,auditable,,206,52,0.7728055077452668,0.22719449225473323
UZ,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,8,1,58453->58453,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1.0,0.0
VE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,15,3,-1->269730,0.6666666666666666,0.8666666666666667,1.0,2.365173523311059,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,7,0.9333333333333333,0.06666666666666667
VI,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,14434->14434,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5
VN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,38,8,-1->4651,0.3157894736842105,0.5263157894736842,0.6842105263157894,6.212547937233019,broad_network_transition_distribution,0.0,True,True,auditable,,17,10,0.0,1.0
ZA,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,18,8,213481->328748,0.2222222222222222,0.3333333333333333,0.4444444444444444,7.715195845677657,broad_network_transition_distribution,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.8888888888888888,0.1111111111111111
