probe_country,service_id,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
GR,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,7,2,-1->702,0.7142857142857143,1.0,1.0,1.8189685116531733,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2,0.2857142857142857,0.7142857142857143
GT,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,4,1,12956->12956,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
GU,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,38,6,7131->7131,0.42105263157894735,0.631578947368421,0.7368421052631579,4.75,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,8,4,0.631578947368421,0.3684210526315789
HK,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,28,8,-1->4651,0.5714285714285714,0.6428571428571428,0.7142857142857142,4.483103414174955,broad_network_transition_distribution,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,12,0.2857142857142857,0.7142857142857143
HN,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,10,2,263725->54082,0.7,1.0,1.0,1.8420227750373133,moderate_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,4,0.0,1.0
HR,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,6,1,55818->55818,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,1.0,0.0
ID,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,247,49,55818->55818,0.12955465587044535,0.23481781376518218,0.3157894736842105,29.786470397024388,broad_network_transition_distribution,0.0,True,True,auditable,,62,45,0.4331983805668016,0.5668016194331984
IE,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,25,3,3303->3303,0.48,0.9199999999999999,1.0,2.498261121569521,moderate_network_transition_concentration,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,3,0.48,0.52
IL,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,38,7,1680->1680,0.4473684210526316,0.6578947368421053,0.763157894736842,4.794668192340632,broad_network_transition_distribution,0.0,True,True,auditable,,14,8,0.6842105263157895,0.3157894736842105
IM,I-Root,5005,dns-root_i-root_msm5005_20260701T000000Z_010000Z.json,2,1,42455->42455,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
