country,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_country_observation_mass,rank_within_country,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
ID,landing_region_0132::landing_region_0807,landing_region_0132 -> landing_region_0807,15.333333333333332,46,46,46,24,17,0.01405438435685915,5,False,False,False,0.0,15.333333333333332
ID,landing_region_0061::landing_region_0499,landing_region_0061 -> landing_region_0499,8.0,8,8,4,2,2,0.007332722273143905,6,False,False,False,8.0,0.0
ID,landing_region_0061::landing_region_0266,landing_region_0061 -> landing_region_0266,4.0,4,4,4,2,2,0.0036663611365719525,7,False,False,False,0.0,4.0
ID,landing_region_0061::landing_region_0124,landing_region_0061 -> landing_region_0124,3.0,6,6,6,3,2,0.002749770852428964,8,False,False,False,3.0,0.0
ID,landing_region_0061::landing_region_0600,landing_region_0061 -> landing_region_0600,3.0,6,6,6,3,2,0.002749770852428964,9,False,False,False,3.0,0.0
ID,landing_region_0110::landing_region_0110,landing_region_0110 -> landing_region_0110,3.0,4,4,4,2,2,0.002749770852428964,10,False,False,False,3.0,0.0
ID,landing_region_0061::landing_region_0274,landing_region_0061 -> landing_region_0274,2.0,2,2,2,1,1,0.0018331805682859762,11,False,False,False,2.0,0.0
ID,landing_region_0124::landing_region_0132,landing_region_0124 -> landing_region_0132,1.0,2,2,2,1,1,0.0009165902841429881,12,False,False,False,1.0,0.0
ID,landing_region_0132::landing_region_0600,landing_region_0132 -> landing_region_0600,1.0,2,2,2,1,1,0.0009165902841429881,13,False,False,False,1.0,0.0
ID,landing_region_0140::landing_region_0140,landing_region_0140 -> landing_region_0140,1.0,2,2,2,1,1,0.0009165902841429881,14,False,False,False,1.0,0.0
IE,landing_region_0169::landing_region_0279,landing_region_0169 -> landing_region_0279,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
IL,landing_region_0083::landing_region_0083,landing_region_0083 -> landing_region_0083,30.0,30,30,25,13,8,0.6818181818181818,1,True,False,False,30.0,0.0
IL,landing_region_0083::landing_region_0431,landing_region_0083 -> landing_region_0431,14.0,14,14,14,8,6,0.3181818181818182,2,False,True,False,0.0,14.0
IM,landing_region_0169::landing_region_0334,landing_region_0169 -> landing_region_0334,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
IN,landing_region_0260::landing_region_0663,landing_region_0260 -> landing_region_0663,5.0,5,5,5,3,3,0.7142857142857143,1,True,False,False,5.0,0.0
IN,landing_region_0132::landing_region_0663,landing_region_0132 -> landing_region_0663,2.0,2,2,2,1,1,0.2857142857142857,2,False,True,False,0.0,2.0
IT,landing_region_0364::landing_region_0431,landing_region_0364 -> landing_region_0431,4.0,4,4,4,2,1,0.6666666666666666,1,True,False,False,0.0,4.0
IT,landing_region_0217::landing_region_0276,landing_region_0217 -> landing_region_0276,2.0,2,2,2,1,1,0.3333333333333333,2,False,True,False,2.0,0.0
JM,landing_region_0174::landing_region_0201,landing_region_0174 -> landing_region_0201,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
JP,landing_region_0024::landing_region_0266,landing_region_0024 -> landing_region_0266,98.0,166,166,121,62,25,0.49746192893401014,1,True,False,False,98.0,0.0
JP,landing_region_0266::landing_region_0266,landing_region_0266 -> landing_region_0266,68.0,136,136,105,54,24,0.34517766497461927,2,False,True,False,68.0,0.0
JP,landing_region_0266::landing_region_0950,landing_region_0266 -> landing_region_0950,6.0,14,14,14,7,4,0.030456852791878174,3,False,False,True,6.0,0.0
JP,landing_region_0024::landing_region_0867,landing_region_0024 -> landing_region_0867,4.0,12,12,12,6,3,0.02030456852791878,4,False,False,False,4.0,0.0
JP,landing_region_0266::landing_region_0867,landing_region_0266 -> landing_region_0867,4.0,12,12,12,6,3,0.02030456852791878,5,False,False,False,4.0,0.0
JP,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,3.0,3,3,3,2,1,0.015228426395939087,6,False,False,False,0.0,3.0
JP,landing_region_0024::landing_region_0456,landing_region_0024 -> landing_region_0456,2.0,4,4,4,2,2,0.01015228426395939,7,False,False,False,2.0,0.0
JP,landing_region_0230::landing_region_0266,landing_region_0230 -> landing_region_0266,2.0,2,2,2,1,1,0.01015228426395939,8,False,False,False,0.0,2.0
JP,landing_region_0266::landing_region_0456,landing_region_0266 -> landing_region_0456,2.0,4,4,4,2,2,0.01015228426395939,9,False,False,False,2.0,0.0
JP,landing_region_0019::landing_region_0024,landing_region_0019 -> landing_region_0024,1.5,3,3,3,2,2,0.007614213197969543,10,False,False,False,1.5,0.0
JP,landing_region_0019::landing_region_0266,landing_region_0019 -> landing_region_0266,1.5,3,3,3,2,2,0.007614213197969543,11,False,False,False,1.5,0.0
JP,landing_region_0014::landing_region_0266,landing_region_0014 -> landing_region_0266,1.0,1,1,1,1,1,0.005076142131979695,12,False,False,False,0.0,1.0
JP,landing_region_0024::landing_region_0648,landing_region_0024 -> landing_region_0648,1.0,2,2,2,1,1,0.005076142131979695,13,False,False,False,1.0,0.0
JP,landing_region_0266::landing_region_0348,landing_region_0266 -> landing_region_0348,1.0,1,1,1,1,1,0.005076142131979695,14,False,False,False,0.0,1.0
JP,landing_region_0266::landing_region_0648,landing_region_0266 -> landing_region_0648,1.0,2,2,2,1,1,0.005076142131979695,15,False,False,False,1.0,0.0
JP,landing_region_0133::landing_region_0266,landing_region_0133 -> landing_region_0266,0.5,1,1,1,1,1,0.0025380710659898475,16,False,False,False,0.0,0.5
JP,landing_region_0250::landing_region_0266,landing_region_0250 -> landing_region_0266,0.5,1,1,1,1,1,0.0025380710659898475,17,False,False,False,0.0,0.5
KE,landing_region_0054::landing_region_0650,landing_region_0054 -> landing_region_0650,4.0,4,4,4,3,3,1.0,1,True,False,False,0.0,4.0
KY,landing_region_0174::landing_region_0412,landing_region_0174 -> landing_region_0412,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
LC,landing_region_0156::landing_region_0156,landing_region_0156 -> landing_region_0156,1.0,4,4,4,2,2,0.2,1,True,False,False,1.0,0.0
