probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
KN,2,2,1,0.5,1.0,1,1,1,1,1
KR,44,38,0,0.0,0.8636363636363636,1,22,12,1,1
KW,4,2,0,0.0,0.5,1,2,2,1,1
KY,2,2,2,1.0,1.0,1,1,1,1,1
KZ,108,108,0,0.0,1.0,1,54,20,1,1
LA,2,2,2,1.0,1.0,1,1,1,1,1
LB,4,2,0,0.0,0.5,1,2,2,1,1
LC,4,4,4,1.0,1.0,1,2,2,1,1
LI,6,6,6,1.0,1.0,1,3,3,1,1
LK,26,24,12,0.46153846153846156,0.9230769230769231,1,13,6,1,1
LS,2,2,0,0.0,1.0,1,1,1,1,1
LT,72,68,2,0.027777777777777776,0.9444444444444444,1,36,21,1,1
LU,76,70,0,0.0,0.9210526315789473,1,38,20,1,1
LV,60,60,1,0.016666666666666666,1.0,1,30,19,1,1
MA,2,2,0,0.0,1.0,1,1,1,1,1
MD,50,50,14,0.28,1.0,1,25,15,1,1
ME,12,12,2,0.16666666666666666,1.0,1,6,5,1,1
MG,4,4,0,0.0,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,20,18,0,0.0,0.9,1,10,8,1,1
ML,2,2,2,1.0,1.0,1,1,1,1,1
MM,6,6,1,0.16666666666666666,1.0,1,3,3,1,1
MN,14,14,0,0.0,1.0,1,7,7,1,1
MP,2,2,2,1.0,1.0,1,1,1,1,1
MT,16,16,16,1.0,1.0,1,8,2,1,1
MU,16,14,0,0.0,0.875,1,8,4,1,1
MV,22,22,19,0.8636363636363636,1.0,1,11,4,1,1
MW,2,2,0,0.0,1.0,1,1,1,1,1
MX,86,82,6,0.06976744186046512,0.9534883720930233,1,43,22,1,1
MY,66,64,4,0.06060606060606061,0.9696969696969697,1,33,18,1,1
MZ,6,6,0,0.0,1.0,1,3,3,1,1
NA,3493,3209,556,0.1591754938448325,0.9186945319209848,1,1748,4,1,1
NC,10,10,10,1.0,1.0,1,5,2,1,1
NG,18,18,9,0.5,1.0,1,9,6,1,1
NI,12,8,0,0.0,0.6666666666666666,1,6,4,1,1
NL,1143,773,118,0.10323709536307961,0.6762904636920385,1,574,159,1,1
NO,177,169,73,0.4124293785310734,0.9548022598870056,1,89,33,1,1
NP,29,29,13,0.4482758620689655,1.0,1,15,9,1,1
NZ,196,192,133,0.6785714285714286,0.9795918367346939,1,98,32,1,1
OM,2,2,2,1.0,1.0,1,1,1,1,1
PA,36,32,2,0.05555555555555555,0.8888888888888888,1,18,11,1,1
PE,38,36,4,0.10526315789473684,0.9473684210526315,1,19,14,1,1
PF,10,10,0,0.0,1.0,1,5,1,1,1
PG,2,2,2,1.0,1.0,1,1,1,1,1
PH,118,114,87,0.7372881355932204,0.9661016949152542,1,59,33,1,1
PK,12,8,4,0.3333333333333333,0.6666666666666666,1,6,5,1,1
PL,408,387,70,0.1715686274509804,0.9485294117647058,1,204,120,1,1
PR,2,2,2,1.0,1.0,1,1,1,1,1
PS,2,2,0,0.0,1.0,1,1,1,1,1
PT,188,164,14,0.07446808510638298,0.8723404255319149,1,94,21,1,1
PW,2,2,0,0.0,1.0,1,1,1,1,1
PY,20,13,0,0.0,0.65,1,10,8,1,1
QA,2,2,0,0.0,1.0,1,1,1,1,1
RE,71,71,0,0.0,1.0,1,36,4,1,1
RO,162,153,3,0.018518518518518517,0.9444444444444444,1,81,43,1,1
RS,88,83,0,0.0,0.9431818181818182,1,44,16,1,1
RU,935,881,319,0.3411764705882353,0.9422459893048128,1,465,280,1,1
RW,2,2,0,0.0,1.0,1,1,1,1,1
SA,30,16,0,0.0,0.5333333333333333,1,15,8,1,1
SE,400,376,67,0.1675,0.94,1,200,70,1,1
SG,226,215,79,0.3495575221238938,0.9513274336283186,1,113,56,1,1
SI,86,72,0,0.0,0.8372093023255814,1,43,19,1,1
SK,96,88,2,0.020833333333333332,0.9166666666666666,1,48,21,1,1
SL,4,2,2,0.5,0.5,1,2,2,1,1
SM,2,2,0,0.0,1.0,1,1,1,1,1
SN,2,2,0,0.0,1.0,1,1,1,1,1
SS,2,2,0,0.0,1.0,1,1,1,1,1
SV,22,14,6,0.2727272727272727,0.6363636363636364,1,11,6,1,1
SY,2,0,0,0.0,0.0,1,1,1,1,1
TD,2,2,0,0.0,1.0,1,1,1,1,1
TG,2,2,0,0.0,1.0,1,1,1,1,1
TH,78,76,9,0.11538461538461539,0.9743589743589743,1,39,24,1,1
TJ,28,26,24,0.8571428571428571,0.9285714285714286,1,14,10,1,1
TL,8,8,2,0.25,1.0,1,4,2,1,1
TN,16,14,3,0.1875,0.875,1,8,5,1,1
TO,2,2,2,1.0,1.0,1,1,1,1,1
TR,116,109,0,0.0,0.9396551724137931,1,58,29,1,1
TT,2,2,1,0.5,1.0,1,1,1,1,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,126,120,69,0.5476190476190477,0.9523809523809523,1,63,29,1,1
TZ,8,8,0,0.0,1.0,1,4,3,1,1
UA,301,285,24,0.07973421926910298,0.946843853820598,1,151,104,1,1
UG,12,12,3,0.25,1.0,1,6,4,1,1
