probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds
DK,I-Root,dns_root,anycast,216,206,184,0.8518518518518519,0.9537037037037037,108,35,1,1,0.027777777777777776,True,True,auditable,
ID,I-Root,dns_root,anycast,158,155,123,0.7784810126582279,0.9810126582278481,79,57,1,1,0.0,True,True,auditable,
PH,I-Root,dns_root,anycast,118,114,87,0.7372881355932204,0.9661016949152542,59,33,1,1,0.0,True,True,auditable,
NZ,I-Root,dns_root,anycast,196,192,133,0.6785714285714286,0.9795918367346939,98,32,1,1,0.0,True,True,auditable,
VN,I-Root,dns_root,anycast,47,47,30,0.6382978723404256,1.0,24,13,1,1,0.0,True,True,auditable,
TW,I-Root,dns_root,anycast,126,120,69,0.5476190476190477,0.9523809523809523,63,29,1,1,0.0,True,True,auditable,
IL,I-Root,dns_root,anycast,58,58,28,0.4827586206896552,1.0,29,12,1,1,0.034482758620689655,True,True,auditable,
FI,I-Root,dns_root,anycast,283,268,127,0.44876325088339225,0.9469964664310954,142,50,1,1,0.0,True,True,auditable,
NO,I-Root,dns_root,anycast,177,169,73,0.4124293785310734,0.9548022598870056,89,33,1,1,0.0,True,True,auditable,
CN,I-Root,dns_root,anycast,99,91,39,0.3939393939393939,0.9191919191919192,50,23,1,1,0.04040404040404041,True,True,auditable,
CO,I-Root,dns_root,anycast,62,60,24,0.3870967741935484,0.967741935483871,31,22,1,1,0.0,True,True,auditable,
