setting,landing_catchment_radius_km,landing_region_maximum_diameter_km,rtt_tolerance_ms,all_atomic_segment_count,candidate_bearing_segment_count,single_corridor_segment_count,bounded_multi_corridor_segment_count,single_corridor_share_of_all_atomic_segments,bounded_multi_corridor_share_of_all_atomic_segments,single_corridor_share_among_candidate_bearing_segments,bounded_multi_corridor_share_among_candidate_bearing_segments,inter_region_candidate_bearing_segments,uniquely_resolved_segments,bounded_candidate_set_segments,uniquely_resolved_share,bounded_candidate_set_share,auditable_country_service_units,median_corridor_top2_share,median_corridor_normalized_entropy,median_normalized_entropy_reduction,global_landing_region_count,observed_landing_region_count,global_corridor_count,observed_corridor_count,baseline_auditable_unit_count,current_auditable_unit_count,shared_auditable_unit_count,newly_included_unit_count,excluded_baseline_unit_count,newly_included_units,excluded_units,shared_median_network_top2,baseline_shared_median_network_top2,current_shared_median_network_top2,baseline_shared_median_corridor_top2,current_shared_median_corridor_top2,baseline_shared_median_top2_shift,current_shared_median_top2_shift,shared_median_network_normalized_entropy,baseline_shared_median_network_normalized_entropy,current_shared_median_network_normalized_entropy,baseline_shared_median_corridor_normalized_entropy,current_shared_median_corridor_normalized_entropy,baseline_shared_median_entropy_reduction,current_shared_median_entropy_reduction,baseline_shared_positive_entropy_reduction_share,current_shared_positive_entropy_reduction_share,classification_agreement_numerator,classification_agreement_denominator,classification_agreement_rate,classification_agreement_with_baseline,segment_corridor_set_jaccard_with_baseline,segments_with_changed_corridor_set,corridor_id_comparison_semantics,observed_landing_station_count,baseline_comember_pair_count,current_comember_pair_count,comember_pair_intersection_count,comember_pair_union_count,landing_partition_comembership_jaccard,shared_candidate_bearing_segment_count,exact_candidate_set_jaccard_mean,exact_candidate_set_jaccard_median,exact_candidate_set_exact_match_share,segments_with_changed_exact_candidate_set,cable_set_jaccard_mean,cable_set_jaccard_median,cable_set_exact_match_share,segments_with_changed_cable_set
catchment30_diameter30_rtt0,30,30,0,61148,943,796,147,0.013017596650749003,0.002404003401583044,0.8441145281018028,0.15588547189819724,943,796,147,0.013017596650749003,0.002404003401583044,9,0.8214285714285714,0.6962275141814253,0.0706381552658482,1331,111,9043,111,13,9,8,1,5,1,5,0.7074231766012588,0.4293064530406302,0.7074231766012588,0.8423290524123568,0.7823359073359073,0.33312481601413013,0.06756756756756754,0.6943906197621619,0.7772099536114547,0.6943906197621619,0.5495766234288932,0.7069982974680553,0.15081992228227317,0.002690447805257623,0.875,0.5,7,8,0.875,0.875,0.15885596140592695,1706,resolution_dependent_corridor_id_comparison,255,212,146,132,226,0.584070796460177,813,0.891757361130055,1.0,0.7527675276752768,201,0.9231652316523165,1.0,0.8228782287822878,144
catchment30_diameter30_rtt5,30,30,5,61148,1057,899,158,0.014702034408320795,0.0025838948125858573,0.8505203405865658,0.14947965941343425,1057,899,158,0.014702034408320795,0.0025838948125858573,9,0.8269230769230769,0.69846065288581,0.0801220098878749,1331,114,9043,114,13,9,8,1,5,1,5,0.6998605421424213,0.4293064530406302,0.6998605421424213,0.8423290524123568,0.782589055240062,0.33312481601413013,0.06470487007399767,0.705396071171515,0.7772099536114547,0.705396071171515,0.5495766234288932,0.7168933838907117,0.15081992228227317,0.007805608559486921,0.875,0.5,7,8,0.875,0.875,0.16940073652494142,1691,resolution_dependent_corridor_id_comparison,255,212,146,132,226,0.584070796460177,898,0.8884097250188565,1.0,0.7461024498886414,228,0.9207020892989712,1.0,0.8195991091314031,162
catchment30_diameter30_rtt10,30,30,10,61148,1084,911,173,0.014898279583960228,0.0028292012821351476,0.8404059040590406,0.1595940959409594,1084,911,173,0.014898279583960228,0.0028292012821351476,9,0.8269230769230769,0.7100840641168722,0.0801220098878749,1331,116,9043,116,13,9,8,1,5,1,5,0.6816790736145575,0.4293064530406302,0.6816790736145575,0.8423290524123568,0.766025641025641,0.33312481601413013,0.06410256410256415,0.705396071171515,0.7772099536114547,0.705396071171515,0.5495766234288932,0.7227050895062428,0.15081992228227317,0.012886200298582007,0.875,0.5,7,8,0.875,0.875,0.16611950098489822,1718,resolution_dependent_corridor_id_comparison,257,212,146,132,226,0.584070796460177,898,0.8884097250188565,1.0,0.7461024498886414,228,0.9207020892989712,1.0,0.8195991091314031,162
catchment30_diameter50_rtt0,30,50,0,61148,868,810,58,0.013246549355661674,0.0009485183489239223,0.9331797235023042,0.06682027649769585,868,810,58,0.013246549355661674,0.0009485183489239223,8,0.88125,0.6116221258522689,0.09721517075297595,1160,99,7679,92,13,8,8,0,5,0,5,0.6795366795366795,0.4293064530406302,0.6795366795366795,0.8423290524123568,0.88125,0.33312481601413013,0.17333333333333323,0.687488865859075,0.7772099536114547,0.687488865859075,0.5495766234288932,0.6116221258522689,0.15081992228227317,0.09721517075297603,0.875,0.75,7,8,0.875,0.875,0.4312994876571961,1186,direct_corridor_id_comparison,255,212,212,212,212,1.0,868,0.8595049791478363,1.0,0.7050691244239631,256,0.9208333333333333,1.0,0.8168202764976958,159
catchment30_diameter50_rtt5,30,50,5,61148,963,895,68,0.014636619349774319,0.0011120559952901158,0.9293873312564901,0.07061266874350987,963,895,68,0.014636619349774319,0.0011120559952901158,8,0.891143509955391,0.6466123633244506,0.0891149819712811,1160,101,7679,93,13,8,8,0,5,0,5,0.6723713646532439,0.4293064530406302,0.6723713646532439,0.8423290524123568,0.891143509955391,0.33312481601413013,0.17914438502673802,0.697118569363337,0.7772099536114547,0.697118569363337,0.5495766234288932,0.6466123633244506,0.15081992228227317,0.08911498197128115,0.875,0.75,7,8,0.875,0.875,0.480204937121565,1093,direct_corridor_id_comparison,255,212,212,212,212,1.0,963,0.8548256030343258,1.0,0.6957424714434061,293,0.9193912871482964,1.0,0.8151609553478713,178
catchment30_diameter50_rtt10,30,50,10,61148,990,918,72,0.015012755936416563,0.0011774710538365932,0.9272727272727272,0.07272727272727272,990,918,72,0.015012755936416563,0.0011774710538365932,8,0.891143509955391,0.6466123633244506,0.10761585760048685,1160,103,7679,95,13,8,8,0,5,0,5,0.6546607168154129,0.4293064530406302,0.6546607168154129,0.8423290524123568,0.891143509955391,0.33312481601413013,0.17914438502673802,0.7010830998169388,0.7772099536114547,0.7010830998169388,0.5495766234288932,0.6466123633244506,0.15081992228227317,0.10761585760048686,0.875,0.75,7,8,0.875,0.875,0.4733700642791552,1120,direct_corridor_id_comparison,257,212,212,212,212,1.0,963,0.8548256030343258,1.0,0.6957424714434061,293,0.9193912871482964,1.0,0.8151609553478713,178
catchment30_diameter75_rtt0,30,75,0,61148,700,618,82,0.010106626545430758,0.0013410087002027867,0.8828571428571429,0.11714285714285715,700,618,82,0.010106626545430758,0.0013410087002027867,7,0.7441860465116279,0.6962275141814253,0.0722757857520535,983,101,6682,91,13,7,7,0,6,0,6,0.7162162162162162,0.444055944055944,0.7162162162162162,0.835820895522388,0.7441860465116279,0.3023255813953488,0.11428571428571432,0.6309702545260922,0.7608363501943557,0.6309702545260922,0.5685491797949368,0.6962275141814253,0.14118066520753386,0.07227578575205351,0.8571428571428571,0.5714285714285714,5,7,0.7142857142857143,0.7142857142857143,0.06547835576573299,1840,resolution_dependent_corridor_id_comparison,255,212,257,167,302,0.5529801324503312,698,0.8942709391849791,1.0,0.7578796561604585,169,0.9217116932732979,1.0,0.8223495702005731,124
catchment30_diameter75_rtt5,30,75,5,61148,760,676,84,0.01105514489435468,0.0013737162294760253,0.8894736842105263,0.11052631578947368,760,676,84,0.01105514489435468,0.0013737162294760253,7,0.7608695652173912,0.69846065288581,0.0704023183131566,983,104,6682,93,13,7,7,0,6,0,6,0.7114093959731543,0.444055944055944,0.7114093959731543,0.835820895522388,0.7608695652173912,0.3023255813953488,0.10810810810810811,0.6339498601169089,0.7608363501943557,0.6339498601169089,0.5685491797949368,0.69846065288581,0.14118066520753386,0.07040231831315669,0.8571428571428571,0.5714285714285714,5,7,0.7142857142857143,0.7142857142857143,0.07050823192555476,1824,resolution_dependent_corridor_id_comparison,255,212,257,167,302,0.5529801324503312,757,0.8872117754548402,1.0,0.7450462351387054,193,0.9171132918160658,1.0,0.8163804491413474,139
catchment30_diameter75_rtt10,30,75,10,61148,787,692,95,0.01131680512854059,0.0015536076404788382,0.8792884371029225,0.1207115628970775,787,692,95,0.01131680512854059,0.0015536076404788382,7,0.75,0.6818859775091386,0.0704023183131566,983,106,6682,95,13,7,7,0,6,0,6,0.6838709677419355,0.444055944055944,0.6838709677419355,0.835820895522388,0.75,0.3023255813953488,0.10810810810810811,0.6418789210241127,0.7608363501943557,0.6418789210241127,0.5685491797949368,0.6818859775091386,0.14118066520753386,0.07040231831315669,0.8571428571428571,0.5714285714285714,5,7,0.7142857142857143,0.7142857142857143,0.06956214689265537,1851,resolution_dependent_corridor_id_comparison,257,212,257,167,302,0.5529801324503312,757,0.8872117754548402,1.0,0.7450462351387054,193,0.9171132918160658,1.0,0.8163804491413474,139
catchment50_diameter30_rtt0,50,30,0,61148,2350,1259,1091,0.02058938967750376,0.01784195721855171,0.5357446808510639,0.4642553191489362,2350,1259,1091,0.02058938967750376,0.01784195721855171,15,0.6802721088435375,0.6617546688776658,0.1269369573572238,1331,156,9043,175,13,15,13,2,0,2,0,0.4505494505494505,0.444055944055944,0.4505494505494505,0.8488372093023255,0.647887323943662,0.3023255813953488,0.10526315789473673,0.7766162677942232,0.7802101066423057,0.7766162677942232,0.5685491797949368,0.7829807600484454,0.16045917935701248,0.10646775694007338,0.8461538461538461,0.6153846153846154,6,13,0.46153846153846156,0.46153846153846156,0.08363221388979458,2070,resolution_dependent_corridor_id_comparison,255,212,146,132,226,0.584070796460177,1810,0.9828412080552964,1.0,0.938121546961326,112,0.9852354643514865,1.0,0.945303867403315,99
catchment50_diameter30_rtt5,50,30,5,61148,2695,1477,1218,0.02415451036828678,0.019918885327402366,0.548051948051948,0.45194805194805193,2695,1477,1218,0.02415451036828678,0.019918885327402366,15,0.6438356164383562,0.6319926528022545,0.1619698595482943,1331,162,9043,182,13,15,13,2,0,2,0,0.4247491638795986,0.444055944055944,0.4247491638795986,0.8488372093023255,0.6358543417366946,0.3023255813953488,0.09523809523809523,0.7855264895565086,0.7802101066423057,0.7855264895565086,0.5685491797949368,0.7393493254214786,0.16045917935701248,0.1431874349239347,0.8461538461538461,0.6153846153846154,6,13,0.46153846153846156,0.46153846153846156,0.0848061785236893,2152,resolution_dependent_corridor_id_comparison,255,212,146,132,226,0.584070796460177,2016,1.0,1.0,1.0,0,1.0,1.0,1.0,0
