setting,landing_catchment_radius_km,landing_region_maximum_diameter_km,rtt_tolerance_ms,all_atomic_segment_count,candidate_bearing_segment_count,single_corridor_segment_count,bounded_multi_corridor_segment_count,single_corridor_share_of_all_atomic_segments,bounded_multi_corridor_share_of_all_atomic_segments,single_corridor_share_among_candidate_bearing_segments,bounded_multi_corridor_share_among_candidate_bearing_segments,inter_region_candidate_bearing_segments,uniquely_resolved_segments,bounded_candidate_set_segments,uniquely_resolved_share,bounded_candidate_set_share,auditable_country_service_units,median_corridor_top2_share,median_corridor_normalized_entropy,median_normalized_entropy_reduction,global_landing_region_count,observed_landing_region_count,global_corridor_count,observed_corridor_count,baseline_auditable_unit_count,current_auditable_unit_count,shared_auditable_unit_count,newly_included_unit_count,excluded_baseline_unit_count,newly_included_units,excluded_units,shared_median_network_top2,baseline_shared_median_network_top2,current_shared_median_network_top2,baseline_shared_median_corridor_top2,current_shared_median_corridor_top2,baseline_shared_median_top2_shift,current_shared_median_top2_shift,shared_median_network_normalized_entropy,baseline_shared_median_network_normalized_entropy,current_shared_median_network_normalized_entropy,baseline_shared_median_corridor_normalized_entropy,current_shared_median_corridor_normalized_entropy,baseline_shared_median_entropy_reduction,current_shared_median_entropy_reduction,baseline_shared_positive_entropy_reduction_share,current_shared_positive_entropy_reduction_share,classification_agreement_numerator,classification_agreement_denominator,classification_agreement_rate,classification_agreement_with_baseline,segment_corridor_set_jaccard_with_baseline,segments_with_changed_corridor_set,corridor_id_comparison_semantics,observed_landing_station_count,baseline_comember_pair_count,current_comember_pair_count,comember_pair_intersection_count,comember_pair_union_count,landing_partition_comembership_jaccard,shared_candidate_bearing_segment_count,exact_candidate_set_jaccard_mean,exact_candidate_set_jaccard_median,exact_candidate_set_exact_match_share,segments_with_changed_exact_candidate_set,cable_set_jaccard_mean,cable_set_jaccard_median,cable_set_exact_match_share,segments_with_changed_cable_set
catchment50_diameter30_rtt10,50,30,10,61148,2723,1490,1233,0.02436710930856283,0.02016419179695166,0.5471905986044804,0.4528094013955197,2723,1490,1233,0.02436710930856283,0.02016419179695166,15,0.6438356164383562,0.6319926528022545,0.1619698595482943,1331,164,9043,184,13,15,13,2,0,2,0,0.4266666666666666,0.444055944055944,0.4266666666666666,0.8488372093023255,0.6358543417366946,0.3023255813953488,0.09523809523809523,0.7830523782398939,0.7802101066423057,0.7830523782398939,0.5685491797949368,0.7655029051690277,0.16045917935701248,0.12163796590159937,0.8461538461538461,0.6153846153846154,6,13,0.46153846153846156,0.46153846153846156,0.08344293438550343,2180,resolution_dependent_corridor_id_comparison,257,212,146,132,226,0.584070796460177,2016,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter50_rtt0,50,50,0,61148,1803,1713,90,0.028013998822528946,0.0014718388172957416,0.9500831946755408,0.04991680532445923,1803,1713,90,0.028013998822528946,0.0014718388172957416,12,0.8605769230769231,0.5461521014658024,0.1724624565389561,1160,131,7679,129,13,12,12,0,1,0,1,0.44605614219683587,0.4293064530406302,0.44605614219683587,0.8554792107117688,0.8605769230769231,0.33298097251585623,0.3251463210702341,0.7666567779445037,0.7772099536114547,0.7666567779445037,0.5495766234288932,0.5461521014658024,0.18398516774790075,0.17246245653895614,0.8333333333333334,0.8333333333333334,11,12,0.9166666666666666,0.9166666666666666,0.8924080111783884,216,direct_corridor_id_comparison,255,212,212,212,212,1.0,1803,0.9837914142614642,1.0,0.9417637271214643,105,0.9855478963632042,1.0,0.9462007764836384,97
catchment50_diameter50_rtt5,50,50,5,61148,2016,1912,104,0.0312683979852162,0.0017007915222084125,0.9484126984126984,0.051587301587301584,2016,1912,104,0.0312683979852162,0.0017007915222084125,13,0.8488372093023255,0.5685491797949368,0.1604591793570124,1160,136,7679,133,13,13,13,0,0,0,0,0.444055944055944,0.444055944055944,0.444055944055944,0.8488372093023255,0.8488372093023255,0.3023255813953488,0.3023255813953488,0.7802101066423057,0.7802101066423057,0.7802101066423057,0.5685491797949368,0.5685491797949368,0.16045917935701248,0.16045917935701248,0.8461538461538461,0.8461538461538461,13,13,1.0,1.0,1.0,0,direct_corridor_id_comparison,255,212,212,212,212,1.0,2016,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter50_rtt10,50,50,10,61148,2044,1927,117,0.031513704454765486,0.001913390462484464,0.9427592954990215,0.05724070450097847,2044,1927,117,0.031513704454765486,0.001913390462484464,13,0.8488372093023255,0.5685491797949368,0.1604591793570124,1160,138,7679,135,13,13,13,0,0,0,0,0.445993031358885,0.444055944055944,0.445993031358885,0.8488372093023255,0.8488372093023255,0.3023255813953488,0.3023255813953488,0.7802101066423057,0.7802101066423057,0.7802101066423057,0.5685491797949368,0.5685491797949368,0.16045917935701248,0.16045917935701248,0.8461538461538461,0.8461538461538461,13,13,1.0,1.0,0.9812614259597806,28,direct_corridor_id_comparison,257,212,212,212,212,1.0,2016,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter75_rtt0,50,75,0,61148,1671,1528,143,0.024988552364754366,0.002338588343036567,0.9144225014961102,0.08557749850388989,1671,1528,143,0.024988552364754366,0.002338588343036567,12,0.8719951923076923,0.5746855460492559,0.1409390711495824,983,126,6682,125,13,12,11,1,2,1,2,0.5675675675675675,0.444055944055944,0.5675675675675675,0.8488372093023255,0.859375,0.3023255813953488,0.203125,0.7462773355518209,0.7608363501943557,0.7462773355518209,0.5685491797949368,0.6045845703780984,0.16045917935701248,0.1098943694977984,0.8181818181818182,0.8181818181818182,9,11,0.8181818181818182,0.8181818181818182,0.05261759234653202,1877,resolution_dependent_corridor_id_comparison,255,212,257,167,302,0.5529801324503312,1614,0.992511043788925,1.0,0.9584882280049566,67,0.9933115005605712,1.0,0.9609665427509294,63
catchment50_diameter75_rtt5,50,75,5,61148,1901,1747,154,0.028570026820174003,0.0025184797540393797,0.9189900052603893,0.08100999473961074,1901,1747,154,0.028570026820174003,0.0025184797540393797,13,0.8484848484848485,0.6272658366116908,0.1389090612526571,983,130,6682,129,13,13,12,1,1,1,1,0.4952837859814604,0.46878121878121876,0.4952837859814604,0.8423290524123568,0.8170995670995671,0.2775995723068698,0.21277056277056278,0.7733588551221376,0.7705232284183308,0.7733588551221376,0.58446317531614,0.6292958381385279,0.15081992228227317,0.13683585906167825,0.8333333333333334,0.8333333333333334,11,12,0.9166666666666666,0.9166666666666666,0.05629555164614225,1872,resolution_dependent_corridor_id_comparison,255,212,257,167,302,0.5529801324503312,1823,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment50_diameter75_rtt10,50,75,10,61148,1929,1760,169,0.028782625760450056,0.00276378622358867,0.9123898392949715,0.08761016070502851,1929,1760,169,0.028782625760450056,0.00276378622358867,13,0.8484848484848485,0.6272658366116908,0.1347626568706993,983,132,6682,131,13,13,12,1,1,1,1,0.49625232963293087,0.46878121878121876,0.49625232963293087,0.8423290524123568,0.8050473778027958,0.2775995723068698,0.21277056277056278,0.7733588551221376,0.7705232284183308,0.7733588551221376,0.58446317531614,0.6292958381385279,0.15081992228227317,0.12849290726087167,0.8333333333333334,0.8333333333333334,11,12,0.9166666666666666,0.9166666666666666,0.0556936847339632,1900,resolution_dependent_corridor_id_comparison,257,212,257,167,302,0.5529801324503312,1823,1.0,1.0,1.0,0,1.0,1.0,1.0,0
catchment75_diameter30_rtt0,75,30,0,61148,3364,2102,1262,0.034375613266173874,0.02063845097141362,0.6248513674197385,0.3751486325802616,3364,2102,1262,0.034375613266173874,0.02063845097141362,22,0.7282059950416948,0.5325758756282227,0.1611702819534861,1331,230,9043,317,13,22,13,9,0,9,0,0.4069400630914827,0.444055944055944,0.4069400630914827,0.8488372093023255,0.4349112426035503,0.3023255813953488,0.10526315789473673,0.7927640618077924,0.7802101066423057,0.7927640618077924,0.5685491797949368,0.7662343166138712,0.16045917935701248,0.11613320449270348,0.8461538461538461,0.6153846153846154,5,13,0.38461538461538464,0.38461538461538464,0.05741466144376049,3110,resolution_dependent_corridor_id_comparison,368,321,225,209,337,0.6201780415430267,1810,0.8612149961514737,0.875,0.41823204419889504,1053,0.9675513022888714,1.0,0.907182320441989,168
catchment75_diameter30_rtt5,75,30,5,61148,4024,2598,1426,0.04248708052593707,0.023320468371819194,0.6456262425447317,0.3543737574552684,4024,2598,1426,0.04248708052593707,0.023320468371819194,23,0.7366412213740459,0.5831259379203482,0.1619698595482943,1331,248,9043,340,13,23,13,10,0,10,0,0.3875739644970414,0.444055944055944,0.3875739644970414,0.8488372093023255,0.4689119170984456,0.3023255813953488,0.09523809523809523,0.802692049206038,0.7802101066423057,0.802692049206038,0.5685491797949368,0.7015204380549382,0.16045917935701248,0.1594289896308062,0.8461538461538461,0.6923076923076923,4,13,0.3076923076923077,0.3076923076923077,0.055658446242323814,3510,resolution_dependent_corridor_id_comparison,391,338,241,223,356,0.6264044943820225,2016,0.8639518378546377,0.875,0.4131944444444444,1183,0.981609623015873,1.0,0.9588293650793651,83
catchment75_diameter30_rtt10,75,30,10,61148,4053,2609,1444,0.042666971936939885,0.02361483613527834,0.6437207007155193,0.35627929928448065,4053,2609,1444,0.042666971936939885,0.02361483613527834,23,0.7366412213740459,0.5831259379203482,0.1619698595482943,1331,250,9043,343,13,23,13,10,0,10,0,0.3797101449275362,0.444055944055944,0.3797101449275362,0.8488372093023255,0.4689119170984456,0.3023255813953488,0.09523809523809523,0.7997785444803145,0.7802101066423057,0.7997785444803145,0.5685491797949368,0.7015204380549382,0.16045917935701248,0.1431274187603755,0.8461538461538461,0.6923076923076923,4,13,0.3076923076923077,0.3076923076923077,0.05496726992683866,3539,resolution_dependent_corridor_id_comparison,393,338,241,223,356,0.6264044943820225,2016,0.8639518378546377,0.875,0.4131944444444444,1183,0.981609623015873,1.0,0.9588293650793651,83
catchment75_diameter50_rtt0,75,50,0,61148,2807,2589,218,0.042339896644207495,0.003565120690783018,0.9223370146063413,0.0776629853936587,2807,2589,218,0.042339896644207495,0.003565120690783018,20,0.8516631705124362,0.5459312017167408,0.1702527338912586,1160,196,7679,238,13,20,13,7,0,7,0,0.4082278481012658,0.444055944055944,0.4082278481012658,0.8488372093023255,0.7857142857142857,0.3023255813953488,0.3125,0.7451463866646826,0.7802101066423057,0.7451463866646826,0.5685491797949368,0.5845588877640304,0.16045917935701248,0.16058749890065216,0.8461538461538461,0.9230769230769231,9,13,0.6923076923076923,0.6923076923076923,0.5600701549254604,1334,direct_corridor_id_comparison,368,321,321,321,321,1.0,1803,0.8618409001853398,0.875,0.41985579589572936,1046,0.9679614663391702,1.0,0.9079312257348863,166
catchment75_diameter50_rtt5,75,50,5,61148,3338,3077,261,0.05032053378687774,0.00426833257015765,0.9218094667465548,0.07819053325344517,3338,3077,261,0.05032053378687774,0.00426833257015765,21,0.8488372093023255,0.538479480719741,0.1585859599446781,1160,213,7679,258,13,21,13,8,0,8,0,0.3887240356083086,0.444055944055944,0.3887240356083086,0.8488372093023255,0.7719887955182072,0.3023255813953488,0.339622641509434,0.7852546157119396,0.7802101066423057,0.7852546157119396,0.5685491797949368,0.5906051124981533,0.16045917935701248,0.16045917935701248,0.8461538461538461,0.9230769230769231,9,13,0.6923076923076923,0.6923076923076923,0.563813025210084,1465,direct_corridor_id_comparison,391,338,338,338,338,1.0,2016,0.8639518378546377,0.875,0.4131944444444444,1183,0.981609623015873,1.0,0.9588293650793651,83
catchment75_diameter50_rtt10,75,50,10,61148,3367,3091,276,0.05054948649179041,0.004513639039706941,0.918027918027918,0.08197208197208197,3367,3091,276,0.05054948649179041,0.004513639039706941,21,0.8488372093023255,0.538479480719741,0.1585859599446781,1160,215,7679,261,13,21,13,8,0,8,0,0.3808139534883721,0.444055944055944,0.3808139534883721,0.8488372093023255,0.7719887955182072,0.3023255813953488,0.3343023255813953,0.7852546157119396,0.7802101066423057,0.7852546157119396,0.5685491797949368,0.5906051124981533,0.16045917935701248,0.16045917935701248,0.8461538461538461,0.9230769230769231,9,13,0.6923076923076923,0.6923076923076923,0.5573727933541017,1494,direct_corridor_id_comparison,393,338,338,338,338,1.0,2016,0.8639518378546377,0.875,0.4131944444444444,1183,0.981609623015873,1.0,0.9588293650793651,83
catchment75_diameter75_rtt0,75,75,0,61148,2106,1911,195,0.031252044220579575,0.003188984104140773,0.9074074074074074,0.09259259259259259,2106,1911,195,0.031252044220579575,0.003188984104140773,16,0.8473544973544973,0.5614972759812351,0.15331131974764206,983,168,6682,185,13,16,13,3,0,3,0,0.4432989690721649,0.444055944055944,0.4432989690721649,0.8488372093023255,0.8407407407407408,0.3023255813953488,0.24285714285714288,0.7828182554749236,0.7802101066423057,0.7828182554749236,0.5685491797949368,0.6049831730991415,0.16045917935701248,0.11776707215935811,0.8461538461538461,0.9230769230769231,12,13,0.9230769230769231,0.9230769230769231,0.04639175257731959,2192,resolution_dependent_corridor_id_comparison,368,321,462,273,510,0.5352941176470588,1737,0.8653648967034254,0.875,0.4168105929763961,1013,0.9758183238753187,1.0,0.9245826137017847,131
catchment75_diameter75_rtt5,75,75,5,61148,2488,2275,213,0.03720481454830902,0.0034833518675999216,0.9143890675241158,0.08561093247588425,2488,2275,213,0.03720481454830902,0.0034833518675999216,16,0.8424092409240924,0.5738270763731297,0.1461665467991798,983,178,6682,195,13,16,13,3,0,3,0,0.4145569620253164,0.444055944055944,0.4145569620253164,0.8488372093023255,0.8254716981132075,0.3023255813953488,0.2720588235294117,0.7951061158047636,0.7802101066423057,0.7951061158047636,0.5685491797949368,0.6252818446466667,0.16045917935701248,0.13965543571240435,0.8461538461538461,0.9230769230769231,12,13,0.9230769230769231,0.9230769230769231,0.04818240481824048,2304,resolution_dependent_corridor_id_comparison,391,338,488,290,536,0.5410447761194029,1981,0.8615481600782179,0.875,0.4028268551236749,1183,0.9812847046945987,1.0,0.9581019687026754,83
catchment75_diameter75_rtt10,75,75,10,61148,2517,2288,229,0.03741741348858507,0.003745012101785831,0.9090186730234406,0.09098132697655939,2517,2288,229,0.03741741348858507,0.003745012101785831,16,0.8424092409240924,0.5738270763731297,0.1461665467991798,983,180,6682,197,13,16,13,3,0,3,0,0.4055727554179567,0.444055944055944,0.4055727554179567,0.8488372093023255,0.8254716981132075,0.3023255813953488,0.23611111111111116,0.7939152947293519,0.7802101066423057,0.7939152947293519,0.5685491797949368,0.6252818446466667,0.16045917935701248,0.13965543571240435,0.8461538461538461,0.9230769230769231,12,13,0.9230769230769231,0.9230769230769231,0.04772049424797614,2333,resolution_dependent_corridor_id_comparison,393,338,488,290,536,0.5410447761194029,1981,0.8615481600782179,0.875,0.4028268551236749,1183,0.9812847046945987,1.0,0.9581019687026754,83
