probe_country,service_id,service_class,deployment_type,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns,service_entry_resolution_rate,sufficient_trace_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,analysis_scope
AD,L-Root,dns_root,anycast,6,6,5,0.8333333333333334,1.0,3,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AE,L-Root,dns_root,anycast,40,40,28,0.7,1.0,20,14,1,1,1.0,True,True,auditable,,probe_country_service
AF,L-Root,dns_root,anycast,12,6,4,0.3333333333333333,0.5,6,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AL,L-Root,dns_root,anycast,46,42,11,0.2391304347826087,0.9130434782608695,23,14,1,1,0.8695652173913043,True,True,auditable,,probe_country_service
AM,L-Root,dns_root,anycast,28,28,0,0.0,1.0,14,7,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AO,L-Root,dns_root,anycast,20,20,0,0.0,1.0,10,4,1,1,1.0,False,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,probe_country_service
AR,L-Root,dns_root,anycast,101,92,0,0.0,0.9108910891089109,51,39,1,1,0.9108910891089109,True,True,auditable,,probe_country_service
AT,L-Root,dns_root,anycast,411,399,2,0.004866180048661801,0.9708029197080292,206,81,1,1,0.9513381995133819,True,True,auditable,,probe_country_service
AU,L-Root,dns_root,anycast,480,409,255,0.53125,0.8520833333333333,240,71,1,1,0.8520833333333333,True,True,auditable,,probe_country_service
AX,L-Root,dns_root,anycast,5,5,3,0.6,1.0,2,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
AZ,L-Root,dns_root,anycast,18,14,0,0.0,0.7777777777777778,9,8,1,1,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BA,L-Root,dns_root,anycast,30,28,0,0.0,0.9333333333333333,15,6,1,1,0.9333333333333333,True,True,auditable,,probe_country_service
BB,L-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BD,L-Root,dns_root,anycast,18,18,6,0.3333333333333333,1.0,9,6,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BE,L-Root,dns_root,anycast,294,287,12,0.04081632653061224,0.9761904761904762,146,25,1,1,0.9761904761904762,True,True,auditable,,probe_country_service
BF,L-Root,dns_root,anycast,9,7,0,0.0,0.7777777777777778,5,4,1,1,0.7777777777777778,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BG,L-Root,dns_root,anycast,166,164,2,0.012048192771084338,0.9879518072289156,83,51,1,1,0.9759036144578314,True,True,auditable,,probe_country_service
BH,L-Root,dns_root,anycast,10,10,6,0.6,1.0,5,2,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BI,L-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BJ,L-Root,dns_root,anycast,14,14,4,0.2857142857142857,1.0,7,4,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",probe_country_service
BL,L-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BO,L-Root,dns_root,anycast,36,36,2,0.05555555555555555,1.0,18,9,1,1,1.0,True,True,auditable,,probe_country_service
BR,L-Root,dns_root,anycast,173,112,4,0.023121387283236993,0.6473988439306358,87,58,1,1,0.6127167630057804,True,True,auditable,,probe_country_service
BT,L-Root,dns_root,anycast,4,2,2,0.5,0.5,2,2,1,1,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BW,L-Root,dns_root,anycast,2,2,0,0.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
BY,L-Root,dns_root,anycast,46,46,2,0.043478260869565216,1.0,23,14,1,1,0.9565217391304348,True,True,auditable,,probe_country_service
BZ,L-Root,dns_root,anycast,2,2,2,1.0,1.0,1,1,1,1,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",probe_country_service
