probe_country,service_id,msm_id,file_name,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share,analysis_scope
MM,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,0.6,1.0,1.0,1.9601317042077895,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",3,3,0.6,0.4,probe_country_service
MN,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,36,0.25,0.4722222222222222,0.6388888888888888,6.608827983702253,broad_network_transition_distribution,0.2222222222222222,0.38888888888888884,0.5555555555555556,6.5467418158303285,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probes,minimum_unique_probes,4,4,0.6111111111111112,0.3888888888888889,probe_country_service
MP,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5,0.5,probe_country_service
MT,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,32,0.375,0.6875,0.8125,4.531650292231522,weak_network_transition_concentration,0.9375,1.0,1.0,1.2633812503027273,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_unique_probes,minimum_unique_probe_asns","minimum_unique_probes,minimum_unique_probe_asns",8,2,0.9375,0.0625,probe_country_service
MV,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,59,0.5423728813559322,0.8305084745762712,0.8983050847457628,3.377011228901338,moderate_network_transition_concentration,0.6779661016949152,0.9661016949152542,1.0,2.0891475220295708,moderate_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,True,True,True,True,True,auditable,,10,3,0.6779661016949152,0.3220338983050847,probe_country_service
MX,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_network_transition_concentration,0.4,0.6000000000000001,0.8,3.7892914162759954,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.4,0.6,probe_country_service
MY,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,127,0.15748031496062992,0.28346456692913385,0.39370078740157477,15.960801215347786,broad_network_transition_distribution,0.36220472440944884,0.5275590551181103,0.6850393700787402,6.141370305008806,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,13,11,0.7322834645669292,0.2677165354330709,probe_country_service
MZ,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,2,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0,probe_country_service
NA,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1446,0.06846473029045644,0.13416320885200556,0.19363762102351315,86.75821405074308,broad_network_transition_distribution,0.22544951590594745,0.33748271092669435,0.42876901798063627,21.25026247951834,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,False,False,False,True,False,insufficient_minimum_unique_probe_asns,minimum_unique_probe_asns,114,1,0.8367911479944675,0.1632088520055325,probe_country_service
NC,L-Root,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,1.0,0.0,probe_country_service
