exact_landing_pair_id,landing_station_a_id,landing_station_a_name,landing_station_b_id,landing_station_b_name,corridor_id,corridor_label,candidate_scope,cable_count,cable_ids,cable_names,strict_parallel_candidate,strict_parallel_cable_pair_relationships
abidjan-cte-divoire::amanzimtoti-south-africa,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",amanzimtoti-south-africa,"Amanzimtoti, South Africa",landing_region_bed1f90b1b26::landing_region_eafefa1c1ea4,"Abidjan, Côte d'Ivoire <-> Amanzimtoti, South Africa",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::banjul-gambia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",banjul-gambia,"Banjul, Gambia",landing_region_4152cf6e5b87::landing_region_bed1f90b1b26,"Banjul, Gambia <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::barcelona-spain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",barcelona-spain,"Barcelona, Spain",landing_region_8eb611963dd1::landing_region_bed1f90b1b26,"Barcelona, Spain <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::barka-oman,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",barka-oman,"Barka, Oman",landing_region_6fa1e5de30e2::landing_region_bed1f90b1b26,"Al Seeb, Oman <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::bata-equatorial-guinea,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",bata-equatorial-guinea,"Bata, Equatorial Guinea",landing_region_26cbd7e9a6d0::landing_region_bed1f90b1b26,"Bata, Equatorial Guinea <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::berbera-somalia,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",berbera-somalia,"Berbera, Somalia",landing_region_063bd0144968::landing_region_bed1f90b1b26,"Berbera, Somalia <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::bude-united-kingdom,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",bude-united-kingdom,"Bude, United Kingdom",landing_region_aeb849c05f9e::landing_region_bed1f90b1b26,"Bude, United Kingdom <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::cacuaco-angola,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",cacuaco-angola,"Cacuaco, Angola",landing_region_3ee19f69866b::landing_region_bed1f90b1b26,"Luanda, Angola <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""sat-3wasc""]","[""SAT-3/WASC""]",False,0
abidjan-cte-divoire::carana-seychelles,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",carana-seychelles,"Carana, Seychelles",landing_region_914640ec5e31::landing_region_bed1f90b1b26,"Victoria, Seychelles <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""2africa""]","[""2Africa""]",False,0
abidjan-cte-divoire::carcavelos-portugal,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",carcavelos-portugal,"Carcavelos, Portugal",landing_region_bed1f90b1b26::landing_region_c88b92706e9c,"Abidjan, Côte d'Ivoire <-> Seixal, Portugal",inter_region,2,"[""2africa"", ""africa-coast-to-europe-ace""]","[""2Africa"", ""Africa Coast to Europe (ACE)""]",True,1
abidjan-cte-divoire::casablanca-morocco,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",casablanca-morocco,"Casablanca, Morocco",landing_region_bed1f90b1b26::landing_region_ffdf496f7c75,"Abidjan, Côte d'Ivoire <-> Casablanca, Morocco",inter_region,1,"[""maroc-telecom-west-africa""]","[""Maroc Telecom West Africa""]",False,0
abidjan-cte-divoire::chipiona-spain,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",chipiona-spain,"Chipiona, Spain",landing_region_bed1f90b1b26::landing_region_fe9debdbb175,"Abidjan, Côte d'Ivoire <-> Chipiona, Spain",inter_region,1,"[""sat-3wasc""]","[""SAT-3/WASC""]",False,0
abidjan-cte-divoire::conakry-guinea,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",conakry-guinea,"Conakry, Guinea",landing_region_ab3b160bd53a::landing_region_bed1f90b1b26,"Conakry, Guinea <-> Abidjan, Côte d'Ivoire",inter_region,1,"[""africa-coast-to-europe-ace""]","[""Africa Coast to Europe (ACE)""]",False,0
abidjan-cte-divoire::cotonou-benin,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",cotonou-benin,"Cotonou, Benin",landing_region_8afa8229a8fd::landing_region_bed1f90b1b26,"Cotonou, Benin <-> Abidjan, Côte d'Ivoire",inter_region,3,"[""africa-coast-to-europe-ace"", ""maroc-telecom-west-africa"", ""sat-3wasc""]","[""Africa Coast to Europe (ACE)"", ""Maroc Telecom West Africa"", ""SAT-3/WASC""]",True,3
abidjan-cte-divoire::dakar-senegal,abidjan-cte-divoire,"Abidjan, Côte d'Ivoire",dakar-senegal,"Dakar, Senegal",landing_region_9d5009d65552::landing_region_bed1f90b1b26,"Dakar, Senegal <-> Abidjan, Côte d'Ivoire",inter_region,4,"[""2africa"", ""africa-coast-to-europe-ace"", ""mainone"", ""sat-3wasc""]","[""2Africa"", ""Africa Coast to Europe (ACE)"", ""MainOne"", ""SAT-3/WASC""]",True,6
