landing_region_id,landing_region_label,landing_station_count,region_diameter_km,configured_maximum_diameter_km,diameter_within_configured_maximum,configured_radius_km,diameter_within_configured_radius,region_assignment_methods,landing_station_ids
landing_region_a7ee30e193c1,"Supiori, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""supiori-indonesia""]"
landing_region_a815bd4c40bf,"Shirley, NY, United States",4,22.951985294264936,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""bellport-ny-united-states"", ""brookhaven-ny-united-states"", ""shirley-ny-united-states"", ""shoreham-ny-united-states""]"
landing_region_a8cf05283fa8,"Nuku Hiva, French Polynesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""nuku-hiva-french-polynesia""]"
landing_region_a8f5ceccf79f,"Aasiaat, Greenland",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""aasiaat-greenland""]"
landing_region_a939e93c6ea1,"Yuzhno-Sakhalinsk, Russia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""yuzhno-sakhalinsk-russia""]"
landing_region_a995dae8d34a,"Toyohashi, Japan",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""toyohashi-japan""]"
landing_region_aa42eac99842,"Samandag, Turkey",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""samandag-turkey""]"
landing_region_aa4ed522fbaf,"Jayapura, Indonesia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""jayapura-indonesia""]"
landing_region_ab3b160bd53a,"Conakry, Guinea",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""conakry-guinea""]"
landing_region_ab45dd6d343c,"Poti, Georgia",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""poti-georgia""]"
landing_region_ab5fcb6a28e2,"Nuku'alofa, Tonga",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""nukualofa-tonga""]"
landing_region_ab6d736d9398,"Chumphon, Thailand",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""chumphon-thailand""]"
landing_region_ac0b942bb0ee,"Puerto San Jose, Guatemala",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""puerto-san-jose-guatemala""]"
landing_region_ac125624f532,"Current, Bahamas",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""current-bahamas""]"
landing_region_ac34543a7a05,"Durres, Albania",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""durres-albania""]"
landing_region_ac5410960f47,"Deception, QC, Canada",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""deception-qc-canada""]"
landing_region_ac812b812b29,"Stromboli, Italy",1,0.0,30.0,True,30.0,True,"[""diameter_limited_complete_link_greedy""]","[""stromboli-italy""]"
