metric,value
candidate_rows,7382.0
unique_links,2244.0
unique_units,83.0
units_with_network_layer_diversity,113.0
units_with_physical_diversity_cable,83.0
units_with_physical_diversity_corridor,83.0
units_with_network_physical_mismatch_cable,83.0
units_with_network_physical_mismatch_corridor,83.0
median_network_layer_diversity_score,4.836925944245866
median_cable_physical_candidate_diversity_score,2.59709480031436
median_corridor_physical_candidate_diversity_score,1.8922105808124952
cable_mismatch_network_high_physical_low,16.0
cable_mismatch_network_high_physical_high,26.0
cable_mismatch_network_low_physical_low,26.0
cable_mismatch_network_low_physical_high,15.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,35.0
corridor_mismatch_network_low_physical_low,35.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,6.0
cable_corridor_target_quadrant_jaccard,0.35294117647058826
cable_corridor_target_quadrant_recall_from_cable,0.375
cable_corridor_target_quadrant_precision_to_corridor,0.8571428571428571
mean_corridor_minus_cable_physical_diversity,-1.8866486269070253
cable_corridor_quadrant_agreement_rate,0.7349397590361446
spearman_cable_corridor_physical_diversity_score,0.6732091478196531
