feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,485,0.22464103751736916
3,1334,0.617878647522001
4,229,0.10606762389995368
5,62,0.02871699861046781
7,25,0.01157943492357573
8,24,0.0111162575266327
