probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,5384->-1,as_transition,2,2,0.5,1,True,False,False,False,4,2,1,0,2
AE,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,8966->8966,as_transition,1,1,0.25,2,False,True,False,False,4,2,1,1,0
AE,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,8966->-1,as_transition,1,1,0.25,3,False,False,True,False,4,2,1,0,1
AE,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,5384->-1,as_transition,2,2,0.5,1,True,False,False,False,4,2,1,0,2
AE,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,8966->8966,as_transition,1,1,0.25,2,False,True,False,False,4,2,1,1,0
AE,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,8966->-1,as_transition,1,1,0.25,3,False,False,True,False,4,2,1,0,1
AF,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->-1,as_transition,4,4,1.0,1,True,False,False,False,4,2,1,0,4
AF,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->-1,as_transition,4,4,1.0,1,True,False,False,False,4,2,1,0,4
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,1221->1221,as_transition,28,28,0.5833333333333334,1,True,False,False,False,48,20,11,28,0
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7545->7545,as_transition,10,10,0.20833333333333334,2,False,True,False,False,48,20,11,10,0
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->7545,as_transition,2,2,0.041666666666666664,3,False,False,True,False,48,20,11,2,0
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4804->7474,as_transition,2,2,0.041666666666666664,4,False,False,False,False,48,20,11,2,0
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,136557->136557,as_transition,2,2,0.041666666666666664,5,False,False,False,False,48,20,11,0,2
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->-1,as_transition,2,2,0.041666666666666664,6,False,False,False,False,48,20,11,2,0
AU,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7474->7474,as_transition,2,2,0.041666666666666664,7,False,False,False,False,48,20,11,2,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,1221->1221,as_transition,26,26,0.5652173913043478,1,True,False,False,False,46,19,11,26,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7545->7545,as_transition,10,10,0.21739130434782608,2,False,True,False,False,46,19,11,10,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->7545,as_transition,2,2,0.043478260869565216,3,False,False,True,False,46,19,11,2,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4804->7474,as_transition,2,2,0.043478260869565216,4,False,False,False,False,46,19,11,2,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,136557->136557,as_transition,2,2,0.043478260869565216,5,False,False,False,False,46,19,11,0,2
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,-1->-1,as_transition,2,2,0.043478260869565216,6,False,False,False,False,46,19,11,2,0
AU,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7474->7474,as_transition,2,2,0.043478260869565216,7,False,False,False,False,46,19,11,2,0
AX,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,3238->3238,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
AX,D-Root,resolved_entry_only,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,3238->3238,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BJ,D-Root,all_publicly_visible,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,28683->174,as_transition,3,3,1.0,1,True,False,False,False,3,2,1,0,3
