country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,52,5,40,7,0.09615384615384616,0.7692307692307693,0.1346153846153846,2,4804->7474,0.6,1.0,1.0,1.9601317042077895,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
BJ,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,5,3,0,2,0.6,0.0,0.4,1,28683->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
CA,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,25,1,22,2,0.04,0.88,0.08,1,12212->174,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CY,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,1,5504->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
EE,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,34,11,22,1,0.3235294117647059,0.6470588235294118,0.029411764705882353,2,2586->6667,0.7272727272727273,1.0,1.0,1.7967017416268891,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",6,3
ES,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,1,3352->12956,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
FI,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,84,15,45,24,0.17857142857142858,0.5357142857142857,0.2857142857142857,3,16086->3356,0.4,0.7333333333333334,1.0,2.9599980601104128,weak_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,3
FJ,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4,2,2,0,0.5,0.5,0.0,1,24390->7575,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HK,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,38,9,13,16,0.23684210526315788,0.34210526315789475,0.42105263157894735,1,7473->3356,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2
ID,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,20,4,8,8,0.2,0.4,0.4,2,138115->149391,0.5,1.0,1.0,2.0,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
IN,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,30,5,3,22,0.16666666666666666,0.1,0.7333333333333333,1,55836->4755,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
KY,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,36549->3855,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MT,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
MV,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,20,2,0,18,0.1,0.0,0.9,1,24016->45489,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MX,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
NO,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,82,6,69,7,0.07317073170731707,0.8414634146341463,0.08536585365853659,2,49409->57829,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
NU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,55885->38800,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0
