country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AE,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AE->IN,country_fallback,country_fallback,3,3,0.75,1,True,False,False,True,4,2,1,0,3
AE,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,1,1,0.25,2,False,True,False,False,4,2,1,1,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,1221->1221,as_transition,intra_as_hop_pair,28,28,0.5384615384615384,1,True,False,False,False,52,23,12,28,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7545->7545,as_transition,intra_as_hop_pair,10,10,0.19230769230769232,2,False,True,False,False,52,23,12,10,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,4,4,0.07692307692307693,3,False,False,True,True,52,23,12,4,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4804->7474,as_transition,cross_as_transition,3,3,0.057692307692307696,4,False,False,False,False,52,23,12,3,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->NZ,country_fallback,country_fallback,3,3,0.057692307692307696,5,False,False,False,True,52,23,12,0,3
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7699->4826,as_transition,cross_as_transition,2,2,0.038461538461538464,6,False,False,False,False,52,23,12,2,0
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7474->7474,as_transition,intra_as_hop_pair,2,2,0.038461538461538464,7,False,False,False,False,52,23,12,2,0
AX,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,3238->3238,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
BJ,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,28683->174,as_transition,cross_as_transition,3,3,0.6,1,True,False,False,False,5,3,1,0,3
BJ,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:BJ->NG,country_fallback,country_fallback,2,2,0.4,2,False,True,False,True,5,3,1,0,2
BR,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:BR->US,country_fallback,country_fallback,3,3,0.42857142857142855,1,True,False,False,True,7,6,4,0,3
