country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,4,2,COUNTRY_FALLBACK:AE->IN,0.75,1.0,1.0,1.7547653506033232,moderate_network_transition_concentration,0,1,3,0.0,0.25,0.75,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.25,0.75
AU,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,52,7,1221->1221,0.5384615384615384,0.7307692307692307,0.8076923076923077,4.168077623407055,weak_network_transition_concentration,5,40,7,0.09615384615384616,0.7692307692307693,0.1346153846153846,True,True,auditable,,23,12,0.9423076923076923,0.057692307692307696
AX,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BJ,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,5,2,28683->174,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,3,0,2,0.6,0.0,0.4,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3,1,0.0,1.0
BR,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7,3,COUNTRY_FALLBACK:BR->US,0.42857142857142855,0.7142857142857142,1.0,2.941713421083178,weak_network_transition_concentration,0,4,3,0.0,0.5714285714285714,0.42857142857142855,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",6,4,0.14285714285714285,0.8571428571428571
CA,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,25,6,6327->6327,0.56,0.7200000000000001,0.8,3.8684012158747345,weak_network_transition_concentration,1,22,2,0.04,0.88,0.08,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,5,0.0,1.0
CM,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,2,COUNTRY_FALLBACK:CN->CN,0.5,1.0,1.0,2.0,moderate_network_transition_concentration,0,1,1,0.0,0.5,0.5,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,2,1.0,0.0
CO,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,7,2,23520->23520,0.7142857142857143,1.0,1.0,1.8189685116531733,moderate_network_transition_concentration,0,7,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.0,1.0
CV,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,2,1,COUNTRY_FALLBACK:CV->PT,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,2,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0
