probe_country,country_geography_type,country_geography_classification_source,path_scope_stratum,total_valid_traces,mappable_traces,traces_with_inter_region_candidates,traces_with_domestic_inter_region_candidates,traces_with_international_inter_region_candidates,traces_with_intra_region_candidates,inter_region_candidate_exposure_rate,inter_region_candidate_rate_among_mappable_traces,domestic_inter_region_candidate_exposure_rate,international_inter_region_candidate_exposure_rate,intra_region_candidate_rate,candidate_dependency_proxy_rate,candidate_dependency_proxy_tier,unique_services,unique_probes,unique_probe_asns,service_entry_resolution_rate,geography_summary_eligible,geography_summary_eligibility_reason,candidate_dependency_proxy_interpretation
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,152,148,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,57,43,0.9671052631578947,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,147,147,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,56,43,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,all_publicly_visible,631,617,0,0,0,9,0.0,0.0,0.0,0.0,0.014263074484944533,0.0,no_observed_inter_region_candidate_exposure,1,222,85,0.9778129952456418,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AT,landlocked,catalog_landlocked_list,resolved_entry_only,617,617,0,0,0,9,0.0,0.0,0.0,0.0,0.014586709886547812,0.0,no_observed_inter_region_candidate_exposure,1,218,83,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AU,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,795,668,100,100,0,349,0.12578616352201258,0.1497005988023952,0.12578616352201258,0.0,0.4389937106918239,0.12578616352201258,moderate_candidate_dependency_proxy,1,278,77,0.8402515723270441,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AU,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,668,668,100,100,0,349,0.1497005988023952,0.1497005988023952,0.1497005988023952,0.0,0.5224550898203593,0.1497005988023952,moderate_candidate_dependency_proxy,1,238,74,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AX,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,6,6,3,0,3,3,0.5,0.5,0.0,0.5,0.5,0.5,very_high_candidate_dependency_proxy,1,2,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AX,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,6,6,3,0,3,3,0.5,0.5,0.0,0.5,0.5,0.5,very_high_candidate_dependency_proxy,1,2,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AZ,landlocked,catalog_landlocked_list,all_publicly_visible,26,20,1,0,1,0,0.038461538461538464,0.05,0.0,0.038461538461538464,0.0,0.038461538461538464,low_candidate_dependency_proxy,1,9,8,0.7692307692307693,False,"insufficient_minimum_mappable_traces,minimum_unique_probes",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
AZ,landlocked,catalog_landlocked_list,resolved_entry_only,20,20,1,0,1,0,0.05,0.05,0.0,0.05,0.0,0.05,moderate_candidate_dependency_proxy,1,7,7,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BA,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,39,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,15,7,0.8461538461538461,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BA,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,33,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,13,7,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BB,island_or_archipelagic,catalog_island_or_archipelagic_list,all_publicly_visible,3,3,3,0,3,0,1.0,1.0,0.0,1.0,0.0,1.0,very_high_candidate_dependency_proxy,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BB,island_or_archipelagic,catalog_island_or_archipelagic_list,resolved_entry_only,3,3,3,0,3,0,1.0,1.0,0.0,1.0,0.0,1.0,very_high_candidate_dependency_proxy,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BD,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,33,33,10,10,0,10,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.0,0.30303030303030304,0.30303030303030304,very_high_candidate_dependency_proxy,1,11,7,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BD,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,33,33,10,10,0,10,0.30303030303030304,0.30303030303030304,0.30303030303030304,0.0,0.30303030303030304,0.30303030303030304,very_high_candidate_dependency_proxy,1,11,7,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,466,460,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,160,28,0.98068669527897,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BE,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,457,457,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,158,28,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BF,landlocked,catalog_landlocked_list,all_publicly_visible,10,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,4,3,0.8,False,"insufficient_minimum_mappable_traces,minimum_unique_probes",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BF,landlocked,catalog_landlocked_list,resolved_entry_only,8,8,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,3,2,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BG,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,254,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,90,50,0.9606299212598425,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BG,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,244,244,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,87,49,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BH,island_or_archipelagic,catalog_island_or_archipelagic_list,all_publicly_visible,17,17,0,0,0,3,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,no_observed_inter_region_candidate_exposure,1,6,3,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BH,island_or_archipelagic,catalog_island_or_archipelagic_list,resolved_entry_only,17,17,0,0,0,3,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,no_observed_inter_region_candidate_exposure,1,6,3,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BI,landlocked,catalog_landlocked_list,all_publicly_visible,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BI,landlocked,catalog_landlocked_list,resolved_entry_only,3,3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BJ,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,26,26,8,0,8,0,0.3076923076923077,0.3076923076923077,0.0,0.3076923076923077,0.0,0.3076923076923077,very_high_candidate_dependency_proxy,1,10,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BJ,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,26,26,8,0,8,0,0.3076923076923077,0.3076923076923077,0.0,0.3076923076923077,0.0,0.3076923076923077,very_high_candidate_dependency_proxy,1,10,5,1.0,False,insufficient_minimum_mappable_traces,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BL,island_or_archipelagic,catalog_island_or_archipelagic_list,all_publicly_visible,3,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,0.6666666666666666,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BL,island_or_archipelagic,catalog_island_or_archipelagic_list,resolved_entry_only,2,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,1,1,1.0,False,"insufficient_minimum_mappable_traces,minimum_unique_probes,minimum_unique_probe_asns",trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BO,landlocked,catalog_landlocked_list,all_publicly_visible,45,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,17,8,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BO,landlocked,catalog_landlocked_list,resolved_entry_only,45,45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,no_observed_inter_region_candidate_exposure,1,17,8,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,all_publicly_visible,309,292,2,2,0,0,0.006472491909385114,0.00684931506849315,0.006472491909385114,0.0,0.0,0.006472491909385114,low_candidate_dependency_proxy,1,109,70,0.9449838187702265,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
BR,coastal_mainland_or_mixed,catalog_default_alpha2_rule,resolved_entry_only,292,292,2,2,0,0,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.0,0.0,0.00684931506849315,low_candidate_dependency_proxy,1,104,67,1.0,True,eligible,trace share with at least one feasible domestic or international inter-region submarine-corridor candidate; not actual cable use or traffic dependency
