probe_country,total_valid_traces,mappable_traces,submarine_exposed_traces,service_physical_exposure_rate,mappable_trace_rate,unique_services,unique_probes,unique_probe_asns,unique_target_ips,unique_target_asns
LT,120,117,0,0.0,0.975,1,43,25,2,1
LU,135,128,0,0.0,0.9481481481481482,1,48,22,3,2
LV,89,89,4,0.0449438202247191,1.0,1,31,21,2,1
MA,3,3,0,0.0,1.0,1,1,1,2,1
MD,71,69,0,0.0,0.971830985915493,1,26,14,3,2
ME,16,16,0,0.0,1.0,1,6,5,2,1
MG,6,6,0,0.0,1.0,1,2,1,1,1
MH,2,2,0,0.0,1.0,1,1,1,1,1
MK,34,32,0,0.0,0.9411764705882353,1,13,10,2,1
ML,3,3,3,1.0,1.0,1,1,1,2,1
MM,7,7,7,1.0,1.0,1,3,3,2,1
MN,18,18,8,0.4444444444444444,1.0,1,8,8,2,1
MP,2,2,2,1.0,1.0,1,1,1,2,1
MT,27,27,27,1.0,1.0,1,9,3,2,1
MU,22,20,0,0.0,0.9090909090909091,1,8,4,3,2
MV,31,31,26,0.8387096774193549,1.0,1,12,4,2,1
MW,3,3,0,0.0,1.0,1,1,1,2,1
MX,160,153,10,0.0625,0.95625,1,58,27,3,2
MY,97,95,44,0.4536082474226804,0.979381443298969,1,36,20,2,1
MZ,8,8,0,0.0,1.0,1,3,3,2,1
NA,12,12,0,0.0,1.0,1,4,3,2,1
NC,14,14,14,1.0,1.0,1,5,2,2,1
NG,25,25,12,0.48,1.0,1,10,6,2,1
NI,21,21,0,0.0,1.0,1,7,5,2,1
NL,1891,1666,1,0.0005288207297726071,0.8810153358011634,1,658,184,3,2
NO,263,250,190,0.7224334600760456,0.9505703422053232,1,93,35,3,2
NP,35,35,0,0.0,1.0,1,16,10,2,1
NU,2,2,2,1.0,1.0,1,1,1,1,1
NZ,332,329,295,0.8885542168674698,0.9909638554216867,1,115,34,2,1
OM,5,5,3,0.6,1.0,1,2,2,2,1
PA,59,59,5,0.0847457627118644,1.0,1,21,9,2,1
PE,60,60,1,0.016666666666666666,1.0,1,23,18,2,1
PF,18,18,0,0.0,1.0,1,6,1,2,1
PG,3,3,3,1.0,1.0,1,1,1,2,1
PH,185,173,123,0.6648648648648648,0.9351351351351351,1,66,35,3,2
PK,37,24,12,0.32432432432432434,0.6486486486486487,1,14,10,2,1
PL,672,639,3,0.004464285714285714,0.9508928571428571,1,234,133,3,2
PR,6,6,6,1.0,1.0,1,2,2,2,1
PS,3,3,0,0.0,1.0,1,1,1,1,1
PT,290,282,114,0.3931034482758621,0.9724137931034482,1,100,23,2,1
PW,2,2,0,0.0,1.0,1,1,1,2,1
PY,30,26,0,0.0,0.8666666666666667,1,11,8,3,2
QA,3,3,0,0.0,1.0,1,1,1,2,1
RE,143,143,0,0.0,1.0,1,52,5,2,1
RO,242,234,3,0.012396694214876033,0.9669421487603306,1,89,46,3,2
RS,148,141,0,0.0,0.9527027027027027,1,51,21,3,2
RU,1400,1321,29,0.020714285714285713,0.9435714285714286,1,474,287,21,2
RW,3,3,0,0.0,1.0,1,1,1,2,1
SA,65,58,0,0.0,0.8923076923076924,1,24,12,2,1
SE,666,637,115,0.17267267267267267,0.9564564564564565,1,231,78,3,2
SG,416,399,272,0.6538461538461539,0.9591346153846154,1,147,66,3,2
SI,136,132,0,0.0,0.9705882352941176,1,48,22,3,2
SK,163,151,0,0.0,0.9263803680981595,1,56,22,2,1
SL,2,2,2,1.0,1.0,1,1,1,2,1
SM,3,3,0,0.0,1.0,1,1,1,1,1
SN,5,5,3,0.6,1.0,1,2,2,2,1
SR,2,2,0,0.0,1.0,1,1,1,1,1
SS,3,3,0,0.0,1.0,1,1,1,2,1
SV,34,34,4,0.11764705882352941,1.0,1,15,10,2,1
SY,6,6,1,0.16666666666666666,1.0,1,3,2,2,1
TD,3,3,0,0.0,1.0,1,1,1,2,1
TG,3,3,0,0.0,1.0,1,1,1,2,1
TH,143,142,54,0.3776223776223776,0.993006993006993,1,49,29,2,1
TJ,32,29,27,0.84375,0.90625,1,14,11,2,1
TL,12,11,11,0.9166666666666666,0.9166666666666666,1,4,2,3,2
TN,21,18,0,0.0,0.8571428571428571,1,8,5,3,2
TO,3,3,3,1.0,1.0,1,1,1,2,1
TR,184,178,0,0.0,0.967391304347826,1,69,30,3,2
TT,3,3,0,0.0,1.0,1,1,1,2,1
TV,2,2,2,1.0,1.0,1,1,1,1,1
TW,213,210,184,0.863849765258216,0.9859154929577465,1,81,34,2,1
TZ,17,14,0,0.0,0.8235294117647058,1,6,5,2,1
UA,472,452,0,0.0,0.9576271186440678,1,162,114,3,2
UG,15,15,0,0.0,1.0,1,6,4,2,1
US,5437,5266,423,0.07780025749494206,0.9685488320765128,1,1877,512,5,2
UY,55,55,0,0.0,1.0,1,21,5,2,1
UZ,27,25,22,0.8148148148148148,0.9259259259259259,1,10,8,2,1
VA,3,3,0,0.0,1.0,1,1,1,1,1
VE,104,90,23,0.22115384615384615,0.8653846153846154,1,38,25,3,2
VI,9,9,6,0.6666666666666666,1.0,1,3,2,2,1
VN,81,81,55,0.6790123456790124,1.0,1,28,16,2,1
VU,5,3,3,0.6,0.6,1,2,1,3,2
YE,3,3,0,0.0,1.0,1,1,1,1,1
ZA,365,354,2,0.005479452054794521,0.9698630136986301,1,133,71,3,2
ZM,12,12,0,0.0,1.0,1,4,4,2,1
ZW,9,9,0,0.0,1.0,1,3,2,2,1
