metric,value
candidate_rows,9889.0
unique_links,2847.0
unique_units,71.0
units_with_network_layer_diversity,101.0
units_with_physical_diversity_cable,71.0
units_with_physical_diversity_corridor,71.0
units_with_network_physical_mismatch_cable,71.0
units_with_network_physical_mismatch_corridor,71.0
median_network_layer_diversity_score,4.118956065454179
median_cable_physical_candidate_diversity_score,1.8435033001644545
median_corridor_physical_candidate_diversity_score,1.346788398206498
cable_mismatch_network_high_physical_low,13.0
cable_mismatch_network_high_physical_high,23.0
cable_mismatch_network_low_physical_low,23.0
cable_mismatch_network_low_physical_high,12.0
corridor_mismatch_network_high_physical_low,8.0
corridor_mismatch_network_high_physical_high,28.0
corridor_mismatch_network_low_physical_low,28.0
corridor_mismatch_network_low_physical_high,7.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5
cable_corridor_target_quadrant_recall_from_cable,0.5384615384615384
cable_corridor_target_quadrant_precision_to_corridor,0.875
mean_corridor_minus_cable_physical_diversity,-1.4934313079950687
cable_corridor_quadrant_agreement_rate,0.8028169014084507
spearman_cable_corridor_physical_diversity_score,0.7254275644245011
