feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,791,0.34301821335646143
3,1097,0.4757155247181266
4,155,0.06721595836947095
5,141,0.0611448395490026
6,5,0.002168256721595837
7,46,0.0199479618386817
8,71,0.030789245446660885
