country,total_mappable_segments,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,cross_layer_distribution_class,country_fallback_share,auditable_cross_layer_case,sufficient_trace_observation,sufficient_corridor_observation,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,11,0.36363636363636365,0.6363636363636364,0.8181818181818181,3.827122360601961,weak_network_transition_concentration,0.7272727272727273,0.9090909090909092,1.0,2.137308637435014,moderate_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",4,3,0.7272727272727273,0.2727272727272727
AL,5,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2,0.0,1.0
AO,14,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",8,4,0.0,1.0
AT,14,0.42857142857142855,0.6428571428571428,0.7857142857142857,4.649326960458955,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,3,0.6428571428571429,0.35714285714285715
AU,217,0.31797235023041476,0.41935483870967744,0.4976958525345622,11.750584465530256,broad_network_transition_distribution,0.1889400921658986,0.35253456221198154,0.5161290322580645,8.554339412877042,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,30,14,0.9723502304147466,0.027649769585253458
AX,7,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0.5,0.7857142857142857,1.0,2.8139838876955348,weak_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.5714285714285714,0.42857142857142855
BJ,3,1.0,1.0,1.0,1.0,severe_network_transition_concentration,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_and_physical_both_concentrated,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BR,24,0.4583333333333333,0.5833333333333333,0.7083333333333333,5.109382879364509,broad_network_transition_distribution,0.5833333333333334,0.7083333333333334,0.8333333333333334,3.4848538942038307,weak_corridor_observation_concentration,network_and_physical_both_broad,0.0,False,False,False,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,1.0,0.0
CA,144,0.3333333333333333,0.5555555555555556,0.6527777777777778,8.093724572652436,broad_network_transition_distribution,0.3055555555555556,0.6111111111111112,0.7291666666666667,5.466300603595214,broad_corridor_observation_distribution,network_and_physical_both_broad,0.0,True,True,True,True,True,auditable,,45,11,0.25,0.75
CH,418,0.361244019138756,0.5789473684210527,0.7344497607655502,8.380242163545295,broad_network_transition_distribution,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,network_broad_physical_concentrated,0.0,True,True,True,True,True,auditable,,97,29,1.0,0.0
