country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,30,2,COUNTRY_FALLBACK:AE->DJ,0.9333333333333333,1.0,1.0,1.2775319170740629,severe_network_transition_concentration,0,2,28,0.0,0.06666666666666667,0.9333333333333333,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,15,7,0.06666666666666667,0.9333333333333333
AU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,761,16,7578->7578,0.6859395532194481,0.8002628120893561,0.8528252299605782,3.4851570433426304,moderate_network_transition_concentration,22,608,131,0.02890932982917214,0.7989487516425755,0.1721419185282523,True,True,auditable,,260,103,0.8344283837056504,0.16557161629434955
AX,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6,1,28683->174,1.0,1.0,1.0,1.0,severe_network_transition_concentration,6,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2,0.0,1.0
BR,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,17,2,COUNTRY_FALLBACK:BR->BR,0.6470588235294118,1.0,1.0,1.914101563056557,moderate_network_transition_concentration,0,0,17,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,maximum_country_fallback_share",9,6,0.6470588235294118,0.35294117647058826
CA,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,14,4,174->174,0.42857142857142855,0.7142857142857142,0.8571428571428571,3.5859888270569544,weak_network_transition_concentration,2,8,4,0.14285714285714285,0.5714285714285714,0.2857142857142857,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.0,1.0
CM,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,1,60171->60171,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
CN,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23,2,9808->58453,0.9565217391304348,1.0,1.0,1.1958352709427176,severe_network_transition_concentration,23,0,0,1.0,0.0,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,13,5,0.043478260869565216,0.9565217391304348
CO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,12,3,13489->6762,0.5,0.9166666666666667,1.0,2.505348345611202,moderate_network_transition_concentration,6,6,0,0.5,0.5,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,5,0.0,1.0
CV,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,2,1,COUNTRY_FALLBACK:CV->PT,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,2,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,0.0,1.0
