country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->23520,as_transition,intra_as_hop_pair,5,5,0.3125,1,True,False,False,False,16,9,6,0,5
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->1299,as_transition,cross_as_transition,5,5,0.3125,2,False,True,False,False,16,9,6,0,5
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,23520->6762,as_transition,cross_as_transition,5,5,0.3125,3,False,False,True,False,16,9,6,0,5
CW,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,11081->23520,as_transition,cross_as_transition,1,1,0.0625,4,False,False,False,False,16,9,6,0,1
CY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,35432->35432,as_transition,intra_as_hop_pair,4,4,0.5,1,True,False,False,False,8,5,2,0,4
CY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,5504->1299,as_transition,cross_as_transition,4,4,0.5,2,False,True,False,False,8,5,2,0,4
DJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:DJ->FR,country_fallback,country_fallback,4,4,0.6666666666666666,1,True,False,False,True,6,3,3,0,4
DJ,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,0,2
DK,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:DK->SE,country_fallback,country_fallback,10,10,1.0,1,True,False,False,True,10,5,1,0,10
DO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:DO->US,country_fallback,country_fallback,6,6,0.75,1,True,False,False,True,8,5,5,0,6
