probe_country,service_id,path_scope_stratum,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
AD,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,4,4,0.6666666666666666,1,True,False,False,False,6,3,1,0,4
AD,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ES->FR,country_fallback,country_fallback,2,2,0.3333333333333333,2,False,True,False,True,6,3,1,0,2
AD,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,4,4,0.6666666666666666,1,True,False,False,False,6,3,1,0,4
AD,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ES->FR,country_fallback,country_fallback,2,2,0.3333333333333333,2,False,True,False,True,6,3,1,0,2
AE,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,2,0
AE,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,8966->8966,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,2,0
AL,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,2,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,322,322,0.5176848874598071,1,True,False,False,False,622,137,57,322,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->44324,as_transition,cross_as_transition,107,107,0.1720257234726688,2,False,True,False,False,622,137,57,0,107
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->NZ,country_fallback,country_fallback,59,59,0.09485530546623794,3,False,False,True,True,622,137,57,0,59
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,28,28,0.04501607717041801,4,False,False,False,True,622,137,57,28,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7474->7578,as_transition,cross_as_transition,18,18,0.028938906752411574,5,False,False,False,False,622,137,57,18,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,18,18,0.028938906752411574,6,False,False,False,False,622,137,57,6,12
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,16,16,0.02572347266881029,7,False,False,False,False,622,137,57,14,2
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,136557->136557,as_transition,intra_as_hop_pair,14,14,0.022508038585209004,8,False,False,False,False,622,137,57,14,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SG->ID,country_fallback,country_fallback,8,8,0.012861736334405145,9,False,False,False,True,622,137,57,0,8
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4800->10217,as_transition,cross_as_transition,6,6,0.00964630225080386,10,False,False,False,False,622,137,57,6,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,134697->134697,as_transition,intra_as_hop_pair,6,6,0.00964630225080386,11,False,False,False,False,622,137,57,6,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4800->4800,as_transition,intra_as_hop_pair,5,5,0.008038585209003215,12,False,False,False,False,622,137,57,5,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->SG,country_fallback,country_fallback,3,3,0.00482315112540193,13,False,False,False,True,622,137,57,0,3
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64073->64073,as_transition,intra_as_hop_pair,3,3,0.00482315112540193,14,False,False,False,False,622,137,57,0,3
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7545->7545,as_transition,intra_as_hop_pair,3,3,0.00482315112540193,15,False,False,False,False,622,137,57,3,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:SG->IN,country_fallback,country_fallback,2,2,0.003215434083601286,16,False,False,False,True,622,137,57,0,2
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,64098->64098,as_transition,intra_as_hop_pair,2,2,0.003215434083601286,17,False,False,False,False,622,137,57,2,0
AU,K-Root,all_publicly_visible,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7545->7474,as_transition,cross_as_transition,2,2,0.003215434083601286,18,False,False,False,False,622,137,57,2,0
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->7578,as_transition,intra_as_hop_pair,322,322,0.5176848874598071,1,True,False,False,False,622,137,57,322,0
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7578->44324,as_transition,cross_as_transition,107,107,0.1720257234726688,2,False,True,False,False,622,137,57,0,107
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->NZ,country_fallback,country_fallback,59,59,0.09485530546623794,3,False,False,True,True,622,137,57,0,59
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:AU->AU,country_fallback,country_fallback,28,28,0.04501607717041801,4,False,False,False,True,622,137,57,28,0
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7474->7578,as_transition,cross_as_transition,18,18,0.028938906752411574,5,False,False,False,False,622,137,57,18,0
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,7575->7575,as_transition,intra_as_hop_pair,18,18,0.028938906752411574,6,False,False,False,False,622,137,57,6,12
AU,K-Root,resolved_entry_only,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,16,16,0.02572347266881029,7,False,False,False,False,622,137,57,14,2
