feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,1711,0.725
3,415,0.17584745762711865
4,139,0.058898305084745764
5,41,0.017372881355932204
6,13,0.005508474576271186
7,3,0.001271186440677966
8,13,0.005508474576271186
10,14,0.005932203389830509
11,4,0.001694915254237288
14,2,0.000847457627118644
21,5,0.00211864406779661
