metric,value
candidate_rows,4202.0
unique_links,1434.0
unique_units,69.0
units_with_network_layer_diversity,116.0
units_with_physical_diversity_cable,69.0
units_with_physical_diversity_corridor,69.0
units_with_network_physical_mismatch_cable,69.0
units_with_network_physical_mismatch_corridor,69.0
median_network_layer_diversity_score,4.264766371512831
median_cable_physical_candidate_diversity_score,2.3532841351002856
median_corridor_physical_candidate_diversity_score,1.7890612773924588
cable_mismatch_network_high_physical_low,12.0
cable_mismatch_network_high_physical_high,23.0
cable_mismatch_network_low_physical_low,23.0
cable_mismatch_network_low_physical_high,11.0
corridor_mismatch_network_high_physical_low,7.0
corridor_mismatch_network_high_physical_high,28.0
corridor_mismatch_network_low_physical_low,28.0
corridor_mismatch_network_low_physical_high,6.0
cable_corridor_target_quadrant_preserved,7.0
cable_corridor_target_quadrant_jaccard,0.5833333333333334
cable_corridor_target_quadrant_recall_from_cable,0.5833333333333334
cable_corridor_target_quadrant_precision_to_corridor,1.0
mean_corridor_minus_cable_physical_diversity,-0.9524178631400582
cable_corridor_quadrant_agreement_rate,0.7971014492753623
spearman_cable_corridor_physical_diversity_score,0.6478681276903127
