metric,value
candidate_rows,8101.0
unique_links,1324.0
unique_units,54.0
units_with_network_layer_diversity,82.0
units_with_physical_diversity_cable,54.0
units_with_physical_diversity_corridor,54.0
units_with_network_physical_mismatch_cable,54.0
units_with_network_physical_mismatch_corridor,54.0
median_network_layer_diversity_score,4.713589770547893
median_cable_physical_candidate_diversity_score,3.6407890265662672
median_corridor_physical_candidate_diversity_score,1.0709487890816545
cable_mismatch_network_high_physical_low,10.0
cable_mismatch_network_high_physical_high,17.0
cable_mismatch_network_low_physical_low,17.0
cable_mismatch_network_low_physical_high,10.0
corridor_mismatch_network_high_physical_low,5.0
corridor_mismatch_network_high_physical_high,22.0
corridor_mismatch_network_low_physical_low,22.0
corridor_mismatch_network_low_physical_high,5.0
cable_corridor_target_quadrant_preserved,3.0
cable_corridor_target_quadrant_jaccard,0.25
cable_corridor_target_quadrant_recall_from_cable,0.3
cable_corridor_target_quadrant_precision_to_corridor,0.6
mean_corridor_minus_cable_physical_diversity,-2.757075304324516
cable_corridor_quadrant_agreement_rate,0.7037037037037037
spearman_cable_corridor_physical_diversity_score,0.6016971673561495
