country,msm_id,file_name,network_transition_key,network_transition_representation,hop_pair_as_class,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:ID->SG,country_fallback,country_fallback,4,4,0.23529411764705882,2,False,True,False,True,17,7,6,0,4
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,24521->24521,as_transition,intra_as_hop_pair,2,2,0.11764705882352941,3,False,False,True,False,17,7,6,2,0
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,55666->55666,as_transition,intra_as_hop_pair,2,2,0.11764705882352941,4,False,False,False,False,17,7,6,2,0
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7713->10217,as_transition,cross_as_transition,2,2,0.11764705882352941,5,False,False,False,False,17,7,6,2,0
IE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,174->174,as_transition,intra_as_hop_pair,16,16,1.0,1,True,False,False,False,16,8,2,0,16
IL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,12400->12400,as_transition,intra_as_hop_pair,5,5,0.5555555555555556,1,True,False,False,False,9,5,2,0,5
IL,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,1680->1680,as_transition,intra_as_hop_pair,4,4,0.4444444444444444,2,False,True,False,False,9,5,2,0,4
IN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:IN->IN,country_fallback,country_fallback,2,2,0.6666666666666666,1,True,False,False,True,3,2,1,2,0
IN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,9498->9498,as_transition,intra_as_hop_pair,1,1,0.3333333333333333,2,False,True,False,False,3,2,1,1,0
IT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,34428->34428,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,2,0
JP,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6453->6453,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,2,1,0,2
KE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,6939->6939,as_transition,intra_as_hop_pair,5,5,0.7142857142857143,1,True,False,False,False,7,5,5,0,5
KE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,30844->30844,as_transition,intra_as_hop_pair,2,2,0.2857142857142857,2,False,True,False,False,7,5,5,0,2
KY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,36549->3855,as_transition,cross_as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
LK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,18001->18001,as_transition,intra_as_hop_pair,6,6,1.0,1,True,False,False,False,6,3,1,0,6
MM,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,136168->136168,as_transition,intra_as_hop_pair,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MP,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7131->7131,as_transition,intra_as_hop_pair,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MT,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,15735->1299,as_transition,cross_as_transition,4,4,1.0,1,True,False,False,False,4,2,1,0,4
MU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,37100->37100,as_transition,intra_as_hop_pair,1,1,1.0,1,True,False,False,False,1,1,1,0,1
MV,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,COUNTRY_FALLBACK:MV->SG,country_fallback,country_fallback,17,17,0.8947368421052632,1,True,False,False,True,19,10,3,0,17
