country,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8,8,0,0,1.0,0.0,0.0,1,8966->5384,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,1
AU,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,561,63,218,280,0.11229946524064172,0.38859180035650626,0.49910873440285203,5,137409->10084,0.6190476190476191,0.8412698412698413,0.9365079365079365,2.927372678476675,moderate_as_boundary_transition_concentration,True,auditable,36,20
BH,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,8,5,3,0,0.625,0.375,0.0,2,5416->8966,0.6,1.0,1.0,1.9601317042077895,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,2
BJ,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,2,0,2,0.5,0.0,0.5,1,37136->6713,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
BR,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,1,0,4,0.2,0.0,0.8,1,3549->3356,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CA,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,2,0,2,0.5,0.0,0.5,1,208951->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CV,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,37575->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CY,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7,4,3,0,0.5714285714285714,0.42857142857142855,0.0,1,5504->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
EE,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,16,8,8,0,0.5,0.5,0.0,1,2586->6667,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
FI,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,131,19,37,75,0.1450381679389313,0.2824427480916031,0.5725190839694656,4,1741->8473,0.42105263157894735,0.7894736842105263,0.894736842105263,3.340246672030812,weak_as_boundary_transition_concentration,False,insufficient_minimum_mappable_segments,11,6
HK,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,130,11,69,50,0.08461538461538462,0.5307692307692308,0.38461538461538464,6,55805->6939,0.36363636363636365,0.5454545454545454,0.7272727272727273,5.164120008639387,broad_as_boundary_transition_distribution,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",8,5
HN,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,13,8,5,0,0.6153846153846154,0.38461538461538464,0.0,1,263725->54082,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
ID,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,17,2,4,11,0.11764705882352941,0.23529411764705882,0.6470588235294118,1,7713->10217,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
