probe_country,service_id,path_scope_stratum,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AD,L-Root,all_publicly_visible,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,2,6939->6939,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,0,3,2,0.0,0.6,0.4,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3,1,0.0,1.0
AD,L-Root,resolved_entry_only,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,5,2,6939->6939,0.6,1.0,1.0,1.9601317042077895,moderate_network_transition_concentration,0,3,2,0.0,0.6,0.4,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",3,1,0.0,1.0
AE,L-Root,all_publicly_visible,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7,3,15412->4826,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,4,0,3,0.5714285714285714,0.0,0.42857142857142855,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,2,0.14285714285714285,0.8571428571428571
AE,L-Root,resolved_entry_only,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,7,3,15412->4826,0.5714285714285714,0.8571428571428571,1.0,2.6004900059896596,moderate_network_transition_concentration,4,0,3,0.5714285714285714,0.0,0.42857142857142855,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,2,0.14285714285714285,0.8571428571428571
AF,L-Root,all_publicly_visible,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,1,COUNTRY_FALLBACK:PK->SG,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,4,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.0,1.0
AF,L-Root,resolved_entry_only,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,4,1,COUNTRY_FALLBACK:PK->SG,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,4,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",2,1,0.0,1.0
AL,L-Root,all_publicly_visible,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,11,3,6939->6939,0.7272727272727273,0.9090909090909092,1.0,2.137308637435014,moderate_network_transition_concentration,0,9,2,0.0,0.8181818181818182,0.18181818181818182,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,6,0.09090909090909091,0.9090909090909091
AL,L-Root,resolved_entry_only,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,10,2,6939->6939,0.8,1.0,1.0,1.6493848884661177,severe_network_transition_concentration,0,8,2,0.0,0.8,0.2,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",5,5,0.0,1.0
AU,L-Root,all_publicly_visible,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,197,10,COUNTRY_FALLBACK:AU->NZ,0.26903553299492383,0.532994923857868,0.7106598984771574,6.00214976730266,broad_network_transition_distribution,5,79,113,0.025380710659898477,0.4010152284263959,0.5736040609137056,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,92,44,0.4619289340101523,0.5380710659898477
AU,L-Root,resolved_entry_only,5008,dns-root_l-root_msm5008_20260701T000000Z_010000Z.json,197,10,COUNTRY_FALLBACK:AU->NZ,0.26903553299492383,0.532994923857868,0.7106598984771574,6.00214976730266,broad_network_transition_distribution,5,79,113,0.025380710659898477,0.4010152284263959,0.5736040609137056,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,92,44,0.4619289340101523,0.5380710659898477
