feasible_corridor_count,bounded_candidate_set_segments,bounded_candidate_set_share
2,688,0.5358255451713395
3,422,0.32866043613707163
4,59,0.045950155763239874
5,52,0.040498442367601244
6,14,0.010903426791277258
7,2,0.001557632398753894
8,2,0.001557632398753894
10,16,0.012461059190031152
11,4,0.003115264797507788
12,16,0.012461059190031152
14,2,0.001557632398753894
15,1,0.000778816199376947
21,6,0.004672897196261682
