probe_country,service_id,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
LC,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0785,landing_region_0174 -> landing_region_0785,1.0,1,1,1,1,1,0.14285714285714285,5,False,False,False,0.0,1.0
LI,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,9.0,9,9,6,3,3,1.0,1,True,False,False,7.0,2.0
LK,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0288::landing_region_0431,landing_region_0288 -> landing_region_0431,14.0,14,14,12,6,2,0.6363636363636364,1,True,False,False,0.0,14.0
LK,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0288::landing_region_0663,landing_region_0288 -> landing_region_0663,8.0,8,8,6,3,2,0.36363636363636365,2,False,True,False,0.0,8.0
LT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0988,landing_region_0132 -> landing_region_0988,2.0,2,2,2,1,1,1.0,1,True,False,False,0.0,2.0
LV,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0512,landing_region_0051 -> landing_region_0512,6.0,6,6,4,2,2,1.0,1,True,False,False,0.0,6.0
ME,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0338::landing_region_0341,landing_region_0338 -> landing_region_0341,3.0,3,3,2,1,1,1.0,1,True,False,False,3.0,0.0
MH,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0266,landing_region_0132 -> landing_region_0266,3.0,3,3,2,1,1,1.0,1,True,False,False,0.0,3.0
ML,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0239::landing_region_0308,landing_region_0239 -> landing_region_0308,3.0,3,3,2,1,1,0.5,1,True,False,False,0.0,3.0
ML,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0239::landing_region_0239,landing_region_0239 -> landing_region_0239,1.5,3,3,2,1,1,0.25,2,False,True,False,1.5,0.0
ML,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0239::landing_region_0872,landing_region_0239 -> landing_region_0872,1.5,3,3,2,1,1,0.25,3,False,False,True,1.5,0.0
MN,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0230,landing_region_0132 -> landing_region_0230,7.0,7,7,6,3,3,0.875,1,True,False,False,0.0,7.0
MN,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0266,landing_region_0132 -> landing_region_0266,1.0,1,1,1,1,1,0.125,2,False,True,False,0.0,1.0
MP,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0014::landing_region_0266,landing_region_0014 -> landing_region_0266,2.0,2,2,2,1,1,0.5,1,True,False,False,0.0,2.0
MP,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0014::landing_region_0824,landing_region_0014 -> landing_region_0824,1.0,2,2,2,1,1,0.25,2,False,True,False,0.0,1.0
MP,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0813::landing_region_0824,landing_region_0813 -> landing_region_0824,1.0,2,2,2,1,1,0.25,3,False,False,True,0.0,1.0
MT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0102::landing_region_0102,landing_region_0102 -> landing_region_0102,13.5,27,27,16,8,2,0.421875,1,True,False,False,13.5,0.0
MT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0102::landing_region_0623,landing_region_0102 -> landing_region_0623,13.5,27,27,16,8,2,0.421875,2,False,True,False,13.5,0.0
MT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0102::landing_region_0431,landing_region_0102 -> landing_region_0431,3.0,3,3,2,1,1,0.09375,3,False,False,True,0.0,3.0
MT,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0102::landing_region_0572,landing_region_0102 -> landing_region_0572,2.0,2,2,2,1,1,0.0625,4,False,False,False,0.0,2.0
MV,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0439,landing_region_0132 -> landing_region_0439,23.0,23,23,18,9,2,0.8518518518518519,1,True,False,False,0.0,23.0
MV,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0288::landing_region_0439,landing_region_0288 -> landing_region_0439,2.0,2,2,2,1,1,0.07407407407407407,2,False,True,False,0.0,2.0
MV,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0288::landing_region_0663,landing_region_0288 -> landing_region_0663,2.0,2,2,2,1,1,0.07407407407407407,3,False,False,True,0.0,2.0
MX,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0226,landing_region_0174 -> landing_region_0226,3.0,3,3,2,1,1,1.0,1,True,False,False,0.0,3.0
MY,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0655,landing_region_0132 -> landing_region_0655,2.0,2,2,1,1,1,1.0,1,True,False,False,2.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,43.0,43,43,20,10,1,0.07610619469026549,1,True,False,False,29.0,14.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0024::landing_region_0266,landing_region_0024 -> landing_region_0266,26.0,52,52,36,18,1,0.04601769911504425,2,False,True,False,26.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0266::landing_region_0266,landing_region_0266 -> landing_region_0266,26.0,52,52,36,18,1,0.04601769911504425,3,False,False,True,26.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0719::landing_region_0719,landing_region_0719 -> landing_region_0719,23.0,23,23,6,3,1,0.04070796460176991,4,False,False,False,23.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0719,landing_region_0230 -> landing_region_0719,21.0,21,21,15,9,1,0.03716814159292035,5,False,False,False,0.0,21.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0054::landing_region_0566,landing_region_0054 -> landing_region_0566,20.0,20,20,15,9,1,0.035398230088495575,6,False,False,False,0.0,20.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0149,landing_region_0149 -> landing_region_0149,19.0,36,36,20,10,1,0.033628318584070796,7,False,False,False,19.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0512,landing_region_0051 -> landing_region_0512,18.0,27,27,18,10,1,0.03185840707964602,8,False,False,False,9.0,9.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0610,landing_region_0149 -> landing_region_0610,17.0,34,34,20,10,1,0.03008849557522124,9,False,False,False,17.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0640,landing_region_0351 -> landing_region_0640,16.333333333333332,33,33,16,9,1,0.028908554572271386,10,False,False,False,10.333333333333332,6.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0223::landing_region_0223,landing_region_0223 -> landing_region_0223,12.666666666666666,16,16,8,4,1,0.022418879056047197,11,False,False,False,12.666666666666666,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0083::landing_region_0083,landing_region_0083 -> landing_region_0083,12.0,12,12,6,3,1,0.021238938053097345,12,False,False,False,12.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0431::landing_region_0431,landing_region_0431 -> landing_region_0431,12.0,12,12,8,4,1,0.021238938053097345,13,False,False,False,12.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0089::landing_region_0362,landing_region_0089 -> landing_region_0362,11.0,11,11,8,4,1,0.019469026548672566,14,False,False,False,11.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0008::landing_region_0008,landing_region_0008 -> landing_region_0008,10.266666666666666,38,38,14,7,1,0.018171091445427726,15,False,False,False,6.666666666666666,3.6
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0008::landing_region_0293,landing_region_0008 -> landing_region_0293,10.266666666666666,38,38,14,7,1,0.018171091445427726,16,False,False,False,6.666666666666666,3.6
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0293::landing_region_0293,landing_region_0293 -> landing_region_0293,10.266666666666666,38,38,14,7,1,0.018171091445427726,17,False,False,False,6.666666666666666,3.6
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0230,landing_region_0230 -> landing_region_0230,10.0,10,10,7,4,1,0.017699115044247787,18,False,False,False,10.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0061::landing_region_0061,landing_region_0061 -> landing_region_0061,9.0,9,9,6,4,1,0.01592920353982301,19,False,False,False,9.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,9.0,9,9,7,4,1,0.01592920353982301,20,False,False,False,9.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0181::landing_region_0512,landing_region_0181 -> landing_region_0512,9.0,18,18,11,6,1,0.01592920353982301,21,False,False,False,9.0,0.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0266,landing_region_0132 -> landing_region_0266,8.0,8,8,8,4,1,0.01415929203539823,22,False,False,False,0.0,8.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0892,landing_region_0132 -> landing_region_0892,8.0,8,8,6,3,1,0.01415929203539823,23,False,False,False,0.0,8.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0008::landing_region_0223,landing_region_0008 -> landing_region_0223,7.766666666666667,28,28,14,7,1,0.013746312684365781,24,False,False,False,1.6666666666666665,6.1000000000000005
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0223::landing_region_0293,landing_region_0223 -> landing_region_0293,7.766666666666667,28,28,14,7,1,0.013746312684365781,25,False,False,False,1.6666666666666665,6.1000000000000005
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0061::landing_region_0132,landing_region_0061 -> landing_region_0132,7.0,7,7,6,3,1,0.012389380530973451,26,False,False,False,2.0,5.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0485,landing_region_0132 -> landing_region_0485,7.0,7,7,5,3,1,0.012389380530973451,27,False,False,False,0.0,7.0
NA,D-Root,5012,dns-root_d-root_msm5012_20260701T000000Z_010000Z.json,landing_region_0133::landing_region_0250,landing_region_0133 -> landing_region_0250,7.0,7,7,4,2,1,0.012389380530973451,28,False,False,False,7.0,0.0
