country,msm_id,file_name,total_mappable_segments,unique_network_transitions_observed,top1_network_transition_key,top1_network_transition_share,top2_network_transition_share,top3_network_transition_share,effective_network_transition_count,network_transition_concentration_tier,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_share,intra_as_hop_pair_share,country_fallback_share,sufficient_network_transition_resolution,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,domestic_segment_share,international_segment_share
AE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,28,4,8966->5384,0.5,0.75,0.9285714285714286,3.284742190340221,weak_network_transition_concentration,21,7,0,0.75,0.25,0.0,True,False,insufficient_minimum_mappable_segments,minimum_mappable_segments,10,5,0.9285714285714286,0.07142857142857142
AU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,248,7,7578->7578,0.4838709677419355,0.875,0.967741935483871,2.981232916564517,moderate_network_transition_concentration,3,148,97,0.012096774193548387,0.5967741935483871,0.3911290322580645,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,109,39,0.9879032258064516,0.012096774193548387
AX,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,1,3238->3238,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,2,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,0.0,1.0
BH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1,1,8529->8529,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,1,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0
BJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,1,36924->1930,1.0,1.0,1.0,1.0,severe_network_transition_concentration,2,0,0,1.0,0.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,0,0.0,1.0
BR,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1,1,COUNTRY_FALLBACK:BR->BR,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,0,1,0.0,0.0,1.0,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns,maximum_country_fallback_share",1,1,1.0,0.0
CA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,89,5,COUNTRY_FALLBACK:CA->US,0.7528089887640449,0.9101123595505618,0.9550561797752808,2.2585326000743797,moderate_network_transition_concentration,2,20,67,0.02247191011235955,0.2247191011235955,0.7528089887640449,False,False,insufficient_maximum_country_fallback_share,maximum_country_fallback_share,46,7,0.0,1.0
CN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,1,4134->4134,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,4,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1,1.0,0.0
CO,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,2,23520->23520,0.8181818181818182,1.0,1.0,1.6066307960863546,severe_network_transition_concentration,0,11,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",6,5,0.0,1.0
CW,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,12,1,23520->23520,1.0,1.0,1.0,1.0,severe_network_transition_concentration,0,12,0,0.0,1.0,0.0,True,False,"insufficient_minimum_mappable_segments,minimum_unique_probes","minimum_mappable_segments,minimum_unique_probes",7,6,0.0,1.0
