country,msm_id,file_name,network_transition_key,network_transition_representation,network_transition_observation_count,unique_atomic_segments,share_of_network_transition_observations,rank_within_unit,is_top1_network_transition,is_top2_network_transition,is_top3_network_transition,used_country_fallback_transition,group_total_mappable_segments,group_unique_probes,group_unique_probe_asns,domestic_segment_count,international_segment_count
EE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1257->1257,as_transition,12,12,0.48,1,True,False,False,False,25,13,9,0,12
EE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2586->6667,as_transition,8,8,0.32,2,False,True,False,False,25,13,9,0,8
EE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1299->1299,as_transition,5,5,0.2,3,False,False,True,False,25,13,9,0,5
ES,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1299->1299,as_transition,15,15,0.6521739130434783,1,True,False,False,False,23,15,6,0,15
ES,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6453->6453,as_transition,4,4,0.17391304347826086,2,False,True,False,False,23,15,6,0,4
ES,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3352->3352,as_transition,3,3,0.13043478260869565,3,False,False,True,False,23,15,6,3,0
ES,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3352->12956,as_transition,1,1,0.043478260869565216,4,False,False,False,False,23,15,6,1,0
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,39699->39699,as_transition,11,11,0.4230769230769231,1,True,False,False,False,26,13,6,11,0
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1299->1299,as_transition,7,7,0.2692307692307692,2,False,True,False,False,26,13,6,0,7
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1741->1741,as_transition,4,4,0.15384615384615385,3,False,False,True,False,26,13,6,4,0
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,39857->1741,as_transition,2,2,0.07692307692307693,4,False,False,False,False,26,13,6,2,0
FI,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,1759->1759,as_transition,2,2,0.07692307692307693,5,False,False,False,False,26,13,6,2,0
FJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,24390->7575,as_transition,2,2,0.3333333333333333,1,True,False,False,False,6,3,3,0,2
FJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38442->38442,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,3,3,0,2
FJ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9241->-1,as_transition,2,2,0.3333333333333333,3,False,False,True,False,6,3,3,0,2
GA,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,36924->1930,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
GH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37721->37721,as_transition,4,4,0.6666666666666666,1,True,False,False,False,6,4,3,0,4
GH,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37468->37468,as_transition,2,2,0.3333333333333333,2,False,True,False,False,6,4,3,0,2
GP,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,21351->21351,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
GQ,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37529->37529,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,2,0
GU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6939->6939,as_transition,4,4,0.5714285714285714,1,True,False,False,False,7,4,3,0,4
GU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,140627->140627,as_transition,2,2,0.2857142857142857,2,False,True,False,False,7,4,3,0,2
GU,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9246->9246,as_transition,1,1,0.14285714285714285,3,False,False,True,False,7,4,3,0,1
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2914->2914,as_transition,63,63,0.7411764705882353,1,True,False,False,False,85,45,20,0,63
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,3491->2914,as_transition,12,12,0.1411764705882353,2,False,True,False,False,85,45,20,0,12
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,7473->2914,as_transition,3,3,0.03529411764705882,3,False,False,True,False,85,45,20,0,3
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,17476->2914,as_transition,2,2,0.023529411764705882,4,False,False,False,False,85,45,20,0,2
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,30058->5580,as_transition,2,2,0.023529411764705882,5,False,False,False,False,85,45,20,0,2
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8888->8888,as_transition,2,2,0.023529411764705882,6,False,False,False,False,85,45,20,0,2
HK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,21859->4229,as_transition,1,1,0.011764705882352941,7,False,False,False,False,85,45,20,0,1
HN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,263725->54082,as_transition,8,8,0.5714285714285714,1,True,False,False,False,14,8,6,0,8
HN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23520->23520,as_transition,6,6,0.42857142857142855,2,False,True,False,False,14,8,6,0,6
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38158->38158,as_transition,18,18,0.21428571428571427,1,True,False,False,False,84,42,31,18,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,17451->17451,as_transition,7,7,0.08333333333333333,2,False,True,False,False,84,42,31,0,7
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23700->7632,as_transition,6,6,0.07142857142857142,3,False,False,True,False,84,42,31,6,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,136106->136106,as_transition,6,6,0.07142857142857142,4,False,False,False,False,84,42,31,6,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,55818->55818,as_transition,6,6,0.07142857142857142,5,False,False,False,False,84,42,31,6,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,137366->137366,as_transition,6,6,0.07142857142857142,6,False,False,False,False,84,42,31,0,6
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,24203->6453,as_transition,4,4,0.047619047619047616,7,False,False,False,False,84,42,31,0,4
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,7713->7713,as_transition,4,4,0.047619047619047616,8,False,False,False,False,84,42,31,4,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,149697->58495,as_transition,3,3,0.03571428571428571,9,False,False,False,False,84,42,31,3,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4229->4229,as_transition,3,3,0.03571428571428571,10,False,False,False,False,84,42,31,0,3
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9905->7632,as_transition,2,2,0.023809523809523808,11,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->-1,as_transition,2,2,0.023809523809523808,12,False,False,False,False,84,42,31,0,2
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,24521->24521,as_transition,2,2,0.023809523809523808,13,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,45147->45147,as_transition,2,2,0.023809523809523808,14,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,149728->58389,as_transition,2,2,0.023809523809523808,15,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,142360->142360,as_transition,2,2,0.023809523809523808,16,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,142360->136106,as_transition,2,2,0.023809523809523808,17,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->133840,as_transition,2,2,0.023809523809523808,18,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,141626->58389,as_transition,2,2,0.023809523809523808,19,False,False,False,False,84,42,31,2,0
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,138840->6939,as_transition,1,1,0.011904761904761904,20,False,False,False,False,84,42,31,0,1
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,21859->-1,as_transition,1,1,0.011904761904761904,21,False,False,False,False,84,42,31,0,1
ID,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,149697->138840,as_transition,1,1,0.011904761904761904,22,False,False,False,False,84,42,31,1,0
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9498->-1,as_transition,5,5,0.3333333333333333,1,True,False,False,False,15,10,7,5,0
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9498->9498,as_transition,3,3,0.2,2,False,True,False,False,15,10,7,3,0
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4755->2914,as_transition,2,2,0.13333333333333333,3,False,False,True,False,15,10,7,0,2
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6453->6453,as_transition,2,2,0.13333333333333333,4,False,False,False,False,15,10,7,0,2
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4637->4637,as_transition,1,1,0.06666666666666667,5,False,False,False,False,15,10,7,1,0
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,-1->9498,as_transition,1,1,0.06666666666666667,6,False,False,False,False,15,10,7,1,0
IN,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4755->7342,as_transition,1,1,0.06666666666666667,7,False,False,False,False,15,10,7,0,1
KE,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,37100->37100,as_transition,8,8,1.0,1,True,False,False,False,8,4,3,0,8
KY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,36549->3855,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
LC,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23520->23520,as_transition,1,1,1.0,1,True,False,False,False,1,1,1,0,1
LK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18001->18001,as_transition,6,6,0.6666666666666666,1,True,False,False,False,9,5,3,0,6
LK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38229->24489,as_transition,2,2,0.2222222222222222,2,False,True,False,False,9,5,3,0,2
LK,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,17470->15412,as_transition,1,1,0.1111111111111111,3,False,False,True,False,9,5,3,0,1
MM,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,136168->136168,as_transition,5,5,1.0,1,True,False,False,False,5,3,3,0,5
MP,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,7131->7131,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MT,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,15735->1299,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MV,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,24016->45489,as_transition,2,2,1.0,1,True,False,False,False,2,1,1,0,2
MX,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,265539->23520,as_transition,4,4,1.0,1,True,False,False,False,4,2,2,0,4
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,45352->45352,as_transition,4,4,0.3333333333333333,1,True,False,False,False,12,7,6,3,1
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38466->6453,as_transition,2,2,0.16666666666666666,2,False,True,False,False,12,7,6,0,2
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2914->2914,as_transition,2,2,0.16666666666666666,3,False,False,True,False,12,7,6,0,2
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,38182->38182,as_transition,2,2,0.16666666666666666,4,False,False,False,False,12,7,6,2,0
MY,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9930->9930,as_transition,2,2,0.16666666666666666,5,False,False,False,False,12,7,6,2,0
NC,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18200->-1,as_transition,7,7,0.7,1,True,False,False,False,10,5,2,0,7
NC,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,18200->4826,as_transition,3,3,0.3,2,False,True,False,False,10,5,2,0,3
