probe_country,service_id,path_scope_stratum,msm_id,file_name,total_hop_pair_segments,cross_as_boundary_segments,intra_as_hop_pair_segments,country_fallback_segments,cross_as_boundary_coverage_rate,intra_as_hop_pair_share,country_fallback_share,unique_as_boundary_transitions,top1_as_boundary_transition_key,top1_as_boundary_transition_share,top2_as_boundary_transition_share,top3_as_boundary_transition_share,effective_as_boundary_transition_count,as_boundary_transition_concentration_tier,auditable_as_boundary_case,as_boundary_observation_sufficiency_reason,unique_probes,unique_probe_asns
AF,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6,5,1,0,0.8333333333333334,0.16666666666666666,0.0,2,8966->5384,0.8,1.0,1.0,1.6493848884661177,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
CA,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,80,2,16,62,0.025,0.2,0.775,1,208951->6939,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CN,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,8,2,6,0,0.25,0.75,0.0,1,3491->2914,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
CY,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,6,4,2,0,0.6666666666666666,0.3333333333333333,0.0,1,5504->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
EE,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,35,8,27,0,0.22857142857142856,0.7714285714285715,0.0,1,2586->6667,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",4,2
ES,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,23,1,22,0,0.043478260869565216,0.9565217391304348,0.0,1,3352->12956,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
FI,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,13,2,11,0,0.15384615384615385,0.8461538461538461,0.0,1,39857->1741,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
GU,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,2,9,0,0.18181818181818182,0.8181818181818182,0.0,1,140627->4826,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
HK,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,36,9,27,0,0.25,0.75,0.0,2,3491->2914,0.8888888888888888,1.0,1.0,1.4174111811317323,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",7,4
HN,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,11,8,3,0,0.7272727272727273,0.2727272727272727,0.0,1,263725->54082,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes",4,3
ID,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,70,19,46,5,0.2714285714285714,0.6571428571428571,0.07142857142857142,9,23700->7632,0.21052631578947367,0.3684210526315789,0.47368421052631576,8.283852441886484,broad_as_boundary_transition_distribution,False,insufficient_minimum_mappable_segments,10,8
IN,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,12,3,3,6,0.25,0.25,0.5,2,4755->2914,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,1
KY,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,36549->3855,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
LK,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,9,3,6,0,0.3333333333333333,0.6666666666666666,0.0,2,38229->24489,0.6666666666666666,1.0,1.0,1.8898815748423097,moderate_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
ML,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,8346->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MT,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,15735->1299,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MV,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,2,2,0,0,1.0,0.0,0.0,1,24016->45489,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
MX,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,4,4,0,0,1.0,0.0,0.0,1,265539->23520,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",2,2
MY,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,12,2,10,0,0.16666666666666666,0.8333333333333334,0.0,1,38466->6453,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1
NA,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,251,30,188,33,0.11952191235059761,0.749003984063745,0.13147410358565736,14,8966->5384,0.2,0.33333333333333337,0.4,12.041123426403459,broad_as_boundary_transition_distribution,False,insufficient_minimum_unique_probe_asns,16,0
NC,J-Root,all_publicly_visible,5016,dns-root_j-root_msm5016_20260701T000000Z_010000Z.json,10,3,0,7,0.3,0.0,0.7,1,18200->4826,1.0,1.0,1.0,1.0,severe_as_boundary_transition_concentration,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",3,1
