probe_country,service_id,msm_id,file_name,corridor_id,corridor_label,observation_mass,raw_segment_count_with_corridor_feasible,unique_atomic_segments,unique_traceroutes,unique_probes,unique_probe_asns,share_of_unit_observation_mass,rank_within_unit,is_top1_corridor,is_top2_corridor,is_top3_corridor,domestic_segment_mass,international_segment_mass
CY,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0431::landing_region_0734,landing_region_0431 -> landing_region_0734,8.0,16,16,8,5,2,0.3333333333333333,1,True,False,False,0.0,8.0
CY,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0431::landing_region_1009,landing_region_0431 -> landing_region_1009,8.0,16,16,8,5,2,0.3333333333333333,2,False,True,False,0.0,8.0
CY,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0734::landing_region_1009,landing_region_0734 -> landing_region_1009,8.0,8,8,4,2,1,0.3333333333333333,3,False,False,True,8.0,0.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0719,landing_region_0230 -> landing_region_0719,32.0,32,32,8,4,1,0.2857142857142857,1,True,False,False,0.0,32.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0330::landing_region_0377,landing_region_0330 -> landing_region_0377,28.0,28,28,14,7,4,0.25,2,False,True,False,0.0,28.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0376::landing_region_0376,landing_region_0376 -> landing_region_0376,24.0,24,24,6,3,3,0.21428571428571427,3,False,False,True,24.0,0.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,12.0,12,12,6,3,2,0.10714285714285714,4,False,False,False,12.0,0.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0388::landing_region_0388,landing_region_0388 -> landing_region_0388,8.0,8,8,2,1,1,0.07142857142857142,5,False,False,False,8.0,0.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0524::landing_region_0524,landing_region_0524 -> landing_region_0524,6.0,8,8,2,1,1,0.05357142857142857,6,False,False,False,6.0,0.0
DE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0176::landing_region_0176,landing_region_0176 -> landing_region_0176,2.0,4,4,2,1,1,0.017857142857142856,7,False,False,False,2.0,0.0
DJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0330::landing_region_0431,landing_region_0330 -> landing_region_0431,8.0,8,8,4,2,2,1.0,1,True,False,False,0.0,8.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0524::landing_region_0524,landing_region_0524 -> landing_region_0524,333.3333333333333,378,378,74,37,14,0.7309941520467835,1,True,False,False,333.3333333333333,0.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0512,landing_region_0051 -> landing_region_0512,26.0,32,32,16,8,3,0.05701754385964912,2,False,True,False,6.0,20.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0176::landing_region_0176,landing_region_0176 -> landing_region_0176,26.0,32,32,11,6,3,0.05701754385964912,3,False,False,True,26.0,0.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0181::landing_region_0388,landing_region_0181 -> landing_region_0388,26.0,60,60,30,16,4,0.05701754385964912,4,False,False,False,26.0,0.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0051,landing_region_0051 -> landing_region_0051,24.333333333333332,54,54,21,12,8,0.0533625730994152,5,False,False,False,19.333333333333332,5.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0181,landing_region_0051 -> landing_region_0181,9.0,18,18,7,5,5,0.019736842105263157,6,False,False,False,4.0,5.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0181::landing_region_0512,landing_region_0181 -> landing_region_0512,6.0,12,12,6,3,2,0.013157894736842105,7,False,False,False,6.0,0.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0159::landing_region_0905,landing_region_0159 -> landing_region_0905,4.0,4,4,2,1,1,0.008771929824561403,8,False,False,False,0.0,4.0
DK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0388::landing_region_0388,landing_region_0388 -> landing_region_0388,1.3333333333333333,4,4,2,1,1,0.0029239766081871343,9,False,False,False,1.3333333333333333,0.0
DO,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0213,landing_region_0174 -> landing_region_0213,4.0,4,4,2,2,2,1.0,1,True,False,False,0.0,4.0
EC,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0174::landing_region_0465,landing_region_0174 -> landing_region_0465,14.0,14,14,7,4,3,0.5,1,True,False,False,14.0,0.0
EC,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0591::landing_region_0975,landing_region_0591 -> landing_region_0975,14.0,14,14,7,5,5,0.5,2,False,True,False,0.0,14.0
EE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0512,landing_region_0351 -> landing_region_0512,15.0,30,30,15,8,6,0.39473684210526316,1,True,False,False,0.0,15.0
EE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0512::landing_region_0640,landing_region_0512 -> landing_region_0640,15.0,30,30,15,8,6,0.39473684210526316,2,False,True,False,0.0,15.0
EE,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0511,landing_region_0351 -> landing_region_0511,8.0,8,8,4,2,1,0.21052631578947367,3,False,False,True,8.0,0.0
ES,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0126::landing_region_0431,landing_region_0126 -> landing_region_0431,18.0,18,18,9,7,3,0.8181818181818182,1,True,False,False,0.0,18.0
ES,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0051,landing_region_0051 -> landing_region_0051,2.0,4,4,2,1,1,0.09090909090909091,2,False,True,False,2.0,0.0
ES,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0051::landing_region_0181,landing_region_0051 -> landing_region_0181,2.0,4,4,2,1,1,0.09090909090909091,3,False,False,True,2.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,94.0,94,94,47,24,6,0.23979591836734693,1,True,False,False,94.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0640,landing_region_0351 -> landing_region_0640,60.333333333333336,80,80,35,21,16,0.15391156462585034,2,False,True,False,42.333333333333336,18.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0512,landing_region_0351 -> landing_region_0512,54.0,108,108,54,28,9,0.1377551020408163,3,False,False,True,0.0,54.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0512::landing_region_0640,landing_region_0512 -> landing_region_0640,54.0,108,108,54,28,9,0.1377551020408163,4,False,False,False,0.0,54.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,32.0,64,64,32,16,5,0.08163265306122448,5,False,False,False,32.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,32.0,64,64,32,16,5,0.08163265306122448,6,False,False,False,32.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,30.0,30,30,15,9,5,0.07653061224489796,7,False,False,False,0.0,30.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0528,landing_region_0351 -> landing_region_0528,12.0,20,20,8,4,4,0.030612244897959183,8,False,False,False,12.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0420,landing_region_0351 -> landing_region_0420,10.333333333333334,28,28,10,5,2,0.026360544217687076,9,False,False,False,10.333333333333334,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0351::landing_region_0417,landing_region_0351 -> landing_region_0417,9.0,24,24,10,5,2,0.02295918367346939,10,False,False,False,9.0,0.0
FI,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0417::landing_region_0420,landing_region_0417 -> landing_region_0420,4.333333333333333,16,16,4,2,1,0.011054421768707481,11,False,False,False,4.333333333333333,0.0
FJ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0266,landing_region_0041 -> landing_region_0266,2.0,2,2,1,1,1,1.0,1,True,False,False,0.0,2.0
FR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,18.0,36,36,18,11,9,0.375,1,True,False,False,18.0,0.0
FR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,18.0,36,36,18,11,9,0.375,2,False,True,False,18.0,0.0
FR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0431::landing_region_0431,landing_region_0431 -> landing_region_0431,8.0,8,8,4,2,2,0.16666666666666666,3,False,False,True,8.0,0.0
FR,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,4.0,4,4,2,1,1,0.08333333333333333,4,False,False,False,4.0,0.0
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0159,landing_region_0149 -> landing_region_0159,24.0,24,24,12,8,3,0.36363636363636365,1,True,False,False,0.0,24.0
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0635,landing_region_0041 -> landing_region_0635,16.0,32,32,16,9,4,0.24242424242424243,2,False,True,False,16.0,0.0
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0041::landing_region_0945,landing_region_0041 -> landing_region_0945,16.0,32,32,16,9,4,0.24242424242424243,3,False,False,True,16.0,0.0
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0406::landing_region_0406,landing_region_0406 -> landing_region_0406,6.0,6,6,3,2,2,0.09090909090909091,4,False,False,False,6.0,0.0
GB,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0174,landing_region_0149 -> landing_region_0174,4.0,4,4,2,1,1,0.06060606060606061,5,False,False,False,4.0,0.0
GH,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0006::landing_region_0556,landing_region_0006 -> landing_region_0556,4.0,4,4,2,1,1,1.0,1,True,False,False,0.0,4.0
GP,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0106::landing_region_0106,landing_region_0106 -> landing_region_0106,2.0,4,4,2,1,1,0.25,1,True,False,False,2.0,0.0
GP,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0106::landing_region_0202,landing_region_0106 -> landing_region_0202,2.0,4,4,2,1,1,0.25,2,False,True,False,2.0,0.0
GP,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0149,landing_region_0149 -> landing_region_0149,2.0,4,4,2,1,1,0.25,3,False,False,True,2.0,0.0
GP,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0149::landing_region_0610,landing_region_0149 -> landing_region_0610,2.0,4,4,2,1,1,0.25,4,False,False,False,2.0,0.0
GQ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0131::landing_region_0556,landing_region_0131 -> landing_region_0556,2.0,2,2,1,1,1,0.3333333333333333,1,True,False,False,0.0,2.0
GQ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0131::landing_region_0606,landing_region_0131 -> landing_region_0606,2.0,2,2,1,1,1,0.3333333333333333,2,False,True,False,2.0,0.0
GQ,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0556::landing_region_0577,landing_region_0556 -> landing_region_0577,2.0,2,2,1,1,1,0.3333333333333333,3,False,False,True,0.0,2.0
GT,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0591::landing_region_0785,landing_region_0591 -> landing_region_0785,4.0,4,4,2,1,1,0.5,1,True,False,False,0.0,4.0
GT,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0591::landing_region_0975,landing_region_0591 -> landing_region_0975,4.0,4,4,2,1,1,0.5,2,False,True,False,0.0,4.0
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0014::landing_region_0014,landing_region_0014 -> landing_region_0014,12.0,24,24,6,3,1,0.3333333333333333,1,True,False,False,12.0,0.0
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0014::landing_region_0813,landing_region_0014 -> landing_region_0813,12.0,24,24,6,3,1,0.3333333333333333,2,False,True,False,12.0,0.0
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0014::landing_region_0266,landing_region_0014 -> landing_region_0266,8.0,8,8,4,2,1,0.2222222222222222,3,False,False,True,0.0,8.0
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0133,landing_region_0132 -> landing_region_0133,2.0,4,4,2,1,1,0.05555555555555555,4,False,False,False,0.0,2.0
GU,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0132::landing_region_0250,landing_region_0132 -> landing_region_0250,2.0,4,4,2,1,1,0.05555555555555555,5,False,False,False,0.0,2.0
HK,K-Root,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,landing_region_0230::landing_region_0431,landing_region_0230 -> landing_region_0431,14.0,14,14,7,4,1,0.3888888888888889,1,True,False,False,0.0,14.0
