country,msm_id,file_name,total_mappable_segments,total_observation_mass,unique_corridors_observed,top1_corridor_id,top1_corridor_share,top2_corridor_share,top3_corridor_share,effective_corridor_count,corridor_concentration_tier,is_corridor_concentrated,auditable_corridor_concentration,sufficient_corridor_observation,auditable_paper_case,observation_sufficiency_reason,failed_thresholds,unique_probes,unique_probe_asns,unique_measurements_or_targets,domestic_segment_share,international_segment_share
MP,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,2,landing_region_0014::landing_region_0824,0.5,1.0,1.0,2.0,moderate_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MT,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,60,60.0,4,landing_region_0102::landing_region_0102,0.4,0.8,0.9333333333333333,3.261616729187871,moderate_corridor_observation_concentration,True,False,False,False,insufficient_minimum_unique_probes,minimum_unique_probes,9,3,1,0.8,0.2
MV,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0288::landing_region_0439,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MX,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0174::landing_region_0226,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
MY,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,44,44.0,7,landing_region_0132::landing_region_0655,0.7045454545454546,0.8863636363636365,0.9090909090909092,2.682392922646326,moderate_corridor_observation_concentration,True,True,True,True,auditable,,10,7,1,0.18181818181818182,0.8181818181818182
NC,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,20,20.0,1,landing_region_0041::landing_region_0652,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",5,2,1,0.0,1.0
NG,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,84,84.0,4,landing_region_0006::landing_region_0556,0.8333333333333334,0.9285714285714286,0.9761904761904763,1.8401452782076908,severe_corridor_observation_concentration,True,True,True,True,auditable,,18,9,1,0.0,1.0
NL,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,76,76.0,1,landing_region_0149::landing_region_0159,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,True,True,True,auditable,,26,13,1,0.0,1.0
NO,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,126,125.99999999999997,18,landing_region_0335::landing_region_0335,0.24867724867724866,0.4021164021164021,0.5079365079365079,11.4625534242719,broad_corridor_observation_distribution,False,False,True,True,auditable,,14,7,1,1.0,0.0
NU,5001,dns-root_k-root_msm5001_20260701T000000Z_010000Z.json,4,4.0,1,landing_region_0048::landing_region_0073,1.0,1.0,1.0,1.0,severe_corridor_observation_concentration,True,False,False,False,"insufficient_minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns","minimum_mappable_segments,minimum_unique_probes,minimum_unique_probe_asns",1,1,1,0.0,1.0
